
[00:00:00.000 --> 00:00:04.600]  各位理智會 大家好
[00:00:04.600 --> 00:00:08.200]  還記不記得我們今年的年提
[00:00:08.200 --> 00:00:10.740]  都是要循例去多讀的
[00:00:10.740 --> 00:00:12.540]  2026年 我們今年的年提準備
[00:00:12.540 --> 00:00:16.900]  1、2、3 跨代同行
[00:00:16.900 --> 00:00:18.760]  付出使命 對不對?
[00:00:18.760 --> 00:00:20.600]  是我錯還是怎麼樣?
[00:00:20.600 --> 00:00:25.640]  好 那我們那個生命傳承系列就完了
[00:00:25.640 --> 00:00:28.000]  如果有看上個禮拜我們的程序表
[00:00:28.000 --> 00:00:29.940]  我都有一個總結
[00:00:29.940 --> 00:00:34.740]  今天我們開始一個新的系列叫約書亞的約書亞記
[00:00:34.740 --> 00:00:36.500]  由第一章開始
[00:00:36.500 --> 00:00:40.800]  今天的題目就是 敢前行 敢承擔
[00:00:40.800 --> 00:00:45.400]  其實我們每個人都有一個約書亞時刻
[00:00:45.400 --> 00:00:47.100]  什麼叫約書亞時刻呢?
[00:00:47.100 --> 00:00:51.900]  意思就是說可能我們生命經歷一個很大的轉折
[00:00:51.900 --> 00:00:54.340]  在經文裡面說摩西已經死了
[00:00:54.340 --> 00:00:58.460]  摩西在以色列裡面是一個最偉大的人物
[00:00:58.460 --> 00:00:59.960]  帶開了一個新的時代
[00:00:59.960 --> 00:01:03.960]  因為他帶領以色列人在埃及裡面做奴隸的
[00:01:03.960 --> 00:01:08.140]  離開了 準備經過擴建之後再應去之地
[00:01:08.140 --> 00:01:10.060]  要開一個新的時代
[00:01:10.060 --> 00:01:12.760]  但是在這個新的時代還沒開始之前
[00:01:12.760 --> 00:01:14.360]  摩西就死了
[00:01:14.360 --> 00:01:17.360]  新的階段將要開始
[00:01:17.360 --> 00:01:21.960]  而約書亞將要接棒去承擔這個新的時代
[00:01:21.960 --> 00:01:24.200]  帶領以色列人去應去之地
[00:01:24.200 --> 00:01:27.300]  所以對於以色列人來說不單是一個轉變
[00:01:27.300 --> 00:01:30.800]  對於約書亞個人來說都是一個轉折
[00:01:30.800 --> 00:01:33.460]  在我們每個人人生的生命當中
[00:01:33.460 --> 00:01:36.560]  可能你都會有類似的時候
[00:01:36.560 --> 00:01:39.840]  你要在一個熟悉的階段裡面結束
[00:01:39.840 --> 00:01:41.500]  而做一個新的責任
[00:01:41.500 --> 00:01:45.220]  一個新的階段要最後開始的時候
[00:01:45.220 --> 00:01:47.500]  你會怎樣面對呢?
[00:01:47.500 --> 00:01:49.580]  其實每個人都有的
[00:01:49.580 --> 00:01:52.660]  我們這裡有些中學生 有些大學生
[00:01:52.660 --> 00:01:58.160]  我們 我還記得每一次當我由暑假過了
[00:01:58.160 --> 00:02:00.260]  要去一個新的班房開始
[00:02:00.260 --> 00:02:03.140]  我新的一個學習
[00:02:03.140 --> 00:02:05.260]  譬如我由五年級去六年級
[00:02:05.260 --> 00:02:08.380]  我都有些很惆悵的感覺
[00:02:08.380 --> 00:02:10.700]  好像過去的同學在不在呢?
[00:02:10.700 --> 00:02:12.660]  新的班房會見到些什麼人呢?
[00:02:12.660 --> 00:02:15.060]  新的一個學年會怎樣呢?
[00:02:15.060 --> 00:02:18.140]  更加大的轉變可能就是由幼稚園去小學
[00:02:18.140 --> 00:02:22.060]  由小學去中學 由中學去大學
[00:02:22.060 --> 00:02:26.660]  或者去一個社會大學裡面面對更大的轉變
[00:02:26.660 --> 00:02:29.340]  而我們上班的也是的 是不是?
[00:02:29.340 --> 00:02:31.700]  你有時候可能轉第二個部門
[00:02:31.700 --> 00:02:35.100]  或者你轉工場 你轉另外一份工作
[00:02:35.100 --> 00:02:37.380]  也都面對一些新的轉變
[00:02:37.380 --> 00:02:40.580]  在那個時候 心裡面有可能有很多的惶恐
[00:02:40.580 --> 00:02:41.980]  很多的驚懼
[00:02:41.980 --> 00:02:43.180]  我自己也是
[00:02:43.180 --> 00:02:48.180]  我在去年八月離開了我上一個教會
[00:02:48.180 --> 00:02:50.580]  十月二十一日來到柴鎮
[00:02:50.580 --> 00:02:53.100]  對我來說都是面對一個新的工作崗位
[00:02:53.100 --> 00:02:54.660]  一個新的轉變
[00:02:54.660 --> 00:02:57.300]  所以一個熟悉的階段結束
[00:02:57.300 --> 00:02:59.500]  新的責任擺在眼前的時候
[00:02:59.500 --> 00:03:04.220]  問題就是你怎樣敢向前走
[00:03:04.220 --> 00:03:07.420]  你怎樣敢去承擔
[00:03:07.420 --> 00:03:10.140]  約書亞記第一章就提醒我們
[00:03:10.140 --> 00:03:14.140]  很多時候神是將整幅的地圖
[00:03:14.140 --> 00:03:16.700]  很完全的圖畫給我們看到
[00:03:16.700 --> 00:03:18.780]  才要我們走
[00:03:18.780 --> 00:03:21.540]  而是上帝先將祂的應許
[00:03:21.540 --> 00:03:25.300]  祂的同在 祂的使命給了我們
[00:03:25.300 --> 00:03:29.900]  然後呼召我們去踏出我們新的一步
[00:03:29.900 --> 00:03:32.420]  所以我們進入這個新的一個系列
[00:03:32.420 --> 00:03:34.980]  約書亞記一的時候
[00:03:34.980 --> 00:03:39.220]  讓我們一起用禱告的心去迎接這個新的開始
[00:03:39.220 --> 00:03:41.140]  我們一起祈禱
[00:03:41.140 --> 00:03:42.860]  秋天福利多謝你
[00:03:42.860 --> 00:03:46.020]  再次帶領我們今天來到教會
[00:03:46.020 --> 00:03:50.540]  在每一個月的第一個主日有主餐聯合崇拜
[00:03:50.540 --> 00:03:55.500]  雖然在我們的環境裏面有一點兒移
[00:03:55.500 --> 00:03:58.700]  但求主聖靈幫助我們
