
[00:00:00.000 --> 00:00:03.480]  因為我記得上次有提到在訊息裡
[00:00:03.480 --> 00:00:06.480]  我們在人生裡
[00:00:06.480 --> 00:00:09.220]  總會遇上生命師傅
[00:00:09.220 --> 00:00:13.340]  是一個可以影響你的生命的人
[00:00:13.340 --> 00:00:16.120]  我不知道你領受這個訊息後
[00:00:16.120 --> 00:00:22.120]  有沒有試過在自己的生命成長裡
[00:00:22.120 --> 00:00:25.080]  有多少個師傅影響過你呢?
[00:00:25.080 --> 00:00:29.600]  當天我也有提及過
[00:00:29.600 --> 00:00:32.440]  其實我們的人生應該
[00:00:32.440 --> 00:00:37.480]  第一個或第一對影響我們的生命師傅
[00:00:37.480 --> 00:00:40.080]  其實應該是我們的父母
[00:00:40.080 --> 00:00:44.400]  父母對子女的影響必定是最深遠
[00:00:44.400 --> 00:00:49.000]  孤不論這個影響是正面的還是負面的
[00:00:49.000 --> 00:00:54.000]  我也想起每年我們都會舉行一次
[00:00:54.000 --> 00:00:56.800]  「嬰孩奉獻禮」的程序
[00:00:57.200 --> 00:01:00.400]  不知道大家還記不記得當時的程序
[00:01:00.400 --> 00:01:04.200]  我們一定會宣讀一段誓詞
[00:01:04.200 --> 00:01:08.000]  這個誓詞如果大家記得的話
[00:01:08.000 --> 00:01:11.800]  不只是關於奉獻禮的父母的事
[00:01:11.800 --> 00:01:15.000]  是關於我們在座每一個人的事
[00:01:15.000 --> 00:01:17.200]  舉行了不久
[00:01:17.200 --> 00:01:20.000]  但是大家不知道還記不記得
[00:01:20.000 --> 00:01:22.000]  我跟大家溫習一點
[00:01:22.000 --> 00:01:24.400]  要在年終檢討一下
[00:01:24.600 --> 00:01:30.000]  不能在神的面前有些誓約很快忘記
[00:01:30.000 --> 00:01:34.200]  當中提及誓約的內容很有意思
[00:01:34.200 --> 00:01:39.200]  「你們是否願意在生活裡有美好的見證
[00:01:39.200 --> 00:01:41.800]  使你的孩子藉著你的榜樣
[00:01:41.800 --> 00:01:43.600]  而認識耶穌基督
[00:01:43.600 --> 00:01:47.200]  並熱愛教會、家庭和學習呢?」
[00:01:47.200 --> 00:01:53.000]  第二會問「你是否願意常常為你的孩子禱告
[00:01:53.000 --> 00:01:56.400]  依靠神毀身去養育孩子
[00:01:56.400 --> 00:02:00.600]  並完完全全地將孩子交在神的手裡
[00:02:00.600 --> 00:02:05.800]  讓神引領、保守和指引他們走人生的歷程?」
[00:02:05.800 --> 00:02:12.400]  第三「你是否願意在主的道中教養孩子
[00:02:12.400 --> 00:02:17.600]  使孩子的信心成長、靈性成熟、討神喜悅?」
[00:02:17.600 --> 00:02:21.800]  最後一句是關於所有人事的
[00:02:21.800 --> 00:02:23.400]  眾弟兄姊妹們
[00:02:23.400 --> 00:02:26.200]  你們已經聽見父母的承諾
[00:02:26.200 --> 00:02:30.800]  但他們很難單獨地完成這個使命
[00:02:30.800 --> 00:02:32.600]  讓孩子成長
[00:02:32.600 --> 00:02:36.200]  我們在主裡是一家共同的責任
[00:02:36.200 --> 00:02:39.400]  因為神賜給我們一個屬靈的家
[00:02:39.400 --> 00:02:42.000]  這個孩子也是我們的孩子
[00:02:42.000 --> 00:02:44.600]  所以我們願意去分擔
[00:02:44.600 --> 00:02:47.800]  和支持他們心靈的成長
[00:02:47.800 --> 00:02:49.400]  所以弟兄姊妹們
[00:02:49.400 --> 00:02:53.000]  你們是否願意為他們代禱
[00:02:53.000 --> 00:02:57.600]  用言語和行為鼓勵、支持他們呢?
[00:02:57.600 --> 00:03:02.400]  當時我們無論在所有的人
[00:03:02.400 --> 00:03:04.600]  除了父母、守望父母
[00:03:04.600 --> 00:03:06.200]  所有的會眾
[00:03:06.200 --> 00:03:08.200]  都希望能夠立一個勢
[00:03:08.200 --> 00:03:10.200]  真的願意去完成
[00:03:10.200 --> 00:03:13.800]  去幫助父母、孩子
[00:03:13.800 --> 00:03:16.400]  建立一個生命和價值觀
[00:03:16.400 --> 00:03:18.800]  令他們熱愛教會、家庭
[00:03:18.800 --> 00:03:23.000]  願這個孩子一生都會讓神引領
[00:03:23.000 --> 00:03:25.000]  和在他們的保守裡
[00:03:25.000 --> 00:03:29.000]  所以聽完之後
[00:03:29.000 --> 00:03:31.000]  很有意思地和大家溫習一下
[00:03:31.000 --> 00:03:35.800]  千萬不要忘記我們真的有做過這個立誓
[00:03:35.800 --> 00:03:39.800]  尤其是我們早兩年開始有守望父母的時候
[00:03:39.800 --> 00:03:45.200]  真的不要忘記為你所承諾的孩子
[00:03:45.200 --> 00:03:47.600]  多多去禱告、守望
[00:03:48.800 --> 00:03:52.200]  當然回過頭來看
[00:03:52.200 --> 00:03:55.200]  一定是作為父母的
[00:03:55.200 --> 00:03:59.400]  在孩子的屬靈成長裡走到最前線
[00:03:59.400 --> 00:04:01.400]  這是一定的
[00:04:01.400 --> 00:04:04.000]  而我們任何一位
[00:04:04.000 --> 00:04:07.000]  雖然未必是一個肉身的父母
[00:04:07.000 --> 00:04:08.600]  但是我們都是一個
[00:04:08.600 --> 00:04:10.000]  剛才的誓詞一樣
[00:04:10.000 --> 00:04:12.600]  是一個屬靈的大家庭的觀念
[00:04:12.600 --> 00:04:15.400]  所以當教會裡每一個孩子
[00:04:15.400 --> 00:04:17.800]  我們都要放在心上
[00:04:17.800 --> 00:04:21.400]  我們都可能真的成為他們的屬靈父母
[00:04:21.400 --> 00:04:25.800]  又或者成為他們的屬靈的生命師父
[00:04:25.800 --> 00:04:28.000]  我們無論是怎樣也好
[00:04:28.000 --> 00:04:29.400]  什麼角色也好
[00:04:29.400 --> 00:04:33.000]  我們都要常常紀念我們這一代的孩子
[00:04:33.000 --> 00:04:35.600]  或者這一刻暫時都不知道
[00:04:35.600 --> 00:04:39.000]  究竟我們身上可以做些什麼
[00:04:39.000 --> 00:04:44.800]  但是至少我們都可以畏懼不住地禱告
[00:04:44.800 --> 00:04:51.800]  曾經不少人問為何我們教會的人數會下跌
[00:04:51.800 --> 00:04:53.600]  相信一提到這個問題
[00:04:53.600 --> 00:04:55.800]  原因是可以有很多
[00:04:55.800 --> 00:04:58.200]  以我其中一個觀察
[00:04:58.200 --> 00:05:02.400]  就是我們真的流失了很多年輕一代
[00:05:02.400 --> 00:05:04.200]  所以我們也看到
[00:05:04.200 --> 00:05:06.000]  環顧整個香港
[00:05:06.000 --> 00:05:09.400]  這也是我們香港教會的挑戰
[00:05:09.400 --> 00:05:14.200]  原來不少教會跟我們所面對的相同
[00:05:14.200 --> 00:05:18.200]  所以如果我們不再關注我們新一代
[00:05:18.200 --> 00:05:22.400]  我們這群年輕孩子的福音問題
[00:05:22.400 --> 00:05:25.200]  他們屬靈成長的問題
[00:05:25.200 --> 00:05:28.800]  恐怕我們教會也沒有辦法傳承下去
[00:05:28.800 --> 00:05:31.800]  所以這也是我們每位弟兄姊妹
[00:05:31.800 --> 00:05:35.000]  都不可以再獨善其身的問題
[00:05:35.000 --> 00:05:37.200]  不過當然一提到這個課題
[00:05:37.200 --> 00:05:39.200]  似乎都相當大
