
[00:00:00.000 --> 00:00:01.720]  好,各位親愛的大兄姐妹,你們好
[00:00:01.720 --> 00:00:05.280]  很開心可以和大家一起言獨臣的華語
[00:00:05.280 --> 00:00:08.280]  雖然現在在這一刻,我是在以色列
[00:00:08.280 --> 00:00:11.360]  我剛剛在16號就開始飛到以色列了
[00:00:11.360 --> 00:00:13.440]  其實是在約旦
[00:00:13.440 --> 00:00:15.160]  但是我經常覺得
[00:00:15.160 --> 00:00:18.120]  一個人要有決心和有所堅持
[00:00:18.120 --> 00:00:21.480]  如果認為對的事情,就繼續堅持下去
[00:00:21.480 --> 00:00:23.440]  以及要有鬥志的
[00:00:23.440 --> 00:00:26.800]  所以雖然我不能夠和大家直播
[00:00:26.800 --> 00:00:28.720]  但是我都會錄影了
[00:00:28.720 --> 00:00:31.480]  和大家一起分享神的說話
[00:00:31.480 --> 00:00:36.000]  這次我們會看《聖靈果子》的察經系列裡面
[00:00:36.000 --> 00:00:38.880]  我們會看到第二個特質
[00:00:38.880 --> 00:00:41.640]  就是講到神的喜樂
[00:00:41.640 --> 00:00:46.600]  大家一想到,究竟神是不是真的會很喜樂呢?
[00:00:46.600 --> 00:00:48.480]  因為我們經常想到
[00:00:48.480 --> 00:00:51.560]  神看著我們,經常都會犯法
[00:00:51.560 --> 00:00:54.360]  又經常違背祂的心意
[00:00:54.360 --> 00:00:58.320]  所以神是不會有一個喜樂的心態的
[00:00:58.320 --> 00:01:01.760]  如果我們要看很多的聖話
[00:01:01.760 --> 00:01:05.240]  去描繪神是怎麼樣,或者耶穌基督
[00:01:05.240 --> 00:01:07.920]  很多時候都是愁眉深鎖
[00:01:07.920 --> 00:01:11.160]  是很不開心的樣子
[00:01:11.160 --> 00:01:13.440]  所以我們是很難去想
[00:01:13.440 --> 00:01:16.120]  神是怎麼樣喜樂的呢?
[00:01:16.120 --> 00:01:17.840]  更加有人認為
[00:01:17.840 --> 00:01:20.040]  喜樂是一種情緒來的
[00:01:20.040 --> 00:01:22.840]  我們人有喜怒哀樂
[00:01:22.840 --> 00:01:25.000]  神是靈
[00:01:25.000 --> 00:01:27.920]  我們很難想像到靈是什麼呢?
[00:01:27.920 --> 00:01:29.600]  靈是沒有實質的
[00:01:29.600 --> 00:01:32.320]  為什麼會有喜樂呢?
[00:01:32.320 --> 00:01:34.560]  特別是他們是受著
[00:01:34.560 --> 00:01:38.160]  特別是中世紀,或者剛剛教會初期的時候
[00:01:38.160 --> 00:01:41.440]  都受著希臘的哲學思想影響
[00:01:41.440 --> 00:01:45.560]  他們認為神是超越的
[00:01:45.560 --> 00:01:50.120]  所以神是不會受任何的影響
[00:01:50.120 --> 00:01:53.160]  所以神是怎麼會有喜樂呢?
[00:01:53.160 --> 00:01:58.000]  但是主耶穌基督江西成為人的時候
[00:01:58.000 --> 00:02:01.720]  這個時候就有人那種表達的情緒
[00:02:01.720 --> 00:02:04.360]  我們就很清楚看到
[00:02:04.360 --> 00:02:07.640]  原來神是有喜樂的
[00:02:07.640 --> 00:02:10.480]  聖經裡面喜樂這個字
[00:02:10.480 --> 00:02:14.120]  在舊約裡面多數都會出現
[00:02:14.120 --> 00:02:17.960]  就是發自內心的那種歡喜
[00:02:17.960 --> 00:02:22.720]  這個時候新約就用Kara或者Karis這個字
[00:02:22.720 --> 00:02:26.280]  至少出現了146次這麼多
[00:02:26.280 --> 00:02:30.520]  而喜樂和恩惠這兩個字
[00:02:30.520 --> 00:02:33.200]  其實是同一個字根來的
[00:02:33.200 --> 00:02:35.520]  是基本相同的
[00:02:35.520 --> 00:02:38.560]  所以有喜樂也有恩典
[00:02:38.560 --> 00:02:42.320]  我們看看究竟神是怎麼會有喜樂呢?
[00:02:42.320 --> 00:02:45.560]  第一就是創造的喜樂
[00:02:45.560 --> 00:02:50.640]  我們先來看詩篇104篇的第31節
[00:02:50.640 --> 00:02:53.920]  「願耶和華的榮耀傳到永遠」
[00:02:53.920 --> 00:02:58.000]  「願耶和華喜悅自己所造的」
[00:02:58.000 --> 00:03:01.840]  創世紀裡面叫做「神所創造」
[00:03:01.840 --> 00:03:04.400]  記不記得這個「好」字呢?
[00:03:04.400 --> 00:03:08.400]  神造業之後看著一切都是好的
[00:03:08.400 --> 00:03:10.960]  出現了7次這麼多
[00:03:10.960 --> 00:03:15.200]  這個時候創造是神的心意
[00:03:15.200 --> 00:03:19.040]  這個時候所以神是會很開心的
[00:03:19.040 --> 00:03:21.280]  你做完一件事的時候
[00:03:21.280 --> 00:03:23.280]  你再看回你自己的作品
[00:03:23.280 --> 00:03:27.360]  你覺不覺得很開心呢?
[00:03:27.360 --> 00:03:29.040]  很簡單舉個例子
[00:03:29.040 --> 00:03:33.520]  特別在香港來的婦女們
[00:03:33.520 --> 00:03:36.560]  以前在香港有一些工人
