
[00:00:00.000 --> 00:00:02.000]  創世紀四章一至十二節
[00:00:02.000 --> 00:00:06.000]  這段經文就記載上帝創造了亞當夏娃
[00:00:06.000 --> 00:00:09.000]  亞當夏娃犯了罪,遠離了上帝
[00:00:09.000 --> 00:00:12.000]  之後他們生了一對兒子
[00:00:12.000 --> 00:00:16.000]  大兒子是戈壬的,小兒子是亞伯
[00:00:16.000 --> 00:00:19.000]  大兒子是種田的,即耕田的
[00:00:19.000 --> 00:00:22.000]  小兒子是牧羊的
[00:00:22.000 --> 00:00:28.000]  於是他們在同一日,差不多大家獻祭給上帝
[00:00:28.000 --> 00:00:36.000]  亞伯種田,拿種田的植物,蔬果菜來獻祭給上帝
[00:00:36.000 --> 00:00:42.000]  亞伯就將羊群裏面投生的羊之後獻給神
[00:00:42.000 --> 00:00:44.000]  但結果是怎樣呢?
[00:00:44.000 --> 00:00:46.000]  神就預納了亞伯的獻祭
[00:00:46.000 --> 00:00:50.000]  沒有預納戈壬獻祭,於是戈壬就很生氣
[00:00:50.000 --> 00:00:54.000]  在這裏的時候,我們看這段經文的時候
[00:00:54.000 --> 00:00:58.000]  很多時候都會有一個信仰疑問
[00:00:58.000 --> 00:00:59.000]  這個信仰疑問是甚麼呢?
[00:00:59.000 --> 00:01:04.000]  為甚麼神不接受戈壬的獻祭呢?
[00:01:04.000 --> 00:01:08.000]  而是接受了亞伯的獻祭,那個動物呢?
[00:01:08.000 --> 00:01:13.000]  我今天就好像當作一個信仰疑問解答這個問題
[00:01:13.000 --> 00:01:15.000]  不知道能否帶出一些訊息
[00:01:15.000 --> 00:01:19.000]  如果你在星球裏面,基本上經文是沒有直接解釋的
[00:01:19.000 --> 00:01:22.000]  解釋究竟是甚麼原因就沒有了
[00:01:22.000 --> 00:01:26.000]  不過人總會在智慧行間裏面找一些細節
[00:01:26.000 --> 00:01:28.000]  會否在這些細節裏面透露了一些原因
[00:01:28.000 --> 00:01:31.000]  讓我知道為甚麼神不預納戈壬的獻祭
[00:01:31.000 --> 00:01:34.000]  而只預納亞伯的獻祭呢?
[00:01:34.000 --> 00:01:37.000]  於是大概有三類
[00:01:37.000 --> 00:01:39.000]  其實都多了,大概有三類和大家分享
[00:01:39.000 --> 00:01:41.000]  第一類的解釋就是
[00:01:41.000 --> 00:01:45.000]  戈壬所獻的動物是由地裏面出產
[00:01:45.000 --> 00:01:47.000]  因為它是間諜動物,地裏面出產
