
[00:00:00.000 --> 00:00:02.000]  (主席)各位電影姊妹,你們好
[00:00:02.000 --> 00:00:04.000]  今天很高興來到大家當中
[00:00:04.000 --> 00:00:06.000]  跟大家分享一句話語
[00:00:06.000 --> 00:00:09.000]  在英國的姊妹們是特別有福的
[00:00:09.000 --> 00:00:11.000]  為什麼呢?
[00:00:11.000 --> 00:00:13.000]  當你在香港過來的時候
[00:00:13.000 --> 00:00:15.000]  有兩個母親節
[00:00:15.000 --> 00:00:17.000]  在英國是三月
[00:00:17.000 --> 00:00:19.000]  一定要和你慶祝
[00:00:19.000 --> 00:00:21.000]  如果你家人不和你慶祝
[00:00:21.000 --> 00:00:23.000]  你就要入鄉隨俗
[00:00:23.000 --> 00:00:26.000]  你竟然忘記和我慶祝母親節
[00:00:26.000 --> 00:00:28.000]  罪大惡極
[00:00:28.000 --> 00:00:30.000]  慶祝就不等於今天
[00:00:30.000 --> 00:00:32.000]  五月第二個星期就是香港
[00:00:32.000 --> 00:00:34.000]  或其他地方的母親節
[00:00:34.000 --> 00:00:36.000]  不可以因為慶祝了
[00:00:36.000 --> 00:00:38.000]  英國的母親節
[00:00:38.000 --> 00:00:40.000]  今天不慶祝
[00:00:40.000 --> 00:00:42.000]  你的丈夫或同事說
[00:00:42.000 --> 00:00:44.000]  三月和你慶祝了
[00:00:44.000 --> 00:00:46.000]  這麼快就忘本了
[00:00:46.000 --> 00:00:48.000]  我們的根在香港
[00:00:48.000 --> 00:00:50.000]  所以怎麼可以沒有母親節的慶祝
[00:00:50.000 --> 00:00:52.000]  所以你們真的很好
[00:00:52.000 --> 00:00:54.000]  有兩個母親節
[00:00:54.000 --> 00:00:56.000]  所以我一直說這個世界男女不得平等
[00:00:56.000 --> 00:00:58.000]  父親節是什麼時候?
[00:00:58.000 --> 00:01:02.000]  記得也算好了
[00:01:02.000 --> 00:01:04.000]  有些人是不記得的
[00:01:04.000 --> 00:01:06.000]  六月第三個星期
[00:01:06.000 --> 00:01:08.000]  希望你們記得可憐你的丈夫
[00:01:08.000 --> 00:01:10.000]  或者可憐你的父親
[00:01:10.000 --> 00:01:12.000]  好不好?
[00:01:12.000 --> 00:01:14.000]  今天是母親節
[00:01:14.000 --> 00:01:16.000]  所以我特別講一篇訊息
[00:01:16.000 --> 00:01:18.000]  是為母親而設的
[00:01:18.000 --> 00:01:20.000]  如果在我們當中
