
[00:00:00.000 --> 00:00:02.000]  (主席)各位親愛的姐妹,早安!
[00:00:02.000 --> 00:00:07.000]  很高興能夠和大家繼續思想聖經神的話語
[00:00:07.000 --> 00:00:11.000]  特別今天和大家思想這個詩篇
[00:00:11.000 --> 00:00:16.000]  如果我告訴你,我是很喜歡這個詩篇
[00:00:16.000 --> 00:00:19.000]  是絕對是對的
[00:00:19.000 --> 00:00:24.000]  在1984年,我在多倫多開了一間基督教書局
[00:00:24.000 --> 00:00:26.000]  你猜叫什麼名字呢?
[00:00:26.000 --> 00:00:29.000]  啊?你猜叫什麼名字呢?
[00:00:29.000 --> 00:00:31.000]  叫做Agape Bookstore
[00:00:31.000 --> 00:00:34.000]  Agape,即是我們現在這件衣服的領子那裡
[00:00:34.000 --> 00:00:36.000]  那個Agape那個字
[00:00:36.000 --> 00:00:39.000]  我改它做恆愛書室
[00:00:39.000 --> 00:00:42.000]  恆愛,這個是神的愛的字
[00:00:42.000 --> 00:00:44.000]  所以恆,永恆的愛
[00:00:44.000 --> 00:00:48.000]  做了幾年之後呢,儲到一點點錢
[00:00:48.000 --> 00:00:51.000]  其實不是賺錢,只不過把貨賣了
[00:00:51.000 --> 00:00:54.000]  有錢剩下來,是不是?
[00:00:54.000 --> 00:00:56.000]  我又開了另外一間的書局
[00:00:56.000 --> 00:00:58.000]  你猜叫什麼名字呢?
[00:00:58.000 --> 00:01:01.000]  就是叫做青草地
[00:01:01.000 --> 00:01:04.000]  英文呢,就是323
[00:01:04.000 --> 00:01:10.000]  那個招牌就寫著PSALM3,讀3,即是詩篇
[00:01:10.000 --> 00:01:13.000]  然後呢,就是23篇,詩篇23篇
[00:01:13.000 --> 00:01:15.000]  中文叫做青草地
[00:01:15.000 --> 00:01:19.000]  我已經忘記了,我是今早起床的時候
[00:01:19.000 --> 00:01:21.000]  我就選衣服穿
[00:01:21.000 --> 00:01:24.000]  我選衣服呢,是有講究的
[00:01:24.000 --> 00:01:27.000]  譬如,我去喪禮,大家知道會選什麼顏色的
[00:01:27.000 --> 00:01:30.000]  我沒理由穿一件紅色的衣服去,是不是?
[00:01:30.000 --> 00:01:34.000]  我去醫院探訪,看看那個狀態如何
[00:01:34.000 --> 00:01:38.000]  如果那個弟兄姊妹,或者是被探訪者呢
[00:01:38.000 --> 00:01:42.000]  是很危難,危急的時候呢
[00:01:42.000 --> 00:01:46.000]  我都不會穿到很鮮色的衣服
[00:01:46.000 --> 00:01:49.000]  當然我又不會穿到黑色,灰色的衣服
