
[00:00:00.000 --> 00:00:06.640]  今天來到我們曾經擁有或者天長地久的港島系列的第三堂
[00:00:06.640 --> 00:00:09.160]  因為上星期我們Father's Day
[00:00:09.160 --> 00:00:11.960]  所以我們沒有接下來這個系列
[00:00:11.960 --> 00:00:13.280]  我們隔了一個星期
[00:00:13.280 --> 00:00:16.920]  這次我們重新再來第三堂
[00:00:16.920 --> 00:00:20.560]  不知道大家記不記得我們第二堂說什麼
[00:00:20.560 --> 00:00:23.320]  我們第二堂如果你不記得就提醒你
[00:00:23.320 --> 00:00:26.600]  我們的題目就叫考慮放棄的掙扎
[00:00:26.600 --> 00:00:29.760]  因為很多時候我們人際關係到某個地步
[00:00:29.760 --> 00:00:31.960]  是真的很想放棄的
[00:00:31.960 --> 00:00:35.880]  這也是我們人一個很自然的傾向
[00:00:35.880 --> 00:00:39.040]  無論是婚姻出現問題我們要想離婚
[00:00:39.040 --> 00:00:43.960]  跟朋友相處出現問題我們就不要做朋友
[00:00:43.960 --> 00:00:47.960]  小組出了問題我們會考慮換小組
[00:00:47.960 --> 00:00:51.960]  在教會人際關係出問題我們會考慮轉教會
[00:00:51.960 --> 00:00:54.040]  所以很多人一直轉小組
[00:00:54.040 --> 00:00:56.560]  也有些人不斷地換教會
[00:00:56.560 --> 00:00:59.760]  其實人是很容易放棄的
[00:00:59.760 --> 00:01:03.080]  我們交朋友遇到傷害不開心的時候
[00:01:03.080 --> 00:01:05.280]  我們會想不如我們放棄
[00:01:05.280 --> 00:01:07.560]  但其實放棄對我們來說
[00:01:07.560 --> 00:01:09.960]  其實當我們認真去思考
[00:01:09.960 --> 00:01:13.280]  這並不是一個很明智的選擇
[00:01:13.280 --> 00:01:16.360]  因為放棄是不可行的
[00:01:16.360 --> 00:01:19.960]  為什麼呢?因為離婚
[00:01:19.960 --> 00:01:22.960]  你也知道第一次結婚的離婚率是50%
[00:01:22.960 --> 00:01:28.160]  第二次結婚的離婚率是75%
[00:01:28.160 --> 00:01:30.960]  到第三次就變成83%
[00:01:30.960 --> 00:01:33.360]  所以離婚率是隨著
[00:01:33.360 --> 00:01:36.160]  不會因為你放棄了你換一個人
[00:01:36.160 --> 00:01:39.760]  問題就沒有了你就解決了
[00:01:39.760 --> 00:01:42.560]  很多人換教會也是
[00:01:42.560 --> 00:01:45.760]  很多人換了很多間教會都覺得沒有一間適合他
[00:01:45.760 --> 00:01:47.760]  所以又是不會說換一間教會
[00:01:47.760 --> 00:01:49.760]  這些問題就消失了
[00:01:49.760 --> 00:01:51.160]  因為人際關係的問題
[00:01:51.160 --> 00:01:55.360]  其實我們個人要負很大部份的責任
[00:01:55.360 --> 00:01:56.960]  我們的問題不解決
[00:01:56.960 --> 00:01:59.360]  即使換了一個人 換了一個環境
[00:01:59.360 --> 00:02:01.960]  那些問題還是會重新出現
[00:02:01.960 --> 00:02:04.760]  所以今天我們有這個系列
[00:02:04.760 --> 00:02:08.360]  就是我們要特別針對我們的人際關係來說
[00:02:08.360 --> 00:02:11.960]  在《創世紀》的第二章
[00:02:11.960 --> 00:02:15.560]  其實當神創造天地萬物的時候
[00:02:15.560 --> 00:02:16.960]  所有東西都是很好的
[00:02:16.960 --> 00:02:19.360]  神說有光就有光
[00:02:19.360 --> 00:02:21.160]  神看光為好的
[00:02:21.160 --> 00:02:22.360]  所有東西都是好的
[00:02:22.360 --> 00:02:23.760]  唯有一個不好的就是
[00:02:23.760 --> 00:02:26.560]  神創造亞當的時候說
[00:02:26.560 --> 00:02:29.960]  那人獨居不好
[00:02:29.960 --> 00:02:32.560]  這個是創世當中唯一一個不好的地方
[00:02:32.560 --> 00:02:35.160]  所以神覺得我們獨居是不好的
[00:02:35.160 --> 00:02:37.360]  所以神創造我們的設計
[00:02:37.360 --> 00:02:38.960]  我們就是群體動物
[00:02:38.960 --> 00:02:40.760]  我們需要跟人有關係
[00:02:40.760 --> 00:02:42.360]  跟人有愛的關係
[00:02:42.360 --> 00:02:46.160]  雖然亞當當時已經有動物跟他做伴
[00:02:46.160 --> 00:02:48.760]  因為亞當當時還沒有犯罪
[00:02:48.760 --> 00:02:51.560]  所以我們跟動物的關係
[00:02:51.560 --> 00:02:53.960]  在那時候還沒有破裂
[00:02:53.960 --> 00:02:56.360]  所以那時候你可以跟任何動物玩
[00:02:56.360 --> 00:02:58.360]  包括老虎 獅子 熊
[00:02:58.360 --> 00:02:59.760]  現在就不行了
[00:02:59.760 --> 00:03:01.760]  現在最多貓貓狗狗
[00:03:01.760 --> 00:03:04.360]  以前所有動物你都可以親近
