
[00:00:00.000 --> 00:00:04.840]  今天基督教給人的印象是怎樣的呢?
[00:00:04.840 --> 00:00:09.480]  是否有些人想起基督教就想起有很多儀式的
[00:00:09.480 --> 00:00:11.200]  有很多規矩的
[00:00:11.200 --> 00:00:15.320]  或者有很多的活動要參與的
[00:00:15.320 --> 00:00:17.120]  而有些人想起基督教
[00:00:17.120 --> 00:00:22.520]  很少想起我們究竟信一個甚麼的神呢?
[00:00:22.520 --> 00:00:25.160]  很多人信耶穌來到教會
[00:00:25.160 --> 00:00:30.320]  我們都不是很關心到底我們信一個甚麼的神
[00:00:30.320 --> 00:00:32.800]  我們關心我們自己的問題
[00:00:32.800 --> 00:00:35.360]  我們關心我們自己的需要
[00:00:35.360 --> 00:00:40.960]  我們關心我們應該做些甚麼事情呢?
[00:00:40.960 --> 00:00:43.320]  中國人很實際的
[00:00:43.320 --> 00:00:46.960]  所以我們比較關心我們的行為
[00:00:46.960 --> 00:00:51.640]  中國人很重視怎樣去做一個好人
[00:00:51.640 --> 00:00:57.120]  所以很多人覺得宗教都是導人向善的
[00:00:57.120 --> 00:00:58.880]  我們做不到好人
[00:00:58.880 --> 00:01:02.960]  我們就靠耶穌幫我們去做一個好人
[00:01:02.960 --> 00:01:07.000]  所以我們比較關心我們應該怎樣去做人
[00:01:07.000 --> 00:01:12.280]  而我們不是很關心究竟福音告訴我們甚麼呢?
[00:01:12.280 --> 00:01:14.600]  我們說信耶穌是信福音
[00:01:14.600 --> 00:01:16.200]  福音是一個好的消息
[00:01:16.200 --> 00:01:19.360]  這個好的消息告訴我們甚麼呢?
[00:01:19.360 --> 00:01:23.920]  是不是告訴我們怎樣做一個好人呢?
[00:01:23.920 --> 00:01:25.240]  不是的
[00:01:25.240 --> 00:01:27.480]  我們知道基督教很重要
[00:01:27.480 --> 00:01:28.320]  耶穌來做甚麼呢?
[00:01:28.320 --> 00:01:31.680]  耶穌來拯救罪人
[00:01:31.680 --> 00:01:35.160]  我們是耶穌所拯救的罪人
[00:01:35.160 --> 00:01:38.840]  聖經沒有說耶穌來教人做好人
[00:01:38.840 --> 00:01:42.640]  我們今天會在《小行傳》第十三章
