
[00:00:00.000 --> 00:00:06.400]  上個主人我們看見教會蒙受逼迫
[00:00:06.400 --> 00:00:08.600]  私提犯殉道
[00:00:08.600 --> 00:00:14.800]  這是第六第七章記載一個很重要的轉捩點
[00:00:14.800 --> 00:00:19.320]  因為從這個之後去到今天的第八章
[00:00:19.320 --> 00:00:22.120]  《使唐傳》就進入到另外一個領域了
[00:00:22.120 --> 00:00:26.120]  這個領域就在《使唐傳》第一章
[00:00:26.120 --> 00:00:29.720]  這全本書的金句我們可以看見的
[00:00:29.720 --> 00:00:34.040]  我們一起讀一次第一章第八章
[00:00:34.040 --> 00:00:35.800]  請讀
[00:00:35.800 --> 00:00:42.000]  「但聖靈都臨在你們身上,你們就必得著行令」
[00:00:42.000 --> 00:00:47.880]  「必要在耶路撒冷,猶太傳遞和撒瑪利亞」
[00:00:47.880 --> 00:00:51.520]  「直到秘極,作我的天成」
[00:00:51.520 --> 00:00:57.720]  這個就是主耶穌給當時的使徒準備教會開始
[00:00:57.720 --> 00:01:02.440]  之前主耶穌有一個應許、有一個使命、有一個吩咐
[00:01:02.440 --> 00:01:05.920]  叫他們能夠在耶路撒冷等候聖靈降臨
[00:01:05.920 --> 00:01:09.600]  教會時代一個新的開始
[00:01:09.600 --> 00:01:15.720]  所以這是一個很重要的成本《使唐傳》的藍圖
[00:01:15.720 --> 00:01:19.040]  就是他們得著能力之後就見證耶穌基督
[00:01:19.040 --> 00:01:21.400]  為主耶穌基督做見證
[00:01:21.400 --> 00:01:24.400]  從耶路撒冷他們當時有的地方
[00:01:24.400 --> 00:01:27.440]  等候聖靈降臨教會成立在耶路撒冷
[00:01:27.440 --> 00:01:29.040]  新約的教會
[00:01:29.040 --> 00:01:34.320]  所以由第1章一直到第7章
[00:01:34.320 --> 00:01:37.640]  都是在耶路撒冷的事情
[00:01:37.640 --> 00:01:40.640]  但是由第8章開始進入另一個領域
[00:01:40.640 --> 00:01:44.720]  這個領域在這裏highlight了的就是
[00:01:44.720 --> 00:01:48.680]  猶太傳遞和撒瑪利亞
[00:01:48.680 --> 00:01:53.600]  然後再去到第12章
[00:01:53.600 --> 00:01:59.200]  第13章就是安提柯外邦的教會成立之後
[00:01:59.200 --> 00:02:03.640]  他們從耶路撒冷武會慢慢轉移到
[00:02:03.640 --> 00:02:07.120]  因為受逼迫很多很多的信徒分散
[00:02:07.120 --> 00:02:09.840]  然後就去到安提柯
[00:02:09.840 --> 00:02:13.800]  在那裏就人稱信徒為基督徒
[00:02:13.800 --> 00:02:16.600]  然後就開始保羅的行程
[00:02:16.600 --> 00:02:20.400]  這個保羅宣教行程可以說是進入第三個階段
[00:02:20.400 --> 00:02:22.160]  就是直到帝極
[00:02:22.160 --> 00:02:25.840]  所以我們看到由第8章到第12章這段
[00:02:25.840 --> 00:02:27.040]  可以說是第二個階段
