
[00:00:00.000 --> 00:00:08.240]  我請大家在一齊同心禱告
[00:00:08.240 --> 00:00:10.880]  萬佑的主宰
[00:00:10.880 --> 00:00:15.080]  我們真的很想在你面前敬拜你
[00:00:15.080 --> 00:00:17.600]  因為你佩得
[00:00:17.600 --> 00:00:20.440]  處在你奇妙的創造天地
[00:00:20.440 --> 00:00:22.600]  你奇妙的拯救我們
[00:00:22.600 --> 00:00:24.800]  歸向你
[00:00:24.800 --> 00:00:26.520]  鑽你不單止拯救
[00:00:26.520 --> 00:00:27.920]  你更加應許
[00:00:27.920 --> 00:00:31.800]  你每一天與你的子民同在
[00:00:31.800 --> 00:00:34.320]  處在何等奇妙的恩惠
[00:00:34.320 --> 00:00:36.160]  塵土所造的人
[00:00:36.160 --> 00:00:41.040]  竟然有永恆的上帝與我們同在
[00:00:41.040 --> 00:00:42.560]  主我們感謝你
[00:00:42.560 --> 00:00:44.480]  因為你掌管我們人生
[00:00:44.480 --> 00:00:47.640]  也掌管著整個世界的歷史
[00:00:47.640 --> 00:00:49.280]  因為你是王
[00:00:49.280 --> 00:00:51.600]  你掌權
[00:00:51.600 --> 00:00:55.360]  主讓你佩得上一切的尊崇、讚美
[00:00:55.360 --> 00:00:59.320]  因為你持愛、公義、掌管萬人
[00:00:59.320 --> 00:01:01.520]  今天我們到你面前來敬拜你
[00:01:01.520 --> 00:01:05.360]  很願意來到高舉你、讚美你
[00:01:05.360 --> 00:01:08.000]  求親愛的主保守我們的心
[00:01:08.000 --> 00:01:10.960]  也向上留心你的旨意
[00:01:10.960 --> 00:01:14.600]  讓我們更加見到你是那位天地的主
[00:01:14.600 --> 00:01:20.040]  更加明白你是那位次下指引教導的主
[00:01:20.040 --> 00:01:23.400]  我們就敬畏你、聽從你
[00:01:23.400 --> 00:01:26.440]  如今我們一起打開聖經思想你的說話
[00:01:26.440 --> 00:01:28.080]  我們仰望親愛的主
[00:01:28.080 --> 00:01:30.200]  來到指教我們
[00:01:30.200 --> 00:01:31.880]  我們仰望禱告
[00:01:31.880 --> 00:01:34.200]  奉耶穌基督的聖名祈求
[00:01:34.200 --> 00:01:36.840]  阿們
[00:01:36.840 --> 00:01:40.760]  各位聽眾我們今天繼續思想《大義理書》的經文
[00:01:40.760 --> 00:01:44.000]  如果大家記得我們上次提到《大義理書》
[00:01:44.000 --> 00:01:46.760]  一個很重要的核心訊息
[00:01:46.760 --> 00:01:53.120]  就是講述到上帝在人的世間掌權
[00:01:53.120 --> 00:01:58.720]  神權超越了政權和地上的君權
[00:01:58.720 --> 00:02:02.720]  這個是整個《大義理書》一路傳達的訊息
[00:02:02.720 --> 00:02:04.120]  當你再讀的時候你會發覺
[00:02:04.120 --> 00:02:08.040]  大義理裡面講述很多很多的君王
[00:02:08.040 --> 00:02:11.200]  當中包括了有很殘暴的君王
[00:02:11.200 --> 00:02:14.080]  有獨裁的君王
[00:02:14.080 --> 00:02:15.680]  但是在這個過程當中
[00:02:15.680 --> 00:02:17.960]  大義理清楚地承認
[00:02:17.960 --> 00:02:21.160]  有一位萬王之王
[00:02:21.160 --> 00:02:22.840]  當時已經講到王的時候
[00:02:22.840 --> 00:02:25.200]  很多人都會明白是在講一些
[00:02:25.200 --> 00:02:30.080]  能夠可以支配掌握一切地上的事情的人
[00:02:30.080 --> 00:02:34.040]  但是已經講述到有一位萬王之王
[00:02:34.040 --> 00:02:35.680]  不單止他創造天地
[00:02:35.680 --> 00:02:40.520]  他更加掌管著一切大小的事情
[00:02:40.520 --> 00:02:44.040]  掌管著人類的歷史
[00:02:44.040 --> 00:02:45.880]  有些時候當我們在世界上面
[00:02:45.880 --> 00:02:47.400]  我們都會體會自己
[00:02:47.400 --> 00:02:49.680]  會容易將我們的盼望
[00:02:49.680 --> 00:02:51.280]  我們的期望
[00:02:51.280 --> 00:02:54.520]  集中在地上一些有權勢的人身上
[00:02:54.520 --> 00:02:56.920]  或者某些政權的身上
[00:02:56.920 --> 00:02:58.320]  有時候我們以為
[00:02:58.320 --> 00:03:02.280]  所有的事情都在乎這些權勢
[00:03:02.280 --> 00:03:04.680]  也有些時候會迫切地將
[00:03:04.680 --> 00:03:07.080]  用一種短暫的眼光
[00:03:07.080 --> 00:03:10.680]  看我們今天的日子
[00:03:10.680 --> 00:03:14.000]  當我們這樣去看今天的世界的時候
[00:03:14.000 --> 00:03:16.320]  就會以為今天的事情
[00:03:16.320 --> 00:03:18.520]  就是永遠的事實
[00:03:18.520 --> 00:03:20.760]  因此當今天發生某些事情的時候
[00:03:20.760 --> 00:03:24.800]  我們會有時候會不自覺地覺得失落
[00:03:24.800 --> 00:03:28.520]  又或者會很想去靠著自己
[00:03:28.520 --> 00:03:30.960]  要去改變一些事情
[00:03:30.960 --> 00:03:33.680]  產生一些有時候不必要的一些躁動
[00:03:33.680 --> 00:03:36.400]  一些的行動
[00:03:36.400 --> 00:03:38.480]  但是何時我們看到
[00:03:38.480 --> 00:03:40.680]  其實一切的終局
[00:03:40.680 --> 00:03:44.160]  掌握在那位萬王之王的手中
[00:03:44.160 --> 00:03:45.960]  我們會有不同的眼光
[00:03:45.960 --> 00:03:47.240]  不同的感受
