
[00:00:00.000 --> 00:00:03.520]  我哋呢段時間講好多人嘅,人物,即係港獨裏面
[00:00:03.520 --> 00:00:06.640]  如果你有留心,即係你記返前幾周
[00:00:06.640 --> 00:00:08.980]  上一周阿Joe就講約
[00:00:08.980 --> 00:00:10.940]  嗰個神人,伊麗莎
[00:00:10.940 --> 00:00:13.240]  同埋嗰個書店嘅婦人
[00:00:13.240 --> 00:00:15.800]  再之前呢,就阿巨星講
[00:00:15.800 --> 00:00:18.380]  沒抵改,呢個民族英雄
[00:00:18.380 --> 00:00:21.060]  扭轉嘅民族,由被殺
[00:00:21.060 --> 00:00:24.640]  去到復興,去到被扭轉,被尊貴
[00:00:24.640 --> 00:00:27.440]  再之前,李希米
[00:00:27.440 --> 00:00:29.720]  帶領佢嘅同胞
[00:00:29.720 --> 00:00:32.740]  返嚟呢,耶路撒冷嗰度,重建聖牆
[00:00:32.740 --> 00:00:35.140]  再早嗰個,就係加勒
[00:00:35.140 --> 00:00:38.120]  呢個老人家,不過佢哋係八十幾歲
[00:00:38.120 --> 00:00:41.200]  仍然呢,有滿有異象,要睇得到呢
[00:00:41.200 --> 00:00:43.820]  即係主英佢嗰個希伯倫嘅山地
[00:00:43.820 --> 00:00:47.540]  其實呢啲都係呢,即係生命嘅奮進嚟嘅
[00:00:47.540 --> 00:00:49.960]  即係其實講啲點嘅,啲三文魚,係咪
[00:00:49.960 --> 00:00:52.580]  圖個圖畫係點樣跳上去,逆流而上
[00:00:52.580 --> 00:00:55.500]  咁呀,奮進嘅生命呢
[00:00:55.500 --> 00:00:59.340]  我哋睇到好多,好多嘅民族英雄
[00:00:59.340 --> 00:01:02.320]  喺聖經裏面嘅記載,好光輝烈烈嘅
[00:01:02.320 --> 00:01:05.160]  為神呢,做一啲嘅事,對群體
[00:01:05.160 --> 00:01:07.780]  對人,對佢哋神嘅百姓
[00:01:07.780 --> 00:01:10.680]  神嘅選民呢,有好大嘅扭轉
[00:01:10.680 --> 00:01:12.960]  有時呢,奮進嘅生命,呃
[00:01:12.960 --> 00:01:16.060]  呈現出嚟嘅面貌呢,唔一定係咁
[00:01:16.060 --> 00:01:18.960]  咁點樣講呀,咁英雄式嘅
[00:01:18.960 --> 00:01:22.920]  即係,我哋唔係人人都李希米,我哋唔係人人都係
[00:01:22.920 --> 00:01:24.160]  梅底葛係咪
[00:01:24.160 --> 00:01:27.440]  但係我諗呢,有,有另外一種
[00:01:27.440 --> 00:01:30.640]  奮進嘅生命嘅呈現呢,係比較上內在啲
[00:01:30.640 --> 00:01:33.520]  同埋呢,嗰種呢係,係,我覺得主係
[00:01:33.520 --> 00:01:36.360]  想我哋人人都,都擁有嘅,呢種嘅生命嘅
[00:01:36.360 --> 00:01:38.920]  氣質,咁呢,就係今日同大家分享呢,一位
[00:01:38.920 --> 00:01:41.920]  一位嘅呃,呃,女士呀,聖經裏面記載嘅
[00:01:41.920 --> 00:01:45.360]  一位個女士,佢,佢做咗一樣嘢
[00:01:45.360 --> 00:01:47.920]  嗰樣嘢呢,對佢嚟講,可能
[00:01:47.920 --> 00:01:50.500]  都幾大件事嚟嘅,對佢嚟講,不過呢
[00:01:50.500 --> 00:01:53.400]  我覺得最重要嘅地方就係,佢做完呢樣嘢之後呢
[00:01:53.400 --> 00:01:56.700]  耶穌嘅評價係如何,呢個先至係最重要嘅
[00:01:56.700 --> 00:02:00.160]  咁聽大家解開聖經,馬可福音十四章
[00:02:00.160 --> 00:02:04.100]  馬可福音十四章,第三至第九節
[00:02:04.100 --> 00:02:15.300]  唔係太長嘅啫,三至九節,我哋一齊全部讀晒呢段傾經,好唔好呀?一齊讀晒佢,請啦!
[00:02:27.700 --> 00:02:29.700]  下高腰在耶穌嘅頭上
[00:02:29.700 --> 00:02:32.700]  有幾個人心中很憤其語
[00:02:32.700 --> 00:02:36.700]  說,我做這仰望,為向高靚
[00:02:36.700 --> 00:02:40.700]  他在我身上作用是一件美事
[00:02:40.700 --> 00:02:43.700]  讓他患癌症,隨時都可以
[00:02:43.700 --> 00:02:47.700]  以致下向高遇天意在我身上
[00:02:47.700 --> 00:02:51.700]  那,無論在乜嘢地方,全是保養
[00:02:51.700 --> 00:02:55.700]  但要述說,是女人所作的意外記載
[00:02:55.700 --> 00:02:57.700]  呢個故事,我諗好多人都好熟識
[00:02:57.700 --> 00:02:59.700]  一個女人,個名都無記到
[00:02:59.700 --> 00:03:01.700]  打爛一個玉瓶
[00:03:01.700 --> 00:03:05.700]  佢講打爛個玉瓶,佢唔係拎嗰個蓋倒出嚟
[00:03:05.700 --> 00:03:07.700]  其實個意思姐係話
[00:03:07.700 --> 00:03:09.700]  要用晒佢囉
[00:03:09.700 --> 00:03:11.700]  姐係你唔可以再用,個樽都爛咗啦
