
[00:00:00.000 --> 00:00:03.340]  今天我預備了一個經文給大家
[00:00:03.340 --> 00:00:05.820]  因為今天是家庭聯合崇拜
[00:00:05.820 --> 00:00:08.900]  我也很想不要這麼嚴肅
[00:00:08.900 --> 00:00:12.340]  但其實說上帝的事又有些嚴肅
[00:00:12.340 --> 00:00:13.460]  但又有些落地
[00:00:13.460 --> 00:00:14.780]  又有些真實
[00:00:14.780 --> 00:00:16.540]  我又見到有小朋友在
[00:00:16.540 --> 00:00:19.300]  我們又會有很多輕鬆的時候
[00:00:19.300 --> 00:00:22.700]  我們今天說會一起去看一個題目
[00:00:22.700 --> 00:00:25.420]  就叫做「神定義賜福給你」
[00:00:25.420 --> 00:00:27.460]  神定義賜福給我們
[00:00:27.460 --> 00:00:29.540]  我們是一點都不陌生的
[00:00:29.540 --> 00:00:31.460]  如果我們作為一個基督徒
[00:00:31.460 --> 00:00:32.900]  我們是信耶穌的
[00:00:32.900 --> 00:00:36.580]  我們信耶穌那一刻就知道神愛我們了
[00:00:36.580 --> 00:00:38.460]  你們大家都領受過上帝的愛
[00:00:38.460 --> 00:00:39.540]  不陌生
[00:00:39.540 --> 00:00:42.540]  但是當在這個時代
[00:00:42.540 --> 00:00:45.740]  我們說是一個失控的時代
[00:00:45.740 --> 00:00:47.820]  我也覺得現在很失控
[00:00:47.820 --> 00:00:51.220]  可能是國家與國家的角力
[00:00:51.220 --> 00:00:53.220]  人與人之間的不信任
[00:00:53.220 --> 00:00:54.900]  很多欺騙
[00:00:54.900 --> 00:00:56.820]  詐騙案
[00:00:56.820 --> 00:00:58.860]  很失控
[00:00:58.860 --> 00:01:02.500]  以致我們如何去面對這個世界
[00:01:02.500 --> 00:01:08.100]  我們是否只聽到外面很多地震
[00:01:08.100 --> 00:01:09.700]  戰爭
[00:01:09.700 --> 00:01:10.780]  打架
[00:01:10.780 --> 00:01:11.940]  打仗
[00:01:11.940 --> 00:01:14.460]  那種童話
[00:01:14.460 --> 00:01:15.700]  那種新聞
[00:01:15.700 --> 00:01:18.580]  我們就能夠去面對到呢
[00:01:18.580 --> 00:01:20.140]  其實一定不是的
[00:01:20.140 --> 00:01:22.540]  反而令我們內心很害怕
[00:01:22.540 --> 00:01:25.060]  我們多了一份恐懼在內
[00:01:25.060 --> 00:01:26.620]  因為很失控
