
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹們,主內平安
[00:00:03.000 --> 00:00:05.000]  平姊妹們平安
[00:00:05.000 --> 00:00:09.000]  謝謝給我這個機會來粵語堂講道
[00:00:09.000 --> 00:00:12.000]  多謝各位讓我來到這裡,來到港島
[00:00:12.000 --> 00:00:14.000]  讓我們一起來禱告
[00:00:14.000 --> 00:00:15.000]  讓我們一起來祈禱
[00:00:15.000 --> 00:00:19.000]  親愛的天父,求你幫助我們來明白你的話語
[00:00:19.000 --> 00:00:22.000]  並且遵行你的話語
[00:00:22.000 --> 00:00:25.000]  捧好耶穌的名禱告,阿們
[00:00:25.000 --> 00:00:28.000]  阿們
[00:00:28.000 --> 00:00:30.000]  生活充滿壓力
[00:00:30.000 --> 00:00:33.000]  我們常常會覺得恐懼
[00:00:33.000 --> 00:00:37.000]  我們拼命地想抓住一些能抓住的東西
[00:00:37.000 --> 00:00:40.000]  好讓自己不被生活拋棄
[00:00:40.000 --> 00:00:43.000]  生活是充滿著壓力的
[00:00:43.000 --> 00:00:46.000]  我們時常會覺得恐懼
[00:00:46.000 --> 00:00:48.000]  拼命要抓住一些東西
[00:00:48.000 --> 00:00:53.000]  好像我們這樣才不會被生活拋棄
[00:00:53.000 --> 00:00:55.000]  有人想抓住容貌
[00:00:55.000 --> 00:00:57.000]  有人想抓住健康
[00:00:57.000 --> 00:00:59.000]  有人想抓住家庭
[00:00:59.000 --> 00:01:05.000]  當然,更多的人希望抓住權利和金錢
[00:01:05.000 --> 00:01:09.000]  因為這些東西可以帶給人們安全感
[00:01:09.000 --> 00:01:12.000]  有些人想抓住容貌
[00:01:12.000 --> 00:01:15.000]  有些人想抓住健康
[00:01:15.000 --> 00:01:18.000]  也有些人想抓住家庭
[00:01:18.000 --> 00:01:24.000]  當然,有更多的人想抓住權利、金錢
[00:01:24.000 --> 00:01:28.000]  因為這些東西會帶給人們安全感
[00:01:28.000 --> 00:01:31.000]  三千年前的以色列人
[00:01:31.000 --> 00:01:34.000]  他們又想抓住什麼呢?
[00:01:34.000 --> 00:01:36.000]  從以色列的歷史當中
[00:01:36.000 --> 00:01:40.000]  今天的我們又能學到哪些功課呢?
[00:01:40.000 --> 00:01:43.000]  三千年前的以色列人又是怎樣的呢?
[00:01:43.000 --> 00:01:46.000]  他們想抓住什麼呢?
[00:01:46.000 --> 00:01:48.000]  從以色列人的歷史裡
[00:01:48.000 --> 00:01:54.000]  知道這個道理是什麼
