
[00:00:00.000 --> 00:00:02.800]  好,我們又回到啟示錄的系列
[00:00:02.800 --> 00:00:06.280]  我們曾經說過很多和啟示錄這本書無關
[00:00:06.280 --> 00:00:11.880]  但是幫助我們去明白中末的事
[00:00:11.880 --> 00:00:14.600]  所以我們繞了一個detail
[00:00:14.600 --> 00:00:16.160]  我們回到啟示錄
[00:00:16.160 --> 00:00:20.720]  我們今天終於去到之前說了兩印
[00:00:20.720 --> 00:00:26.280]  我們這次說第三、第四、第五的印記
[00:00:26.280 --> 00:00:31.240]  我們說過啟示錄是歷史的主宰
[00:00:31.240 --> 00:00:34.120]  耶穌基督去打開這些印記
[00:00:34.120 --> 00:00:38.120]  去告訴我們世界的中末到底會發生什麼事
[00:00:38.120 --> 00:00:39.760]  以及我們作為祂的子民
[00:00:39.760 --> 00:00:42.160]  我們怎麼去做好預備
[00:00:42.160 --> 00:00:44.960]  所以我們打開啟示錄第六章
[00:00:44.960 --> 00:00:47.560]  我們今天先看第三印
[00:00:47.560 --> 00:00:50.480]  之前我們看過第一印是白馬
[00:00:50.480 --> 00:00:55.360]  我們說到密歐馬帝國看到白馬的時候
[00:00:55.360 --> 00:00:58.280]  有外環
[00:00:58.280 --> 00:01:00.840]  然後有紅馬就是內戰
[00:01:00.840 --> 00:01:04.480]  然後第三印就是今天我們看的黑馬
[00:01:04.480 --> 00:01:07.640]  顏色可能不太對,那裡有點錯誤
[00:01:07.640 --> 00:01:11.560]  黑馬就是錄章第五節
[00:01:11.560 --> 00:01:13.240]  我們先看
[00:01:13.240 --> 00:01:14.640]  揭開第三印的時候
[00:01:14.640 --> 00:01:18.160]  我聽見第三印第三個活物這麼說
[00:01:18.160 --> 00:01:19.760]  他說「你來」
[00:01:19.760 --> 00:01:22.880]  「我就觀看見一匹黑馬」
[00:01:22.880 --> 00:01:26.560]  「騎在馬上的手裡拿著天平」
[00:01:26.560 --> 00:01:31.200]  「我看見、聽見四活物似乎有聲音說」
[00:01:31.200 --> 00:01:33.920]  「一錢銀紙買一升墨紙」
[00:01:33.920 --> 00:01:37.280]  「一錢銀紙買三升大墨」
[00:01:37.280 --> 00:01:39.960]  「遊和走不可以糟蹋」
[00:01:39.960 --> 00:01:42.240]  說了什麼呢?說了三句話
[00:01:42.240 --> 00:01:44.880]  這個印記第三印
[00:01:44.880 --> 00:01:49.200]  說到一錢的銀紙買一升的小墨
[00:01:49.200 --> 00:01:55.760]  一錢銀紙當時大概一個勞工的一天薪金
[00:01:55.760 --> 00:02:01.480]  通常一家需要的食糧每一天
[00:02:01.480 --> 00:02:05.360]  就是所謂一升的小墨
[00:02:05.360 --> 00:02:08.440]  一升就好像美國大概一寸
[00:02:08.440 --> 00:02:13.360]  如果你懂得汽車維修的話
[00:02:13.360 --> 00:02:19.720]  那些一寸的汽車維修大約就是所謂中文譯做一升
[00:02:19.720 --> 00:02:26.280]  所以這裡說到一個人大約每天要吃一升的小墨
[00:02:26.280 --> 00:02:29.240]  第二句話就說
[00:02:29.240 --> 00:02:34.520]  一錢銀紙就要買三升的大墨
[00:02:34.520 --> 00:02:35.840]  什麼意思呢?
[00:02:35.840 --> 00:02:41.480]  在第一世紀的農耕社會、農業為主的社會
[00:02:41.480 --> 00:02:46.480]  如果小墨短缺的話
[00:02:46.480 --> 00:02:49.920]  就會用大墨
