
[00:00:00.000 --> 00:00:02.760]  我和低頭禱告 親愛的天父 懇求祢聖靈的能力來幫助我們
[00:00:02.760 --> 00:00:06.160]  讓我們明白祢的話語 建立我們的生命更加像禮
[00:00:06.160 --> 00:00:11.760]  使用我們 特別紀念到台灣是整個多元的家庭的立法
[00:00:11.760 --> 00:00:13.520]  我求祢親自的保守
[00:00:13.520 --> 00:00:18.320]  讓整個台灣在祢的保守當中 在祢的恩典裏面
[00:00:18.320 --> 00:00:21.040]  讓台灣人民能夠行在祢的心意
[00:00:21.040 --> 00:00:25.280]  能夠堅持一男一女 一夫一妻的制度
[00:00:25.280 --> 00:00:28.480]  天父我們讚美祢 我們禱告祢 奉主耶穌基督的名
[00:00:28.480 --> 00:00:33.920]  當我們講完 路加福音 耶穌基督的抉擇之後
[00:00:33.920 --> 00:00:37.280]  我們進入了一個 基督徒的價值觀的問題
[00:00:37.280 --> 00:00:40.320]  我們提及到 基督徒怎樣看工作呢
[00:00:40.320 --> 00:00:42.320]  我們提及到 基督徒怎樣看婚姻呢
[00:00:42.320 --> 00:00:44.560]  今天和下一次 我們會有兩次
[00:00:44.560 --> 00:00:47.360]  因為是非常之複雜的一個課題
[00:00:47.360 --> 00:00:52.160]  我們怎樣建立一個健康的自我形象
[00:00:52.160 --> 00:01:01.200]  自我形象的重要性 我們要先從一個心理學角度去補充一些資料
[00:01:01.200 --> 00:01:05.760]  當然我們明白 心理學家大部份都不是基督徒
[00:01:05.760 --> 00:01:09.760]  他亦都沒有我們基督教的觀念去理解人類
[00:01:09.760 --> 00:01:12.240]  所以我們必須從聖經裏面的啟示
[00:01:12.240 --> 00:01:15.760]  去補充我們認為對的觀念
[00:01:15.760 --> 00:01:18.400]  在自我形象是在講甚麼回事
[00:01:18.400 --> 00:01:23.040]  就是我怎樣去看自己 一個人怎樣去看自己
[00:01:23.040 --> 00:01:25.520]  就是自己的自我形象
[00:01:25.520 --> 00:01:28.400]  但很抱歉 在你和我的成長期裏到現在
[00:01:28.400 --> 00:01:31.120]  我們每一天看到自己的機會都很低
[00:01:31.120 --> 00:01:33.120]  你想像一下 上帝創造我們很奇妙
[00:01:33.120 --> 00:01:34.880]  我們雙眼都是看別人的 是不是
[00:01:34.880 --> 00:01:37.440]  除非你照到鏡 除非你有水
[00:01:37.440 --> 00:01:39.680]  如果不是的話 你很少看到自己
[00:01:39.680 --> 00:01:42.160]  極其量 你現在拿一個智能手機出來
[00:01:42.160 --> 00:01:45.200]  前置鏡頭看一看自己之外
[00:01:45.200 --> 00:01:47.200]  很快你不太記得自己的樣子
[00:01:47.200 --> 00:01:49.200]  但別人的樣子你會記得很清楚
[00:01:49.200 --> 00:01:53.520]  我們怎樣去建立了自我形象呢
[00:01:53.520 --> 00:01:55.680]  在心理學裏面就提及到
[00:01:55.680 --> 00:02:00.000]  三個資料的來源去建立了自我形象
[00:02:00.000 --> 00:02:03.280]  第一 包括自己怎樣評價自己
[00:02:03.280 --> 00:02:06.480]  但不要忘記我們在成長過程裏面
[00:02:06.480 --> 00:02:12.000]  大部份時間都不是我們自己評價自己 在小時候
[00:02:12.000 --> 00:02:17.200]  自我形象的建立是由小時候一直開始
[00:02:17.200 --> 00:02:20.960]  到我們成熟期的時候 我們確立了我們怎樣看自己
[00:02:20.960 --> 00:02:22.400]  但在這個過程裏面
[00:02:22.400 --> 00:02:26.640]  反而多半是別人怎樣評論我們
[00:02:26.640 --> 00:02:31.200]  我星期三到星期五 剛好和師母去了馬來西亞領會
[00:02:31.200 --> 00:02:34.480]  在有一晚的吃宵夜的時候
[00:02:34.480 --> 00:02:37.600]  你見到隔壁桌子有一個BB仔很可愛
[00:02:37.600 --> 00:02:40.560]  BB仔可愛通常都是肥的 你覺得可愛
[00:02:40.560 --> 00:02:42.800]  這個BB仔的可愛不是因為肥那麼簡單
[00:02:42.800 --> 00:02:46.320]  我就和師母說快點看隔壁桌子的BB仔很可愛
[00:02:46.320 --> 00:02:49.360]  整個林彼得牧師的迷你版
[00:02:49.360 --> 00:02:52.720]  嘩 那就很過癮了 真的是非常過癮
[00:02:52.720 --> 00:02:56.080]  師母看過去 嘩 她說很開心很開心
[00:02:56.080 --> 00:03:01.440]  我們自小被人一路要麼稱讚大 要麼就罵大
[00:03:01.440 --> 00:03:04.720]  你很可愛啊 很美女啊
[00:03:04.720 --> 00:03:07.040]  很醒目啊 很帥啊
[00:03:07.040 --> 00:03:08.560]  我們自小被人這樣說
[00:03:08.560 --> 00:03:10.560]  別人對我們的評價
[00:03:10.560 --> 00:03:11.840]  當別人對我的評價的時候
[00:03:11.840 --> 00:03:15.600]  我內心裏面在篩選很多東西
[00:03:15.600 --> 00:03:17.840]  可能是完全全盤接受的
[00:03:17.840 --> 00:03:19.120]  可能部分接受的
[00:03:19.120 --> 00:03:20.640]  可能完全拒絕的
[00:03:20.640 --> 00:03:22.080]  這件事情是很複雜的
[00:03:22.080 --> 00:03:25.440]  究竟我們怎樣篩選一些資訊呢
[00:03:25.440 --> 00:03:28.400]  是一件極度複雜的情況
[00:03:28.400 --> 00:03:30.480]  但是我們很肯定地
[00:03:30.480 --> 00:03:35.600]  是有選擇地去拿資訊的
[00:03:35.600 --> 00:03:39.280]  有選擇地去聽別人的說話
[00:03:39.280 --> 00:03:40.800]  每個星期你坐在那裏聽到
[00:03:40.800 --> 00:03:44.800]  其實很多時候你都是有選擇地去聽的
[00:03:44.800 --> 00:03:46.480]  但是當我們這麼上緊
[00:03:46.480 --> 00:03:48.080]  我們開始有自己的評價
[00:03:48.080 --> 00:03:51.920]  我們第三方面自己認為別人怎樣評價自己呢
[00:03:51.920 --> 00:03:54.400]  我們以為別人會怎樣看我們呢
[00:03:54.400 --> 00:03:58.720]  這三方面的資料輸入了之後
[00:03:58.720 --> 00:04:00.480]  或者收集了之後
[00:04:00.480 --> 00:04:02.480]  我們慢慢慢慢就形成一個
[00:04:02.480 --> 00:04:05.200]  我怎樣看我自己
[00:04:05.200 --> 00:04:08.640]  就是一個自我形象的確立就出現了
[00:04:08.640 --> 00:04:11.680]  但是在心理學家很出名的
[00:04:11.680 --> 00:04:14.720]  Marshall 的一個論述裏面就提到
[00:04:14.720 --> 00:04:19.760]  他說其實人格的特質和行為模式
[00:04:19.760 --> 00:04:23.680]  要跟隨改變的話
[00:04:23.680 --> 00:04:28.240]  我們的自我形象更加設定了一個人的成就範圍
[00:04:28.240 --> 00:04:29.920]  以及他決定了一個人
[00:04:29.920 --> 00:04:32.480]  可以做和不能夠做的事情
[00:04:32.480 --> 00:04:36.720]  Marshall 就認為一個人的外表改變
[00:04:36.720 --> 00:04:40.160]  不比內心改變重要
[00:04:40.160 --> 00:04:42.320]  但是你發覺這個社會剛剛相反
[00:04:42.320 --> 00:04:45.120]  我們現在很強調去整容
[00:04:45.120 --> 00:04:46.560]  如果在韓國來講
[00:04:46.560 --> 00:04:48.960]  整容是生活的一部分
[00:04:48.960 --> 00:04:50.960]  你吃完飯之後有一個同事
[00:04:50.960 --> 00:04:57.280]  他的鼻子黏著一張膠紙或者紗布回來
[00:04:57.280 --> 00:04:58.640]  是平常的事情
[00:04:58.640 --> 00:05:00.240]  剛剛整容完了
[00:05:00.240 --> 00:05:01.760]  生活是可以這樣的
[00:05:01.760 --> 00:05:03.120]  我認為外貌很重要
[00:05:03.120 --> 00:05:04.800]  但是其實心外告訴你
[00:05:04.800 --> 00:05:06.640]  我知道外貌就算改變了
[00:05:06.640 --> 00:05:09.760]  你的心理狀態沒有改變的話
[00:05:09.760 --> 00:05:12.320]  其實對你的幫助是不大的
[00:05:12.320 --> 00:05:13.840]  我們更加看到的就是
[00:05:13.840 --> 00:05:16.480]  在心理學裏面告訴我們
[00:05:16.480 --> 00:05:20.640]  如果培育一個人的相當實際的自我形象的話
[00:05:20.640 --> 00:05:24.880]  一個人大概會逐漸表現出新的能力和才華
[00:05:24.880 --> 00:05:27.680]  由失敗者可以搖身一變
[00:05:27.680 --> 00:05:30.000]  扭轉成為成功者
[00:05:30.000 --> 00:05:32.400]  從這些種種的資料裏面我們知道
