
[00:00:00.000 --> 00:00:01.720]  在黑暗的日子
[00:00:01.720 --> 00:00:05.840]  神是不是紀念祂的恩典之約呢?
[00:00:05.840 --> 00:00:10.520]  《出一及記》的頭四章經文是這樣回答的
[00:00:10.520 --> 00:00:14.840]  用以色列文收集到利未知派的家庭
[00:00:14.840 --> 00:00:17.360]  再收集到摩西身上
[00:00:17.360 --> 00:00:21.520]  可以看見摩西至少面臨的遭遇
[00:00:21.520 --> 00:00:24.080]  無論大小的難處
[00:00:24.080 --> 00:00:29.280]  都是顯示上主依然順手印約
[00:00:29.280 --> 00:00:34.280]  神並沒有忘記祂和人所立的恩典之約
[00:00:34.280 --> 00:00:36.560]  在聖經裡的恩約
[00:00:36.560 --> 00:00:38.640]  我們可以這樣去數
[00:00:38.640 --> 00:00:41.360]  最底是彩虹之約
[00:00:41.360 --> 00:00:43.600]  羅亞時候立的
[00:00:43.600 --> 00:00:48.800]  然後和列祖阿伯拉罕立的約
[00:00:48.800 --> 00:00:52.640]  摩西後來在西內山也立約
[00:00:52.640 --> 00:00:56.120]  後來到了王國時期有大衛之約
[00:00:56.120 --> 00:01:00.320]  耶利米書三十一章也應許有新約
[00:01:00.320 --> 00:01:03.120]  耶穌基督在設合聖餐的時候
[00:01:03.120 --> 00:01:05.680]  就和我們訂立了
[00:01:05.680 --> 00:01:08.040]  這五個約都有一個共通點
[00:01:08.040 --> 00:01:10.120]  就是上主祂的主動
[00:01:10.120 --> 00:01:12.920]  祂的恩典、恩典、祂的簡說
[00:01:12.920 --> 00:01:15.080]  在我們人類各種的歷史
[00:01:15.080 --> 00:01:17.040]  無論是光明或者黑暗當中
[00:01:17.040 --> 00:01:22.440]  上帝都是主動去拯救行動的那一位
[00:01:22.440 --> 00:01:27.560]  而人只是去回應上帝不變的應許
[00:01:27.560 --> 00:01:32.200]  作出對上主的忠誠和維新
[00:01:32.200 --> 00:01:36.480]  在頭三次的永約裡或者恩約當中
[00:01:36.480 --> 00:01:38.400]  你記得羅亞的時候立約
[00:01:38.400 --> 00:01:40.440]  用什麼做記號?
[00:01:40.440 --> 00:01:41.680]  彩虹
[00:01:41.680 --> 00:01:44.360]  那麼去到阿伯拉罕之約呢?
[00:01:44.360 --> 00:01:46.080]  割禮
[00:01:46.080 --> 00:01:48.000]  這個也是今天我們所讀的經文裡
[00:01:48.000 --> 00:01:50.360]  會碰到的部分
[00:01:50.360 --> 00:01:51.560]  上個星期我們讀了
[00:01:51.560 --> 00:01:53.240]  可以將一到十節
[00:01:53.240 --> 00:01:55.440]  講到摩西BB的時候
[00:01:55.440 --> 00:01:59.560]  他是怎樣在河中巧遇公主
[00:01:59.560 --> 00:02:02.000]  但你知道這一切並非巧合
[00:02:02.000 --> 00:02:04.840]  上帝在這裡信守祂的恩約
[00:02:04.840 --> 00:02:07.520]  引領著事件的發生
[00:02:07.520 --> 00:02:09.880]  而今天我們讀的第二章下半
[00:02:09.880 --> 00:02:13.560]  講到這個埃及王子摩西長大成人之後
[00:02:13.560 --> 00:02:14.800]  他的人生的航道
[00:02:14.800 --> 00:02:19.640]  因著一件陰沉的故事而被大大改變
[00:02:19.640 --> 00:02:23.640]  但在其中直至到他被呼召之後
[00:02:23.640 --> 00:02:25.960]  又發生了另一件的奇事
[00:02:25.960 --> 00:02:27.400]  在這些事情裡面
[00:02:27.400 --> 00:02:29.560]  怎樣可以辨認到神的恩典
[00:02:29.560 --> 00:02:32.800]  和他信守恩約的步伐呢?
[00:02:32.800 --> 00:02:34.520]  在我們進入經文之前
[00:02:34.520 --> 00:02:39.280]  我們再一次交托祈禱
[00:02:39.280 --> 00:02:41.720]  上帝求你引領我們
[00:02:41.720 --> 00:02:44.160]  願你的靈幫助我們
[00:02:44.160 --> 00:02:47.600]  當我們讀你的話語的時候能夠明白
[00:02:47.600 --> 00:02:52.920]  更加看見在很多年前初一級的事前當中
[00:02:52.920 --> 00:02:56.640]  和我們今天你要我們提醒的事情是什麼
[00:02:56.640 --> 00:02:59.520]  讓我們能夠在心靈清心地聽到
[00:02:59.520 --> 00:03:02.360]  你對我們每一個人的呼喚
[00:03:02.360 --> 00:03:02.960]  多謝你
[00:03:02.960 --> 00:03:04.920]  我們在祈禱是奉主耶穌基督
[00:03:04.920 --> 00:03:06.520]  得聖名子祈求
[00:03:06.520 --> 00:03:08.200]  阿們
[00:03:17.640 --> 00:03:18.880]  我們一起讀十一節
[00:03:18.880 --> 00:03:19.960]  預備起
[00:03:19.960 --> 00:03:21.840]  過了些日子
[00:03:21.840 --> 00:03:23.720]  摩西長大了
[00:03:23.720 --> 00:03:24.760]  有一次
[00:03:24.760 --> 00:03:25.800]  他出去
[00:03:25.800 --> 00:03:28.320]  到他的同胞那裡去
[00:03:28.320 --> 00:03:30.600]  看見他們的重擔
[00:03:30.600 --> 00:03:32.800]  又看見一個埃及人
[00:03:32.800 --> 00:03:34.880]  打他的一個同胞
[00:03:34.880 --> 00:03:36.680]  希伯來人
[00:03:36.680 --> 00:03:39.400]  這裡提到摩西去同
[00:03:39.400 --> 00:03:42.880]  在被奴役當中的以色列民認同
[00:03:42.880 --> 00:03:45.600]  他是他們的同胞
[00:03:45.600 --> 00:03:47.880]  這個在嬰孩時代開始
[00:03:47.880 --> 00:03:52.000]  摩西他雖然是被公主領養
[00:03:52.000 --> 00:03:55.400]  但是他是被辨認為希伯來人的孩子
[00:03:55.400 --> 00:03:58.600]  這是第一章已經對他開始的記號
[00:03:58.600 --> 00:04:02.400]  往後他被送回去他原本生母的地方養大
[00:04:02.400 --> 00:04:05.480]  直至到小童的年紀回到皇宮
[00:04:05.480 --> 00:04:08.760]  在那些日子來往皇宮的歲月
[00:04:08.760 --> 00:04:11.600]  侍從僕婢也都將一些物資
[00:04:11.600 --> 00:04:14.600]  每個月的薪水給他媽媽等等
[00:04:14.600 --> 00:04:16.600]  都可以見到
[00:04:16.600 --> 00:04:18.000]  人人都知道
[00:04:18.000 --> 00:04:21.200]  這個孩子是希伯來人的孩子
[00:04:21.200 --> 00:04:23.200]  不過他也有多一個身份
[00:04:23.200 --> 00:04:25.800]  是住在皇宮裏面的皇子
[00:04:25.800 --> 00:04:28.000]  但是摩西在他長大之後
[00:04:28.000 --> 00:04:30.600]  他越來越認同他這個身份
[00:04:30.600 --> 00:04:32.400]  他去到他同胞那裡
[00:04:32.400 --> 00:04:35.600]  原本的文字是兄弟
[00:04:35.600 --> 00:04:39.400]  流露出那種血脈相連的情感
[00:04:39.400 --> 00:04:42.000]  他看見他的兄弟遭遇到兩樣東西
[00:04:42.000 --> 00:04:44.200]  或者一件事當中的兩面
[00:04:44.200 --> 00:04:48.800]  就是他們一直受緊那種苦功很慘
[00:04:48.800 --> 00:04:52.200]  他們是被奴役的當中
[00:04:52.200 --> 00:04:55.000]  奴隸制度在人類歷史裏面
[00:04:55.000 --> 00:04:56.600]  一直沒有消失過
[00:04:56.600 --> 00:04:57.200]  你知道嗎
[00:04:57.200 --> 00:05:02.200]  今天在直至今天我們已經進入AI的時代
[00:05:02.200 --> 00:05:05.200]  奴役奴隸仍然存在
