
[00:00:00.000 --> 00:00:03.820]  親愛的主人,我們感謝祢讓我們有生命氣息
[00:00:03.820 --> 00:00:09.020]  能夠來到我們屬靈的家當中
[00:00:09.020 --> 00:00:11.220]  一同敬拜祢
[00:00:11.220 --> 00:00:14.260]  懇求祢讓我們每個弟兄姊妹們
[00:00:14.260 --> 00:00:17.100]  都能夠有美好的耳朵
[00:00:17.100 --> 00:00:20.120]  能夠被祢的靈所充滿
[00:00:20.120 --> 00:00:23.160]  能夠聽得明祢的話語
[00:00:23.160 --> 00:00:25.760]  相信祢的話語
[00:00:25.760 --> 00:00:29.160]  我們這樣的祈禱是奉主耶穌基督的名字
[00:00:29.160 --> 00:00:31.840]  阿們
[00:00:31.840 --> 00:00:36.260]  平安何處尋
[00:00:36.260 --> 00:00:40.000]  相信在我們當中的每一位弟兄姊妹們
[00:00:40.000 --> 00:00:44.000]  大家都希望生命是有平安
[00:00:44.000 --> 00:00:46.100]  有和平
[00:00:46.100 --> 00:00:49.000]  所以我們會用不同的方式
[00:00:49.000 --> 00:00:53.360]  去締造平安,締造和平
[00:00:53.360 --> 00:00:56.500]  不少的時候,其中一個方式
[00:00:56.500 --> 00:00:59.660]  就是去建造圍牆
[00:00:59.660 --> 00:01:05.140]  用圍牆去建造和平、平安
[00:01:05.140 --> 00:01:07.140]  我們要去建造圍牆
[00:01:07.140 --> 00:01:09.760]  是要保護自己的領域
[00:01:09.760 --> 00:01:11.040]  保護自己的財富
[00:01:11.040 --> 00:01:13.860]  保護自己所愛的人
[00:01:13.860 --> 00:01:17.100]  在歷史當中,中國的長城
[00:01:17.100 --> 00:01:20.000]  就是用來保護民族
[00:01:20.000 --> 00:01:23.560]  抵禦匈奴
[00:01:23.560 --> 00:01:26.860]  但是有些城牆
[00:01:26.860 --> 00:01:30.900]  不是用來做保護的
[00:01:30.900 --> 00:01:36.100]  有些城牆是用來分裂的
[00:01:36.100 --> 00:01:37.500]  在1961年
[00:01:37.500 --> 00:01:42.060]  東德的政府做了柏林的圍牆
[00:01:42.060 --> 00:01:46.140]  是防止東德人去西德
[00:01:46.140 --> 00:01:51.340]  所以這道牆是禁錮了東德人的親情
[00:01:51.340 --> 00:01:56.000]  是讓東德人和西德人分開去生活
[00:01:56.000 --> 00:01:59.000]  是不能夠在一起
[00:01:59.000 --> 00:02:03.900]  因為這種情況
[00:02:03.900 --> 00:02:06.400]  一些的東德人
[00:02:06.400 --> 00:02:11.060]  他們希望能夠和親人可以相見
[00:02:11.060 --> 00:02:13.700]  他們希望能夠有生命的自由
[00:02:13.700 --> 00:02:16.960]  所以他們要擒那個圍牆
[00:02:16.960 --> 00:02:20.340]  但是當他們擒那個圍牆的時候
[00:02:20.340 --> 00:02:24.700]  他們是被東德的守衛去射殺
[00:02:24.700 --> 00:02:27.760]  所以東德人和西德人
[00:02:27.760 --> 00:02:32.800]  都很深體會到柏林圍牆當中
[00:02:32.800 --> 00:02:38.060]  裏面那裏的敵對仇恨
[00:02:38.060 --> 00:02:43.360]  後來柏林圍牆在1989年被拆毀
[00:02:43.360 --> 00:02:48.600]  東德人、西德人、德國人
[00:02:48.600 --> 00:02:56.460]  是成功拆毀這道隔絕生命的牆
[00:02:56.460 --> 00:02:59.360]  今早我們所讀的聖經
[00:02:59.360 --> 00:03:01.960]  所提及的是甚麼呢?
[00:03:01.960 --> 00:03:04.800]  在二弗所書當中所提及的就是說
[00:03:04.800 --> 00:03:10.340]  拆毀了中間隔斷的牆
[00:03:10.340 --> 00:03:15.060]  這個牆就是講到牆的拆毀
[00:03:15.060 --> 00:03:18.100]  聖經所講的隔絕的牆
[00:03:18.100 --> 00:03:23.200]  是指以色列人當中的聖殿的圍牆
[00:03:23.200 --> 00:03:26.160]  在耶穌基督的年代
[00:03:26.160 --> 00:03:30.440]  聖殿是有兩個的原址
[00:03:30.440 --> 00:03:33.060]  一個是為以色列人而設的
[00:03:33.060 --> 00:03:36.840]  另一個是為外邦人而設的
[00:03:36.840 --> 00:03:39.400]  外邦人的原址是為所有國籍
[00:03:39.400 --> 00:03:42.040]  不同國籍的人而設的
[00:03:42.040 --> 00:03:44.360]  在這兩個原址當中
[00:03:44.360 --> 00:03:49.160]  這道牆大概有4.5英呎高
[00:03:49.160 --> 00:03:50.460]  有13個入口
[00:03:50.460 --> 00:03:53.160]  在每個入口上面寫著一些文字
[00:03:53.160 --> 00:03:57.760]  就是說如果外邦人進入這個地方的話
[00:03:57.760 --> 00:04:01.860]  進入猶太人的原址的話
[00:04:01.860 --> 00:04:08.160]  他們必然是要面對死亡的應罰
[00:04:08.160 --> 00:04:12.360]  這個是要提醒非猶太人
[00:04:12.360 --> 00:04:19.260]  你們千萬不要進入猶太人的地方
[00:04:19.260 --> 00:04:23.160]  歷代以來這道隔絕的牆
[00:04:23.160 --> 00:04:30.760]  是標誌著猶太人和非猶太人當中的分開和敵意
[00:04:30.760 --> 00:04:35.860]  此外這道牆也有其他的意思
[00:04:35.860 --> 00:04:43.960]  這道牆也是標誌著人生種種的圍牆
[00:04:43.960 --> 00:04:48.460]  其中所標誌的譬如有兩道的圍牆
[00:04:48.460 --> 00:04:53.560]  就是人和神隔絕的牆
[00:04:53.560 --> 00:04:58.360]  另一道就是人和人隔絕的牆
[00:04:58.360 --> 00:05:01.160]  首先我們要思考的就是
[00:05:01.160 --> 00:05:06.560]  原來猶太人和外邦人當中這道牆
[00:05:06.560 --> 00:05:14.660]  是可以說是標誌著神和人隔絕的牆
[00:05:14.660 --> 00:05:17.360]  聖經告訴我們
[00:05:17.360 --> 00:05:21.260]  人本來和神是可以一起生活的
[00:05:21.260 --> 00:05:25.960]  我們一同是可以和神有聯合
[00:05:25.960 --> 00:05:30.160]  但是後來我們是和神分開
[00:05:30.160 --> 00:05:31.660]  為什麼我們和神分開呢?
[00:05:31.660 --> 00:05:34.260]  因為人犯了罪
[00:05:34.260 --> 00:05:36.960]  犯罪是什麼意思呢?
[00:05:36.960 --> 00:05:41.960]  犯罪就是說我們不承認神是我們的創造主
[00:05:41.960 --> 00:05:44.960]  神不是我們的主人
[00:05:44.960 --> 00:05:49.960]  我們拒絕聽從神的話語
[00:05:49.960 --> 00:05:52.160]  因為這種罪
[00:05:52.160 --> 00:05:55.560]  人是要離開伊甸園
[00:05:55.560 --> 00:05:58.260]  再不能夠和神一起
[00:05:58.260 --> 00:06:03.660]  再不能夠經歷到和神一起那種平安
[00:06:03.660 --> 00:06:05.560]  自此之後
[00:06:05.560 --> 00:06:08.160]  人和神之間
[00:06:08.160 --> 00:06:10.860]  是有一道很厚的圍牆
[00:06:10.860 --> 00:06:14.760]  將我們去隔絕
[00:06:14.760 --> 00:06:21.060]  雖然我們經歷這道牆
[00:06:21.060 --> 00:06:25.760]  我們多多少少仍然經歷到神的存在
[00:06:25.760 --> 00:06:28.960]  所以當我們還沒有回到教會的時候
[00:06:28.960 --> 00:06:31.460]  我們都覺得有一位神
[00:06:31.460 --> 00:06:34.460]  不過是不知道哪一位的神
[00:06:34.460 --> 00:06:37.460]  所以人類的社會當中有不同的人
[00:06:37.460 --> 00:06:39.160]  譬如科學家
[00:06:39.160 --> 00:06:40.860]  就算他有沒有基督教的信仰
[00:06:40.860 --> 00:06:42.660]  有沒有其他的信仰
[00:06:42.660 --> 00:06:46.260]  他們都想多多少少證明神是否存在的
[00:06:46.260 --> 00:06:48.060]  所以有些科學家說
[00:06:48.060 --> 00:06:52.060]  去太空那裡去找神
[00:06:52.060 --> 00:06:58.860]  也有些科學家說在實驗室那裡去找神
[00:06:58.860 --> 00:07:02.060]  有些哲學家用什麼本體論
[00:07:02.060 --> 00:07:04.660]  宇宙論、道德論證等等
[00:07:04.660 --> 00:07:08.260]  是要去證明神的存在
[00:07:08.260 --> 00:07:12.460]  但我們知道在這幾千年的努力
[00:07:12.460 --> 00:07:17.360]  人是不能夠證明神的存在
[00:07:17.360 --> 00:07:21.460]  因為神不可以再放在實驗室當中
[00:07:21.460 --> 00:07:24.460]  是被驗證、被分析
[00:07:24.460 --> 00:07:26.160]  是不可以的
[00:07:26.160 --> 00:07:29.160]  因為神是神
[00:07:29.160 --> 00:07:31.060]  另外一方面著實
[00:07:31.060 --> 00:07:38.160]  神和人之間是一道隔絕的牆
[00:07:38.160 --> 00:07:42.160]  人要找神是找不到的
