
[00:00:00.000 --> 00:00:02.000]  哈佬鼎!姊妹!你們好!
[00:00:02.000 --> 00:00:06.000]  感恩我們仍然可以在網上一起去敬拜
[00:00:06.000 --> 00:00:08.000]  以及學習神的話語
[00:00:08.000 --> 00:00:10.000]  求聖靈真是與我們同在
[00:00:10.000 --> 00:00:12.000]  我們同心協力去禱告先行
[00:00:12.000 --> 00:00:14.000]  天父我們感謝祢
[00:00:14.000 --> 00:00:16.000]  讓我們能夠在主的裏面
[00:00:16.000 --> 00:00:19.000]  享受與祢同在的那種甜美
[00:00:19.000 --> 00:00:21.000]  法,求祢的靈真是來充滿我們
[00:00:21.000 --> 00:00:23.000]  無論我們現在在什麼位置
[00:00:23.000 --> 00:00:24.000]  在什麼地方裏面
[00:00:24.000 --> 00:00:27.000]  讓我們的心真是專注於祢
[00:00:27.000 --> 00:00:29.000]  也讓聖靈帶領我們真是進入
[00:00:29.000 --> 00:00:31.000]  明白祢的真理
[00:00:31.000 --> 00:00:34.000]  讓我們懂得怎樣在這個世代裏面
[00:00:34.000 --> 00:00:36.000]  去侍奉祢和榮耀祢
[00:00:36.000 --> 00:00:37.000]  願祢與我們同在
[00:00:37.000 --> 00:00:38.000]  我們今天禱告奉靠
[00:00:38.000 --> 00:00:40.000]  主耶穌基督的名
[00:00:40.000 --> 00:00:41.000]  Amen
[00:00:41.000 --> 00:00:44.000]  今天我和大家講的題目就叫
[00:00:44.000 --> 00:00:48.000]  生於基督,活於人前
[00:00:48.000 --> 00:00:50.000]  如果你有預備的
[00:00:50.000 --> 00:00:52.000]  你應該都知道我會講
[00:00:52.000 --> 00:00:54.000]  是以斯帖的故事
[00:00:54.000 --> 00:00:57.000]  那以斯帖是誰來的呢?
[00:00:57.000 --> 00:00:59.000]  那當然大家都知道
[00:00:59.000 --> 00:01:00.000]  她是一個美女
[00:01:00.000 --> 00:01:02.000]  所以很多女孩都喜歡
[00:01:02.000 --> 00:01:04.000]  她的名字叫Esther
[00:01:04.000 --> 00:01:09.000]  那以斯帖其實我們看書卷裏面就知道
[00:01:09.000 --> 00:01:12.000]  她應該是爸爸媽媽
[00:01:12.000 --> 00:01:16.000]  被擄到巴比倫的一些猶太人
[00:01:16.000 --> 00:01:19.000]  她應該是在當地出生的
[00:01:19.000 --> 00:01:21.000]  而一群的親戚
[00:01:21.000 --> 00:01:26.000]  應該大約都會住在一個叫書山城的地方
[00:01:26.000 --> 00:01:28.000]  不過以斯帖就很不幸
