
[00:00:00.000 --> 00:00:04.960]  母親節固然我們需要去看看聖經裏面
[00:00:04.960 --> 00:00:07.560]  有關母親節的一些訊息
[00:00:07.560 --> 00:00:09.560]  一提的來領受
[00:00:09.560 --> 00:00:14.240]  聖經的話不單止給母親,給我們每一個
[00:00:14.240 --> 00:00:18.240]  不過當然我們以這個特別的母親為例
[00:00:18.240 --> 00:00:20.720]  叫我們都向這位姐妹學習
[00:00:20.720 --> 00:00:23.720]  做一個好母親,或者做一個好的父親
[00:00:23.720 --> 00:00:27.480]  或者我們每一個人去學習的一個榜樣
[00:00:27.480 --> 00:00:32.040]  今天和大家看的這位就是在舊約裏面
[00:00:32.040 --> 00:00:34.600]  很出名的一位姐妹
[00:00:34.600 --> 00:00:36.600]  實際上也是一個好的母親
[00:00:36.600 --> 00:00:40.200]  我們能夠向哈娜學習
[00:00:40.200 --> 00:00:42.920]  大家可能聽過這句話
[00:00:42.920 --> 00:00:48.480]  推動搖籃的手,正是推動世界的手
[00:00:48.480 --> 00:00:51.480]  有沒有聽過?
[00:00:51.480 --> 00:00:55.720]  這幅圖畫看見有個媽媽的手抱著一個嬰兒
[00:00:55.720 --> 00:01:01.400]  因為在她哺育兒女的過程裏
[00:01:01.400 --> 00:01:03.880]  其實是造就一個很重要的人
[00:01:03.880 --> 00:01:06.600]  可能她是影響這個世界
[00:01:06.600 --> 00:01:09.400]  同一對的手在推動搖籃
[00:01:09.400 --> 00:01:14.760]  可能這對手正是透過她的兒女
[00:01:14.760 --> 00:01:17.040]  影響這個世界
[00:01:17.040 --> 00:01:19.280]  當然你說我沒有那麼偉大
[00:01:19.280 --> 00:01:21.560]  但其實我們每一個人在這個世界上
[00:01:21.560 --> 00:01:23.040]  都是有貢獻的
[00:01:23.040 --> 00:01:26.760]  也不多不少是透過我們的養育兒女
[00:01:26.760 --> 00:01:29.560]  照顧家庭所發出的果效
[00:01:29.560 --> 00:01:31.200]  在影響這個世界
[00:01:31.200 --> 00:01:34.760]  無論這個影響是壞的還是好
[00:01:34.760 --> 00:01:36.760]  當然有時候是壞的
[00:01:36.760 --> 00:01:39.560]  但我們都知道這是一個很重要的角色
[00:01:39.560 --> 00:01:41.760]  或者一個重要的影響力
[00:01:41.760 --> 00:01:45.360]  對這個世界有影響有貢獻
[00:01:45.360 --> 00:01:52.240]  也都可能產生一些正面或者負面的後果
[00:01:52.240 --> 00:01:56.600]  在這個史詩記我們很熟悉的舊約時代
[00:01:56.600 --> 00:01:59.040]  以色列一個很黑暗的時期
[00:01:59.040 --> 00:02:02.200]  可以說是他們民中沒一王
[00:02:02.200 --> 00:02:04.720]  人任意而行
[00:02:04.720 --> 00:02:08.960]  神卻興起了一個重要的人物
[00:02:08.960 --> 00:02:12.400]  來復興當時那個時代
