
[00:00:00.000 --> 00:00:06.220]  好,今日我定的題目是「傷痕 vs 對比盼望」
[00:00:06.220 --> 00:00:11.360]  其實傷痕,我猜在每一個人的心裏面
[00:00:11.360 --> 00:00:14.300]  都有一些不想被人提及
[00:00:14.300 --> 00:00:17.900]  或者不願意被人知道的一些傷痕
[00:00:17.900 --> 00:00:21.920]  無論在身體上面,無論在心靈上面
[00:00:21.920 --> 00:00:26.620]  甚至是一些過去,但是你未醫好
[00:00:26.620 --> 00:00:30.760]  卻是放在地毯底隱藏的傷痕
[00:00:30.760 --> 00:00:35.900]  我記得早陣子,有兩個爸爸
[00:00:35.900 --> 00:00:39.360]  跟我分享了一個他的故事
[00:00:39.360 --> 00:00:46.560]  讓我覺得,嘩,原來世間上面可以有這些事發生
[00:00:46.560 --> 00:00:53.020]  第一個爸爸,他告訴我,他背後有四個洞
[00:00:53.020 --> 00:00:57.380]  在四歲的時候,已經一直跟著他
[00:00:57.380 --> 00:01:00.140]  為甚麼會有這四個洞呢?
[00:01:00.140 --> 00:01:03.380]  就是在他四歲的時候
[00:01:03.380 --> 00:01:10.500]  媽媽因為要叫他救他十歲的哥哥
[00:01:10.500 --> 00:01:16.540]  捐骨水,去留下這四個洞
[00:01:16.540 --> 00:01:19.380]  神讓他留下這四個洞
[00:01:19.380 --> 00:01:23.100]  但卻留下不了這個哥哥
[00:01:23.100 --> 00:01:25.760]  所以他分享的時候,他說
[00:01:25.760 --> 00:01:28.740]  他的童年很快就過去
[00:01:28.740 --> 00:01:33.380]  因為他媽媽,每一次和他洗澡的時候
[00:01:33.380 --> 00:01:37.100]  小時候洗澡的時候,就會流眼淚
[00:01:37.100 --> 00:01:42.440]  好像提醒他,他救不了他哥哥一樣
[00:01:42.440 --> 00:01:45.460]  當他一路成長的時候
[00:01:45.460 --> 00:01:48.780]  他經常都見到媽媽流眼淚
[00:01:48.780 --> 00:01:52.920]  他就會覺得,為甚麼我這麼沒用呢?
[00:01:52.920 --> 00:01:57.020]  我連自己的哥哥都救不了呢?
[00:01:57.020 --> 00:02:03.940]  第二個爸爸,他自己是一個患有自閉症的爸爸
[00:02:03.940 --> 00:02:08.660]  他很努力地,很想和人好好相處
[00:02:08.660 --> 00:02:12.860]  甚至他很努力地去做他的工作
[00:02:12.860 --> 00:02:15.460]  但在他的工作裡面
[00:02:15.460 --> 00:02:20.400]  卻是因為他不懂得和人交往
[00:02:20.400 --> 00:02:24.420]  他的老闆說,我很想升職
[00:02:24.420 --> 00:02:26.340]  因為你真的很忠心
[00:02:26.340 --> 00:02:30.420]  在這間公司裡面,已經做了十年了
[00:02:30.420 --> 00:02:35.660]  但在他身邊,即老闆身邊其他的人就說
[00:02:35.660 --> 00:02:40.460]  甄sir這個人,不能夠好好和人交往相處
[00:02:40.460 --> 00:02:44.300]  你怎樣可以讓他做一個管理層呢?
[00:02:44.300 --> 00:02:48.420]  於是乎,他就不能升職了
[00:02:48.420 --> 00:02:54.660]  他很難過,他心裡覺得自閉症不是我自己想的
[00:02:54.660 --> 00:02:57.860]  為甚麼會這樣呢?
[00:02:57.860 --> 00:03:02.100]  其實在人生裡面,真的有很多的傷痕
[00:03:02.100 --> 00:03:07.060]  我不知道,在這一刻,你會不會回想一些呢?
[00:03:07.060 --> 00:03:10.060]  又或者,好像我自己一樣
[00:03:10.060 --> 00:03:15.060]  這個題目,我其實一月已經給了教會
[00:03:15.060 --> 00:03:17.460]  經文也給了教會
[00:03:17.460 --> 00:03:25.460]  我很希望透過這段經文,去和大家說復活節的訊息
[00:03:25.460 --> 00:03:28.260]  我也在這裡祈禱
[00:03:28.260 --> 00:03:32.660]  祈禱,復活節我應該說些甚麼呢?
[00:03:32.660 --> 00:03:36.820]  因為每一年的復活節,壽苦節
[00:03:36.820 --> 00:03:42.460]  我的感受就是復活節,壽苦節
[00:03:42.460 --> 00:03:44.500]  好像沒甚麼感覺
[00:03:44.500 --> 00:03:46.820]  於是乎,我就祈禱
[00:03:46.820 --> 00:03:51.660]  祈禱給神,叫神給我一個不一樣的壽苦節
[00:03:51.660 --> 00:03:56.980]  和復活節,果然真是不一樣
[00:03:56.980 --> 00:04:02.020]  我也想著,自己可以在三月的時候
[00:04:02.020 --> 00:04:06.460]  最後一個月,好好地去預備這個講章
[00:04:06.460 --> 00:04:10.300]  我去訂了一間很漂亮的酒店
[00:04:10.300 --> 00:04:14.820]  想著在那七天裡面,完成這份講章
[00:04:14.820 --> 00:04:18.660]  但結果,在三月九號的時候
[00:04:18.660 --> 00:04:22.500]  我發生了一件事,我下半身動不了
[00:04:22.500 --> 00:04:26.140]  於是乎,所有的計劃都沒有了
[00:04:26.140 --> 00:04:30.540]  這一篇講章,就是我躺在床上
[00:04:30.540 --> 00:04:35.540]  看著天花板,一路一路地求師
[00:04:35.540 --> 00:04:37.300]  神很特別的
[00:04:37.300 --> 00:04:39.180]  我們所有人都好像覺得
[00:04:39.180 --> 00:04:42.500]  已經沒有東西可以改變我們
[00:04:42.500 --> 00:04:48.100]  但今天的經文,告訴我們一個很重要的訊息
[00:04:48.100 --> 00:04:50.260]  這是甚麼重要的訊息呢?
[00:04:50.260 --> 00:04:52.060]  我們一起看看
[00:04:52.060 --> 00:04:57.060]  在《彼得前書》一章三到五節這樣說
[00:04:57.060 --> 00:04:59.580]  我們不如一起讀一下
[00:04:59.580 --> 00:05:04.220]  願眾贊歸於我們,主耶穌基督的父神
[00:05:04.220 --> 00:05:06.940]  他曾照自己的大憐憫
[00:05:06.940 --> 00:05:10.020]  藉耶穌基督從死裡復活
[00:05:10.020 --> 00:05:14.860]  重生了我們,叫我們有活潑的盼望
[00:05:14.860 --> 00:05:17.340]  可以得著不能扭壞
[00:05:17.340 --> 00:05:20.020]  不能玷污,不能摧殘
[00:05:20.020 --> 00:05:24.180]  為你們存留在天上的基業
[00:05:24.180 --> 00:05:28.460]  你們者因信,蒙神能力保守的人
[00:05:28.460 --> 00:05:30.700]  必能得著所預備
[00:05:30.700 --> 00:05:34.380]  到末世,要顯現救恩
[00:05:34.380 --> 00:05:36.300]  今天這段經文
[00:05:36.300 --> 00:05:39.140]  不單止讓我們看到
[00:05:39.140 --> 00:05:43.060]  我們有這份活潑的盼望
[00:05:43.060 --> 00:05:45.660]  同樣提醒了我們
[00:05:45.660 --> 00:05:50.620]  基督耶穌也給了我們三樣很寶貴的東西
[00:05:50.620 --> 00:05:52.580]  是哪三樣?
[00:05:52.580 --> 00:05:56.220]  信、望、愛
[00:05:56.220 --> 00:05:58.420]  但這三個信、望、愛
[00:05:58.420 --> 00:05:59.780]  他們很特別的
[00:05:59.780 --> 00:06:01.740]  他們有時間性
[00:06:01.740 --> 00:06:04.140]  這是甚麼時間性呢?
[00:06:04.140 --> 00:06:08.740]  信的時候,我們都好像信在過去,對不對?
[00:06:08.740 --> 00:06:11.500]  我們信主的創造
[00:06:11.500 --> 00:06:16.140]  我們信他帶以色列人離開埃及
[00:06:16.140 --> 00:06:21.500]  我們信過去寫成的這本聖經
[00:06:21.500 --> 00:06:26.420]  但這信卻帶我們回到今天
[00:06:26.420 --> 00:06:33.700]  令我們回到今天去相信主耶穌基督給我們的這份愛
[00:06:33.700 --> 00:06:38.220]  愛正正就是今天在這裡的發生
[00:06:38.220 --> 00:06:41.740]  這份愛不單止讓我們知道
[00:06:41.740 --> 00:06:45.140]  主耶穌為我們釘身在十字架
[00:06:45.140 --> 00:06:48.220]  然後存留下來的這份愛
[00:06:48.220 --> 00:06:53.700]  由過去到現在的這份愛
[00:06:53.700 --> 00:06:57.300]  當我們說到盼望的時候
[00:06:57.300 --> 00:07:00.740]  這個盼望不單止是未來
[00:07:00.740 --> 00:07:03.460]  因著我們有這份盼望
[00:07:03.460 --> 00:07:05.260]  將來的盼望
[00:07:05.260 --> 00:07:09.500]  可以帶給我們今天能夠有力量
[00:07:09.500 --> 00:07:13.740]  有信心的去過每一天
[00:07:13.740 --> 00:07:15.620]  今天是復活節
[00:07:15.620 --> 00:07:21.540]  理應我們要慶祝上帝釘在十字架裡面
[00:07:21.540 --> 00:07:22.660]  然後怎樣?
[00:07:22.660 --> 00:07:26.500]  今天能夠復活這個這麼大的訊息
[00:07:26.500 --> 00:07:28.340]  在基督教裡面
[00:07:28.340 --> 00:07:31.500]  耶穌基督為我們釘在十字架
[00:07:31.500 --> 00:07:33.100]  另一個就是
[00:07:33.100 --> 00:07:36.340]  耶穌基督從死裡復活
[00:07:36.340 --> 00:07:39.100]  死釘在十字架
[00:07:39.100 --> 00:07:41.580]  復活空墳墓
[00:07:41.580 --> 00:07:45.500]  兩個元素缺一不可
[00:07:45.500 --> 00:07:53.340]  耶穌告訴我們我們的人最大的絕望是什麼?
[00:07:53.340 --> 00:07:55.140]  最大的絕望
[00:07:55.140 --> 00:07:58.300]  我們就是死亡
[00:07:58.300 --> 00:08:02.820]  但是有耶穌盼望的人是不一樣的
[00:08:02.820 --> 00:08:08.380]  因為盼望是已經戰勝死亡的權勢
[00:08:08.380 --> 00:08:10.860]  剛才我沒有跟Steven合奏過
[00:08:10.860 --> 00:08:14.020]  他寫了一首歌已經告訴我們
[00:08:14.020 --> 00:08:16.980]  是這個盼望
[00:08:16.980 --> 00:08:20.220]  耶穌基督釘在十字架的這個給我們的盼望
[00:08:20.220 --> 00:08:24.540]  是可以戰勝這個死亡的權勢
[00:08:24.540 --> 00:08:29.940]  哥倫多前書15章55到57節這樣說
[00:08:29.940 --> 00:08:33.380]  「死啊!你得勝的權勢在那裡」
[00:08:33.380 --> 00:08:36.980]  「死啊!你的獨救勾在那裡」
[00:08:36.980 --> 00:08:39.380]  「死的獨勾就是罪」
[00:08:39.380 --> 00:08:41.980]  「罪的權勢就是律法」
[00:08:41.980 --> 00:08:47.780]  「感謝神使我們藉著我們的主耶穌基督得勝」
[00:08:47.780 --> 00:08:52.340]  「耶穌基督的死讓我們的罪可以被捆綁」
[00:08:52.340 --> 00:08:54.260]  「不至於死」
[00:08:54.260 --> 00:08:58.060]  但是人呢特別是中國人
[00:08:58.060 --> 00:09:00.900]  很怕談什麼?
[00:09:00.900 --> 00:09:02.460]  談死亡的
[00:09:02.460 --> 00:09:06.260]  因為死亡是不好的事情
[00:09:06.260 --> 00:09:07.900]  忌諱,對不對?
[00:09:07.900 --> 00:09:11.500]  所以死亡為什麼我們害怕?
[00:09:11.500 --> 00:09:14.220]  因為是未知的
[00:09:14.220 --> 00:09:17.900]  不知道的東西我們通常都是很恐懼的
[00:09:17.900 --> 00:09:20.940]  不知道將來會發生什麼事情
[00:09:20.940 --> 00:09:24.900]  因為有可能死亡代表了失去
[00:09:24.900 --> 00:09:29.740]  當我們現在很努力地去做每一件事的時候
[00:09:29.740 --> 00:09:33.140]  當我們想到我們死的時候
[00:09:33.140 --> 00:09:35.100]  什麼都沒有了
[00:09:35.100 --> 00:09:37.700]  那我們還是不是要這麼努力去做呢?
[00:09:37.700 --> 00:09:43.460]  有時候都很難去解釋
[00:09:43.460 --> 00:09:48.700]  但是當我們知道有這個活潑的盼望的時候
[00:09:48.700 --> 00:09:50.300]  神告訴我們
[00:09:50.300 --> 00:09:53.820]  我們應該是一無懼怕
[00:09:53.820 --> 00:09:59.780]  不用怕這個死亡給我們帶來的恐懼
[00:09:59.780 --> 00:10:05.940]  因為這份盼望不單止是戰勝了死亡
[00:10:05.940 --> 00:10:08.020]  還可以告訴我們
[00:10:08.020 --> 00:10:15.860]  這份盼望是因為耶穌基督有在我們的生命裏面
[00:10:15.860 --> 00:10:18.180]  我們一切的絕望
[00:10:18.180 --> 00:10:22.860]  一切的黑暗都可以成果
[00:10:22.860 --> 00:10:27.340]  其實有很多人當未認識主的時候
[00:10:27.340 --> 00:10:33.500]  他們對於盼望有很多奇怪的理解
[00:10:33.500 --> 00:10:36.420]  在英國有一個作家
[00:10:36.420 --> 00:10:37.980]  他曾經這樣說
[00:10:37.980 --> 00:10:41.380]  人生有兩個悲劇
[00:10:41.380 --> 00:10:46.380]  一個是心中的盼望未能夠兌現
[00:10:46.380 --> 00:10:48.180]  另一個悲劇是什麼?
[00:10:48.180 --> 00:10:52.940]  就是盼望終於能夠成真
[00:10:52.940 --> 00:10:55.580]  你會想,很奇怪,為什麼會這樣?
[00:10:55.580 --> 00:10:57.740]  第一個很容易理解
[00:10:57.740 --> 00:11:00.940]  因為我不能夠達成我所想的事
[00:11:00.940 --> 00:11:04.180]  但第二個,明明我已經達成了
[00:11:04.180 --> 00:11:07.060]  但為什麼我又覺得是悲劇呢?
[00:11:07.060 --> 00:11:09.580]  因為他的想法就是
[00:11:09.580 --> 00:11:12.060]  我已經完成了我所做的事
[00:11:12.060 --> 00:11:14.740]  那我還有什麼盼望呢?
[00:11:14.740 --> 00:11:19.020]  其實很多曾經有的日本作家都是這樣
[00:11:19.020 --> 00:11:22.980]  他無法突破自己的...
