
[00:00:00.000 --> 00:00:03.800]  好,今日講到呢,就係講一個題目叫做「兩個畢業生」
[00:00:03.800 --> 00:00:06.800]  咁呢,短宣隊隊員問我,佢知我講呢個題目,佢話
[00:00:06.800 --> 00:00:08.800]  「一個係你個女,另一個係邊個?」
[00:00:08.800 --> 00:00:12.600]  我話,唔係講我女,係講聖經裏面有兩個畢業生
[00:00:12.600 --> 00:00:18.200]  咁呢就,其實畢業呢,係一種嘅transition,一個過渡期
[00:00:18.200 --> 00:00:23.000]  我諗呢,即係可能大家唔係個個都畢業,完成中學或者小學,或者完成乜嘢
[00:00:23.000 --> 00:00:28.200]  但係我諗暑假比我想到呢,係每一個人都有一個嘅轉變,一種嘅轉折
[00:00:28.200 --> 00:00:33.800]  無論由呢一班去到另一班,可能你係初中去到高中,都係一個轉折
[00:00:33.800 --> 00:00:39.800]  事實亦都有啲人從中學階段轉入去另一個歷程,好多人生嘅轉變
[00:00:39.800 --> 00:00:45.800]  嗯,喺聖經裏面記載咗一段嘅事呢,係一個好重要嘅轉變嘅歷程
[00:00:45.800 --> 00:00:50.400]  咁喺約翰福音第二十一章裏面呢,係最尾幾節嘅經文
[00:00:50.400 --> 00:00:54.000]  但當我諗下人生好多唔同嘅歷程嘅時候呢
[00:00:54.000 --> 00:00:58.200]  或者我讀咗啲經文先,好,請讀得幾節嘅啫,好,預備起
[00:00:58.200 --> 00:01:05.600]  「我實實在在地告訴你,你年少嘅時候,自己戳上帶子,隨意往來
[00:01:05.600 --> 00:01:13.600]  但年老嘅時候,你要伸出手來,別人要把你戳上,帶你到你不願意去的地方
[00:01:13.600 --> 00:01:18.800]  耶穌說者話,是指著彼得要怎樣死榮耀神
[00:01:18.800 --> 00:01:24.600]  說了者話,就對他說,你跟從我吧,彼得轉過來
[00:01:24.600 --> 00:01:30.200]  看見耶穌所愛的那門徒跟著,就是在晚飯的時候
[00:01:30.200 --> 00:01:36.000]  靠著耶穌胸膛說,主啊,賣你的是誰的那門徒
[00:01:36.000 --> 00:01:41.600]  彼得看見他,就問耶穌說,主啊,這人將來如何
[00:01:41.600 --> 00:01:47.200]  耶穌對他說,我若要他等到我來的時候,與你何干
[00:01:47.200 --> 00:01:49.400]  你跟從我吧
[00:01:49.400 --> 00:01:52.800]  好,這件事呢,就是大家知道這兩個門徒呢
[00:01:52.800 --> 00:01:57.800]  這段經文提到其中兩個門徒,就是彼得和約翰
[00:01:57.800 --> 00:02:02.800]  那麼就是,他們跟從了耶穌幾年,好像入讀了一間學校
[00:02:02.800 --> 00:02:07.200]  畢竟學校是四處遊走,四處去,以前都是這樣
[00:02:07.200 --> 00:02:10.400]  跟著一個老師,四處去學習,四處去學習
[00:02:10.400 --> 00:02:13.800]  但這個時候呢,耶穌基督已經是被釘死,變成復活
[00:02:13.800 --> 00:02:17.400]  最後跟他們最後一個的講話,一個對話
[00:02:17.400 --> 00:02:22.400]  完了之後呢,耶穌就會不見了,他們有個人生另一個歷程
[00:02:22.400 --> 00:02:26.000]  是很多的人裡面有不同的歷程
[00:02:26.000 --> 00:02:30.600]  我不知道你去年讀書,明年讀的書有多大的轉變
[00:02:30.600 --> 00:02:34.600]  可能是同學的轉變,可能是一些很重要的階段
[00:02:34.600 --> 00:02:37.400]  的而且確,我女兒也是一個剛剛讀完中學
[00:02:37.400 --> 00:02:42.400]  入到大學的階段,是很多很多的轉變
[00:02:42.400 --> 00:02:45.000]  其實猶太人有很多不同歷程的轉變
[00:02:45.000 --> 00:02:49.600]  我們叫做Writes of Passage,是講到一個歷程的轉變
[00:02:49.600 --> 00:02:53.800]  可能是國禮,他由一個一出生,未屬於神
[00:02:53.800 --> 00:02:57.600]  或者未去奉獻給神,他接受國禮會成為了神
[00:02:57.600 --> 00:02:59.800]  或者我們剛剛講到報告贈禮
[00:02:59.800 --> 00:03:04.400]  我們未接受贈禮而進入贈禮,是一個歷程
[00:03:04.400 --> 00:03:08.200]  有些文化可能是青少年去到成人的階段
[00:03:08.200 --> 00:03:15.200]  要伸手去捉蛇,捉蠍子,這些是一些歷程
[00:03:15.200 --> 00:03:19.200]  我發覺一個網上很有趣的禮儀
[00:03:19.200 --> 00:03:25.000]  就是那些軍人,在美加以前有一個軍人的習俗
[00:03:25.000 --> 00:03:27.800]  當他們完成了學堂的訓練
[00:03:27.800 --> 00:03:31.000]  你見到他們會有一個襟章加在身上
[00:03:31.000 --> 00:03:33.000]  你大概都看過這些
[00:03:33.000 --> 00:03:38.600]  但原來這個習俗就是把針刺入肉,刺到流血
[00:03:38.600 --> 00:03:43.400]  我看到還有一個很大聲,看你第幾分隊
[00:03:43.400 --> 00:03:48.800]  如果你第15分隊刺15下,第一分隊可能好一點
[00:03:48.800 --> 00:03:54.200]  因為他是勇敢的軍人,所以不怕刺,有血的
[00:03:54.200 --> 00:03:56.400]  不過這個已經禁了一個習俗
[00:03:56.400 --> 00:04:02.000]  都是一種Writes of Passage,一種人生的轉折期
[00:04:02.000 --> 00:04:03.600]  或者對於你來說這個很遙遠
[00:04:03.600 --> 00:04:07.000]  不過我不知道你買iPhone,你要有一個Laptop
[00:04:07.000 --> 00:04:09.800]  或者什麼是人生的轉折期
[00:04:09.800 --> 00:04:14.200]  第一點在這裡想講,就是一個愛自由的本性
[00:04:14.200 --> 00:04:17.000]  耶穌和彼得說,我實實在在告訴你
[00:04:17.000 --> 00:04:21.800]  你年少的時候自己束上帶子,隨意往來
[00:04:21.800 --> 00:04:25.600]  其實彼得是一個很喜歡表達自己
[00:04:25.600 --> 00:04:27.400]  很多東西講,很多東西想做
[00:04:27.400 --> 00:04:30.000]  他的人生自己的目的和計劃
[00:04:30.000 --> 00:04:33.800]  當他跟從耶穌的時候,其實聖經所表達的門徒
[00:04:33.800 --> 00:04:37.000]  都很幼嫩,其實和大家可能不會差很遠
[00:04:37.000 --> 00:04:38.800]  往往耶穌講的東西他都不明白
[00:04:38.800 --> 00:04:40.600]  正如我講道理,你都不會明白
[00:04:40.600 --> 00:04:43.200]  你都是完了之後,繼續回去做你要做的事情
[00:04:43.200 --> 00:04:45.400]  或者在崇拜裡面,不過現在沒什麼人打機了
[00:04:45.400 --> 00:04:47.600]  就是很大進步了
[00:04:47.600 --> 00:04:51.000]  但是我們的生活和信仰裡面
[00:04:51.000 --> 00:04:53.000]  可能很多很多的差別
[00:04:53.000 --> 00:04:55.400]  是彼得也好,是約翰也好
[00:04:55.400 --> 00:05:00.400]  其實都是很多自己人生的一種理念
[00:05:00.400 --> 00:05:02.000]  或者想做的東西
[00:05:02.000 --> 00:05:05.200]  今天的年輕人,或者我們講後現代都是這樣
[00:05:05.200 --> 00:05:08.800]  I feel it, I like it,或者I love it
[00:05:08.800 --> 00:05:11.000]  就是麥當勞那些,I am loving it
[00:05:11.000 --> 00:05:14.000]  不過現在少了人,少了人love麥當勞
[00:05:14.000 --> 00:05:16.600]  我喜歡就行了,我不需要那樣東西好不好
[00:05:16.600 --> 00:05:18.200]  我喜歡這樣做就這樣做
[00:05:18.200 --> 00:05:19.800]  那麼這個女士是誰呢?
[00:05:19.800 --> 00:05:21.000]  你有沒有看過這個新聞?
[00:05:21.000 --> 00:05:23.000]  我今早看的這個新聞,新鮮棍熱辣
[00:05:23.000 --> 00:05:25.000]  有沒有人見過這個新聞呢?
[00:05:25.000 --> 00:05:26.800]  沒有啊,大家沒那麼勤力看新聞
[00:05:26.800 --> 00:05:29.600]  我經常看新聞,拿來講道
[00:05:29.600 --> 00:05:31.200]  這個是什麼人呢?
[00:05:31.200 --> 00:05:36.600]  這個是澳洲新南威爾斯省前省長的女兒
[00:05:36.600 --> 00:05:38.000]  是26歲而已
[00:05:38.000 --> 00:05:41.400]  她有很多遺產
[00:05:41.400 --> 00:05:45.400]  她爸爸上個月,4月過世了
[00:05:45.400 --> 00:05:48.200]  留下了4千萬澳元給她
[00:05:48.200 --> 00:05:51.200]  大家知不知道澳元是兌多少錢?
[00:05:51.200 --> 00:05:58.000]  7點多,即是2.9億,差不多2.9億的身家她擁有
[00:05:58.000 --> 00:05:59.800]  但是這張照片是講什麼呢?
[00:05:59.800 --> 00:06:01.200]  其實右邊那個也是她
[00:06:01.200 --> 00:06:04.600]  因為剛剛她因為吸毒的緣故
[00:06:04.600 --> 00:06:07.600]  在一次的衝突裏面的毒販衝突
[00:06:07.600 --> 00:06:12.800]  為了500元港幣吉死了對方
[00:06:12.800 --> 00:06:16.600]  一個擁有差不多2億,2.9億
