
[00:00:00.000 --> 00:00:02.540]  有沒有人未參加過婚禮?
[00:00:02.540 --> 00:00:04.540]  大家都參加過
[00:00:04.540 --> 00:00:07.260]  在參加婚禮的過程中
[00:00:07.260 --> 00:00:11.840]  其中一幕是最感動人的時候
[00:00:11.840 --> 00:00:15.580]  往往就是新人去讀誓詞
[00:00:15.580 --> 00:00:18.520]  我想問在座的弟兄姊妹
[00:00:18.520 --> 00:00:25.160]  你有哪位曾經讀過這個誓詞的?
[00:00:25.160 --> 00:00:31.840]  在我結婚的時候
[00:00:31.840 --> 00:00:34.140]  我介紹一下我老公
[00:00:34.140 --> 00:00:35.420]  就是坐在那邊
[00:00:35.420 --> 00:00:39.020]  很安靜的一位弟兄婆婆
[00:00:39.020 --> 00:00:41.580]  因為有些人以為我沒有老公
[00:00:41.580 --> 00:00:43.980]  或者我是單親的
[00:00:43.980 --> 00:00:46.700]  所以他只是安靜
[00:00:46.700 --> 00:00:49.360]  在我和婆婆結婚的時候
[00:00:49.360 --> 00:00:53.540]  我們就讀了以下這段誓詞
[00:00:53.540 --> 00:00:57.440]  從今以後我會謹遵上帝的聖道
[00:00:57.440 --> 00:01:00.000]  靠賴上帝的恩典
[00:01:00.000 --> 00:01:02.640]  一生與你同甘共苦
[00:01:02.640 --> 00:01:04.300]  愛你敬重你
[00:01:04.300 --> 00:01:06.300]  永遠對你忠心
[00:01:06.300 --> 00:01:10.380]  願主幫助我謹守這諾言
[00:01:10.380 --> 00:01:11.560]  不知道弟兄姊妹
[00:01:11.560 --> 00:01:15.520]  如果你曾經讀過婚禮的誓詞
[00:01:15.520 --> 00:01:20.340]  你還記不記得當日你那段內容
[00:01:20.340 --> 00:01:22.340]  可能和我這個有些不同
[00:01:22.340 --> 00:01:25.540]  「未出到,是嗎?PowerPoint」
[00:01:25.540 --> 00:01:26.420]  「是,出到」
[00:01:26.420 --> 00:01:30.600]  是的,因為當年我的神學院朋友
[00:01:30.600 --> 00:01:33.160]  特意幫我製作這個誓詞卡
[00:01:33.160 --> 00:01:36.160]  所以都出得出
[00:01:36.160 --> 00:01:40.300]  這段誓詞不單單是一個浪漫的承諾
[00:01:40.300 --> 00:01:45.340]  它其實都是一對夫婦
[00:01:45.340 --> 00:01:48.880]  一男一女走在一起的時候
[00:01:48.880 --> 00:01:51.640]  一個承諾
[00:01:51.640 --> 00:01:54.580]  有些年輕人問我
[00:01:54.580 --> 00:01:56.580]  「拍拖是甚麼?」
[00:01:56.580 --> 00:02:03.560]  「是否就是出去看電影、吃飯、牽手就是?」
[00:02:03.560 --> 00:02:06.720]  但從這段誓詞我們看見
[00:02:06.720 --> 00:02:08.720]  如果要進入婚姻
[00:02:08.720 --> 00:02:12.060]  其實一點都不是
[00:02:12.060 --> 00:02:17.360]  就這樣吃飯、牽手、拍拖、看電影
[00:02:17.360 --> 00:02:21.000]  今天很想和大家從《已忽左書》裏面
[00:02:21.000 --> 00:02:24.560]  一同看保羅怎樣看婚姻
[00:02:24.560 --> 00:02:28.440]  我給他的講題是在基督裡的婚姻
