
[00:00:00.000 --> 00:00:02.560]  各位弟兄姊妹,主內平安
[00:00:02.560 --> 00:00:07.960]  我在此先向大家送上問候
[00:00:07.960 --> 00:00:12.200]  盼望大家在第四波疫情當中
[00:00:12.200 --> 00:00:15.400]  能夠有主的保守、有主的恩典
[00:00:15.400 --> 00:00:17.520]  一切都安好
[00:00:17.520 --> 00:00:23.960]  我很感恩再次有機會在此跟大家分享神的話
[00:00:23.960 --> 00:00:27.760]  我更感恩的是能夠在新的一年
[00:00:27.760 --> 00:00:31.240]  在你們的新的堂祇裏
[00:00:31.240 --> 00:00:35.040]  可以跟大家分享神的話
[00:00:35.040 --> 00:00:39.720]  我今天選擇的主題就是
[00:00:39.720 --> 00:00:42.560]  「門徒的天國觀」
[00:00:42.560 --> 00:00:46.560]  為何我會選擇這個主題呢?
[00:00:46.560 --> 00:00:52.240]  每一個門徒都需要在兩個國度
[00:00:52.240 --> 00:00:56.840]  和兩個君王當中做一個抉擇
[00:00:57.920 --> 00:01:04.320]  兩個國度就是地上的國度和天上的國度
[00:01:04.320 --> 00:01:06.360]  是要選擇的
[00:01:06.360 --> 00:01:09.160]  兩個君王就是這個世界的王
[00:01:09.160 --> 00:01:12.200]  和天國的君王
[00:01:12.200 --> 00:01:16.240]  門徒又要在當中做一個選擇
[00:01:16.240 --> 00:01:24.360]  我希望今天的訊息能夠幫助大家去做這個抉擇
[00:01:24.360 --> 00:01:28.400]  我們同心低頭禱告
[00:01:28.400 --> 00:01:31.080]  親愛的主耶穌,我們感謝祢
[00:01:31.080 --> 00:01:35.040]  因為祢來到這個世界
[00:01:35.040 --> 00:01:37.320]  是為了我們的罪
[00:01:37.320 --> 00:01:41.520]  讓我們成為一個新造的人
[00:01:41.520 --> 00:01:45.840]  我們感謝祢,因為祢是我們的主
[00:01:45.840 --> 00:01:49.920]  我們生命的主,祢也是天國的君王
[00:01:49.920 --> 00:01:55.760]  讓我們每一個人都懷著一個敬虔的心去跟隨祢
[00:01:55.760 --> 00:02:01.760]  讓祢的心意能夠在我們每一個人的生命裏面活出來
[00:02:01.760 --> 00:02:05.160]  祢帶領著我們每一個人前面的路
[00:02:05.160 --> 00:02:12.400]  也帶領著凱兒浸信會在他們搬進來這個新堂子前面
[00:02:12.400 --> 00:02:15.880]  是主祢有美好的為他們的預備
[00:02:15.880 --> 00:02:20.440]  所以我們求主祢帶領著教會
[00:02:20.440 --> 00:02:24.200]  聽我們的祈禱,奉耶穌基督的聖名祈求
[00:02:24.200 --> 00:02:26.600]  阿門
[00:02:26.600 --> 00:02:33.360]  首先我澄清天國這個名詞
[00:02:33.360 --> 00:02:35.640]  如果大家翻開福音書
[00:02:35.640 --> 00:02:41.480]  你會發覺馬太福音是用天國這個名詞
[00:02:41.480 --> 00:02:49.280]  但是馬可福音和路加福音卻是用神國這個名詞
[00:02:49.280 --> 00:02:51.200]  有沒有分別呢?
[00:02:51.200 --> 00:02:52.720]  為什麼會這樣呢?
[00:02:52.720 --> 00:02:59.600]  原來馬太福音寫的時候的對象是猶太人
[00:02:59.600 --> 00:03:06.720]  所以猶太人完全明白天這個字代表耶和華神
[00:03:06.720 --> 00:03:09.840]  所以馬太就用天國
[00:03:09.840 --> 00:03:19.000]  馬可和路加他們寫那本書的對象是外邦人
[00:03:19.000 --> 00:03:23.560]  寫給希臘人、羅馬人等等
[00:03:23.560 --> 00:03:28.240]  所以他們就要用神國這個名詞
[00:03:28.240 --> 00:03:31.040]  Kingdom of Heaven
[00:03:31.040 --> 00:03:32.480]  Kingdom of God
[00:03:32.480 --> 00:03:34.360]  神國就是Kingdom of God
[00:03:34.360 --> 00:03:39.240]  而天國就是Kingdom of Heaven
[00:03:39.240 --> 00:03:47.080]  究竟兩國有什麼不同之處呢?
[00:03:47.080 --> 00:03:52.840]  天國的意思是什麼呢?
[00:03:52.840 --> 00:03:57.680]  有人說天堂當然是天國
[00:03:57.680 --> 00:04:03.000]  有人說聖經所說的新天新地當然是天國
[00:04:03.000 --> 00:04:08.600]  也有人說教會也是天國
[00:04:08.600 --> 00:04:13.440]  我們嘗試簡單做一個定義給天國
[00:04:13.440 --> 00:04:21.640]  就是天國就是上帝的主權、能力和目的被彰顯的地方
[00:04:21.640 --> 00:04:27.600]  無論是在人或是在一個地域當中
[00:04:27.600 --> 00:04:31.720]  所以天堂是天國
[00:04:31.720 --> 00:04:36.600]  所以教會也可以是天國
[00:04:36.600 --> 00:04:48.440]  如果教會的生命是讓上帝管治、掌權
[00:04:48.440 --> 00:04:54.240]  天國就一定有一個天國的君王
[00:04:54.240 --> 00:04:57.080]  所以如果我們很簡單地說
[00:04:57.080 --> 00:04:58.680]  什麼是天國呢?
[00:04:58.680 --> 00:05:07.880]  我們可以說天國是耶穌管治和掌權的地方
[00:05:07.880 --> 00:05:16.680]  我今天想和大家分享三個關於天國的基本理念
[00:05:16.680 --> 00:05:21.680]  第一,天國是耶穌宣講的主要信息
[00:05:21.680 --> 00:05:28.320]  第二,天國是有現在和將來兩個的向導
[00:05:28.320 --> 00:05:34.080]  第三,天國是門徒生命的指南針
[00:05:34.080 --> 00:05:41.080]  讓我們一齊逐點去看一看
[00:05:41.080 --> 00:05:44.680]  耶穌剛剛出來傳道的時候
[00:05:44.680 --> 00:05:50.720]  祂說「天國近了,你們應當悔改」
[00:05:50.720 --> 00:05:55.400]  記載在《馬達福音》的四章十七節
[00:05:55.400 --> 00:06:00.160]  耶穌在十字架受死之後復活
[00:06:00.160 --> 00:06:04.840]  祂向門徒顯現的時候
[00:06:04.840 --> 00:06:07.520]  有四十天這麼久
[00:06:07.520 --> 00:06:08.880]  聖經告訴我們
[00:06:08.880 --> 00:06:11.560]  《士道行傳》一章三節
[00:06:11.560 --> 00:06:16.200]  四十天之久向他們顯現
[00:06:16.200 --> 00:06:18.720]  講述什麼呢?
[00:06:18.720 --> 00:06:21.000]  講述神國的事
[00:06:21.000 --> 00:06:27.520]  所以大家見到《馬達福音》是用天國
[00:06:27.520 --> 00:06:30.880]  大家見到《士道行傳》或《路加福音》
[00:06:30.880 --> 00:06:33.120]  因為《士道行傳》是路加寫的
[00:06:33.120 --> 00:06:36.680]  祂是用神國
[00:06:36.680 --> 00:06:41.160]  由耶穌剛剛出來傳道開始
[00:06:41.160 --> 00:06:44.800]  到耶穌復活之後向門徒顯現
[00:06:44.800 --> 00:06:47.760]  祂都是在講天國的信息
[00:06:47.760 --> 00:06:53.600]  而在耶穌與門徒在一起三年多的時間
[00:06:53.600 --> 00:06:59.600]  祂當然講了很多關於天國的信息
