
[00:00:00.000 --> 00:00:04.080]  按照聖經的教導
[00:00:04.080 --> 00:00:08.540]  聖靈總是用說不出的嘆息為我們代求代禱
[00:00:08.540 --> 00:00:12.140]  聖靈總是用說不出的嘆息為我們代求代禱
[00:00:12.140 --> 00:00:14.400]  也都用微小的聲音向人說話
[00:00:14.400 --> 00:00:17.020]  也都用微小的聲音向人說話
[00:00:17.020 --> 00:00:21.240]  今天早晨我回來的時候
[00:00:21.240 --> 00:00:24.720]  就收到一個訊息
[00:00:24.720 --> 00:00:31.360]  「我們親愛的長者父媽媽再次因為身體不舒服不能回來崇拜」
[00:00:31.360 --> 00:00:35.440]  「我們的長者父媽媽因為身體不舒服不能回來崇拜」
[00:00:35.440 --> 00:00:37.980]  「其實這半年來她已經經常是這樣了」
[00:00:37.980 --> 00:00:40.200]  「其實這半年來她已經經常是這樣了」
[00:00:40.200 --> 00:00:42.800]  「我們體諒因為她是九十多歲的老人家」
[00:00:42.800 --> 00:00:45.640]  「我們體諒因為她是九十多歲的老人家」
[00:00:45.640 --> 00:00:47.440]  「之後我就看到這幅圖畫」
[00:00:47.440 --> 00:00:49.000]  「之後我就看到這幅圖畫」
[00:00:49.000 --> 00:00:51.360]  「這幅圖畫有一段說話很觸動我的」
[00:00:51.360 --> 00:00:54.480]  「這幅圖畫有一段說話很觸動我的」
[00:00:54.480 --> 00:00:57.320]  「他說每一個主日當你來到上帝的面前」
[00:00:57.320 --> 00:01:00.080]  「他說每一個主日當你來到上帝的面前」
[00:01:00.080 --> 00:01:01.760]  「要提醒自己一件事實」
[00:01:01.760 --> 00:01:03.760]  「要提醒自己一件事實」
[00:01:03.760 --> 00:01:07.560]  「你可以坐在這個位置上朝見聖潔的上帝」
[00:01:07.560 --> 00:01:10.640]  「你可以坐在這個位置上朝見聖潔的上帝」
[00:01:10.640 --> 00:01:15.200]  「是上帝用祂的愛子耶穌基督生命所換取的」
[00:01:15.200 --> 00:01:19.960]  「是上帝用祂的愛借耶穌基督生命所換取的」
