
[00:00:00.000 --> 00:00:02.000]  來到一年的盡頭
[00:00:02.000 --> 00:00:05.840]  很多人都會有感恩的說話和感受
[00:00:05.840 --> 00:00:07.840]  就算沒有宗教信仰的人
[00:00:07.840 --> 00:00:09.840]  都會說感恩
[00:00:09.840 --> 00:00:11.840]  感恩的事項有很多
[00:00:11.840 --> 00:00:13.840]  例如
[00:00:13.840 --> 00:00:17.840]  上班的升職加薪
[00:00:17.840 --> 00:00:19.840]  或者做學生的
[00:00:19.840 --> 00:00:21.840]  考試成績很理想
[00:00:21.840 --> 00:00:23.840]  參加比賽又得獎
[00:00:23.840 --> 00:00:25.840]  入到心儀的學校
[00:00:25.840 --> 00:00:27.840]  或者家長更開心
[00:00:27.840 --> 00:00:29.840]  子女入到心儀的學校
[00:00:29.840 --> 00:00:31.840]  我們有朋友的
[00:00:31.840 --> 00:00:33.840]  幫助和關心
[00:00:33.840 --> 00:00:35.840]  或者當中有人找到理想的結婚對象
[00:00:35.840 --> 00:00:37.840]  婚姻美滿
[00:00:37.840 --> 00:00:39.840]  生了嬰兒
[00:00:39.840 --> 00:00:41.840]  自己有健康的身體
[00:00:41.840 --> 00:00:43.840]  甚至有生命
[00:00:43.840 --> 00:00:45.840]  我們都值得感恩
[00:00:45.840 --> 00:00:47.840]  聖經說
[00:00:47.840 --> 00:00:49.840]  剛才主席跟我們讀出的
[00:00:49.840 --> 00:00:51.840]  已忽所書第五章二十節
[00:00:51.840 --> 00:00:55.840]  凡事要奉我們主耶穌基督的名
[00:00:55.840 --> 00:00:57.840]  常常感謝父神
[00:00:57.840 --> 00:00:59.840]  這個譯本
[00:00:59.840 --> 00:01:01.840]  相信是非常正確
[00:01:01.840 --> 00:01:03.840]  因為在和合本和和合本修訂版
[00:01:03.840 --> 00:01:05.840]  並且新譯本
[00:01:05.840 --> 00:01:07.840]  是一模一樣的譯法
[00:01:07.840 --> 00:01:09.840]  在聖經原來的文字
[00:01:09.840 --> 00:01:11.840]  希臘文的次序是這樣的
[00:01:11.840 --> 00:01:13.840]  常常感恩
[00:01:13.840 --> 00:01:15.840]  為所有事
[00:01:15.840 --> 00:01:17.840]  奉我們主耶穌基督的名
[00:01:17.840 --> 00:01:19.840]  感謝父神
[00:01:19.840 --> 00:01:21.840]  很強調
[00:01:21.840 --> 00:01:23.840]  就是要感恩
[00:01:23.840 --> 00:01:25.840]  為所有事常常感恩
[00:01:25.840 --> 00:01:27.840]  奉我們主耶穌基督的名
[00:01:27.840 --> 00:01:29.840]  感謝父神
[00:01:29.840 --> 00:01:31.840]  常常
[00:01:31.840 --> 00:01:33.840]  為所有事
[00:01:33.840 --> 00:01:35.840]  即是要甘心樂意
[00:01:35.840 --> 00:01:37.840]  接受神所給我們
[00:01:37.840 --> 00:01:39.840]  一切的安排
[00:01:39.840 --> 00:01:41.840]  能否做到呢?
[00:01:41.840 --> 00:01:43.840]  生活有不如意的時候
[00:01:43.840 --> 00:01:45.840]  如何去謝恩呢?
[00:01:45.840 --> 00:01:49.840]  如果失業
[00:01:49.840 --> 00:01:51.840]  成績不理想
[00:01:51.840 --> 00:01:53.840]  被朋友或同事出賣
[00:01:53.840 --> 00:01:55.840]  失戀
[00:01:55.840 --> 00:01:57.840]  感情沒有著落
[00:01:57.840 --> 00:01:59.840]  跟丈夫或妻子的關係疏離
[00:01:59.840 --> 00:02:03.840]  子女不聽話
[00:02:03.840 --> 00:02:05.840]  自己患病
[00:02:05.840 --> 00:02:07.840]  親人離世
[00:02:07.840 --> 00:02:11.840]  在這些生活不如意的情況下
[00:02:11.840 --> 00:02:13.840]  如何去謝恩呢?
[00:02:13.840 --> 00:02:17.840]  到底聖經教導我們
[00:02:17.840 --> 00:02:19.840]  要凡事
[00:02:19.840 --> 00:02:21.840]  常常去感恩
[00:02:21.840 --> 00:02:23.840]  常常去感謝神
[00:02:23.840 --> 00:02:25.840]  如何能夠做到呢?
[00:02:25.840 --> 00:02:29.840]  首先我們看看
[00:02:29.840 --> 00:02:31.840]  感恩是甚麼?
[00:02:31.840 --> 00:02:33.840]  我在正主聖經神學詞典
[00:02:33.840 --> 00:02:35.840]  看到一句說話
[00:02:35.840 --> 00:02:37.840]  舊約沒有一個
[00:02:37.840 --> 00:02:39.840]  表示感恩或感謝的
[00:02:39.840 --> 00:02:41.840]  獨立的字詞
[00:02:41.840 --> 00:02:43.840]  舊約
[00:02:43.840 --> 00:02:45.840]  整本舊約聖經
[00:02:45.840 --> 00:02:47.840]  沒有一個表示感恩或感謝的
[00:02:47.840 --> 00:02:49.840]  獨立的字
[00:02:49.840 --> 00:02:51.840]  最多的表達感恩
[00:02:51.840 --> 00:02:53.840]  都是詩篇
[00:02:53.840 --> 00:02:55.840]  因為摩西五經
