
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的聖誕重拜
[00:00:03.000 --> 00:00:09.000]  開始的時候我想和你分享一個小小的秘密
[00:00:09.000 --> 00:00:16.000]  我小時候很不喜歡聖誕重禮
[00:00:16.000 --> 00:00:23.000]  不是因為我不喜歡回教會
[00:00:23.000 --> 00:00:29.000]  而是我覺得聖誕節回教會特別沒有意思
[00:00:30.000 --> 00:00:33.000]  聖誕講道通常是特別軟熟的
[00:00:33.000 --> 00:00:39.000]  可能是因為要迎合大眾的口味
[00:00:39.000 --> 00:00:45.000]  而參加聚會的人
[00:00:45.000 --> 00:00:49.000]  又好像特別不耐煩
[00:00:49.000 --> 00:00:53.000]  唱完詩歌之後肚子開始餓
[00:00:55.000 --> 00:01:00.000]  就在想以後一會兒吃什麼
[00:01:00.000 --> 00:01:04.000]  根本無心去聽這篇道
[00:01:04.000 --> 00:01:08.000]  那個不是一個真正的教會
[00:01:08.000 --> 00:01:10.000]  那個不是一個真正的崇拜
[00:01:10.000 --> 00:01:12.000]  那個更加不是一個真正的聖誕
[00:01:12.000 --> 00:01:19.000]  那個不是一個真正的教會
[00:01:19.000 --> 00:01:22.000]  那個不是一個真正的崇拜
[00:01:22.000 --> 00:01:25.000]  所以今天我一反常態
[00:01:25.000 --> 00:01:27.000]  所以今天我一反常態
[00:01:27.000 --> 00:01:29.000]  我取消了聖誕大餐
[00:01:29.000 --> 00:01:31.000]  我取消了聖誕大餐
[00:01:31.000 --> 00:01:33.000]  我取消了聖誕大餐
[00:01:33.000 --> 00:01:34.000]  說笑而已
[00:01:34.000 --> 00:01:36.000]  說笑而已
[00:01:36.000 --> 00:01:38.000]  食物還沒到
[00:01:38.000 --> 00:01:40.000]  食物還沒到
[00:01:40.000 --> 00:01:44.000]  不過我確實是想講一篇很不入流的聖誕訊息
[00:01:44.000 --> 00:01:47.000]  不過我確實是想講一篇很不入流的聖誕訊息
[00:01:47.000 --> 00:01:53.000]  不過我確實是想講一篇很不入流的聖誕訊息
[00:01:53.000 --> 00:01:55.000]  因為唯有這樣你才可以明白
[00:01:55.000 --> 00:01:56.000]  因為唯有這樣你才可以明白
[00:01:56.000 --> 00:01:58.000]  發現聖誕的真意
[00:01:58.000 --> 00:01:59.000]  發現聖誕的真相
