
[00:00:00.000 --> 00:00:01.920]  好,想問大家一個問題
[00:00:01.920 --> 00:00:06.440]  我想問你呢,一般你和你的好朋友
[00:00:06.440 --> 00:00:08.460]  一起的時候會做些什麼?
[00:00:08.460 --> 00:00:14.060]  吃飯
[00:00:14.060 --> 00:00:15.600]  然後呢?
[00:00:15.600 --> 00:00:19.000]  打球
[00:00:19.000 --> 00:00:22.720]  這個永揚牧師說
[00:00:22.720 --> 00:00:24.760]  他喜歡打球、吃飯,還有沒有其他?
[00:00:24.760 --> 00:00:29.100]  聽不到
[00:00:29.700 --> 00:00:30.700]  聊天
[00:00:30.700 --> 00:00:35.380]  我們和好朋友的時候
[00:00:35.380 --> 00:00:39.080]  都是喜歡這樣的生活、活動
[00:00:39.080 --> 00:00:42.500]  我想問一下,最近因為限聚令
[00:00:42.500 --> 00:00:43.880]  我們少見面了
[00:00:43.880 --> 00:00:46.900]  問問我們和教會的弟兄姊妹
[00:00:46.900 --> 00:00:49.820]  我們有沒有聊天?
[00:00:49.820 --> 00:00:51.780]  吃飯可能少一點
[00:00:51.780 --> 00:00:53.180]  或者我們是不是
[00:00:53.180 --> 00:00:54.700]  現在說的
[00:00:54.700 --> 00:00:58.100]  日常我們和好朋友的生活
[00:00:58.280 --> 00:01:00.480]  都是和我們教會的弟兄姊妹
[00:01:00.480 --> 00:01:02.900]  都是一樣的生活呢?
[00:01:02.900 --> 00:01:04.820]  有沒有不同?
[00:01:04.820 --> 00:01:11.000]  我這樣問,其實是在說
[00:01:11.000 --> 00:01:12.100]  究竟
[00:01:12.100 --> 00:01:15.520]  教會的弟兄姊妹,是不是我們的朋友呢?
[00:01:15.520 --> 00:01:17.700]  是不是我們的好朋友呢?
[00:01:17.700 --> 00:01:19.200]  還是呢
[00:01:19.200 --> 00:01:22.160]  只不過是教會裡面的弟兄姊妹
[00:01:22.160 --> 00:01:24.560]  是另一種的
[00:01:25.740 --> 00:01:28.620]  是另一種的朋友
[00:01:28.620 --> 00:01:31.620]  或者是和平時不同的
[00:01:31.620 --> 00:01:34.920]  今天會說一個題目叫
[00:01:34.920 --> 00:01:36.420]  彼此相愛
[00:01:36.420 --> 00:01:39.520]  今年教會的主題是同行牧養
