
[00:00:00.000 --> 00:00:07.380]  今天早上兩首詩歌都是講風雨同路
[00:00:07.380 --> 00:00:11.080]  有主結伴同行非常之好
[00:00:11.080 --> 00:00:13.900]  經過幾個月的時間
[00:00:13.900 --> 00:00:17.440]  我們能夠再回來崇拜
[00:00:17.440 --> 00:00:22.700]  可能我們就想到詩篇126篇那裏這樣說
[00:00:22.700 --> 00:00:28.200]  好像當日以色列人重回故土
[00:00:28.200 --> 00:00:30.760]  那種複雜的心情
[00:00:30.760 --> 00:00:32.460]  恍如隔世
[00:00:32.460 --> 00:00:34.820]  又好像做了一場夢
[00:00:34.820 --> 00:00:43.140]  所以今天早上我們都是滿口嬉笑滿舌歡呼
[00:00:43.140 --> 00:00:49.320]  因為上主為我們行了大事我們就歡喜
[00:00:49.320 --> 00:00:56.600]  當這個肺炎在意大利肆虐的時候
[00:00:56.600 --> 00:01:03.580]  有一位72歲的神父叫貝拉德利
[00:01:03.580 --> 00:01:06.380]  他感染了這個病
[00:01:06.380 --> 00:01:11.920]  教區為他買了一部呼吸器
[00:01:11.920 --> 00:01:16.340]  但他見到另一個年輕人同樣患這個病
[00:01:16.340 --> 00:01:23.920]  結果他就將這個呼吸器讓給這個年輕人
[00:01:23.920 --> 00:01:28.240]  結果這位神父就把呼吸器讓給這位年輕人
[00:01:28.240 --> 00:01:32.140]  結果他自己幾天之後病情就惡化
[00:01:32.140 --> 00:01:35.920]  結果這位神父自己的病情過了幾天之後惡化
[00:01:35.920 --> 00:01:36.920]  甚至不治
[00:01:36.920 --> 00:01:37.940]  甚至不治
[00:01:37.940 --> 00:01:41.800]  他的朋友就引用一段經文這樣去形容他
[00:01:41.800 --> 00:01:44.760]  他的朋友引用一段經文這樣形容他
[00:01:44.760 --> 00:01:48.480]  他說人為朋友捨命沒有比這更大的愛
[00:01:48.480 --> 00:01:51.760]  人為朋友捨命沒有比這更大的愛
[00:01:51.760 --> 00:01:55.060]  去懷念這位神父
[00:01:55.060 --> 00:02:00.720]  我們仔細去分析詩篇91篇
[00:02:00.720 --> 00:02:02.160]  前兩篇的訊息
[00:02:02.160 --> 00:02:05.440]  我們集中在上主四個名號的裏面
[00:02:05.440 --> 00:02:09.680]  前兩篇的訊息集中在上主四個名號
[00:02:09.680 --> 00:02:14.680]  還有他不同保護的意象
[00:02:14.680 --> 00:02:21.720]  包括隱密處、全能者的印象
[00:02:21.720 --> 00:02:30.160]  避難所、山寨、翅膀的底下大小盾牌等
[00:02:30.160 --> 00:02:33.600]  其實所有都是形容上主在我們危難的時候
[00:02:33.600 --> 00:02:34.960]  提供給我們的保護
[00:02:34.960 --> 00:02:38.560]  全部都是形容上主在不同的環境
[00:02:38.560 --> 00:02:40.400]  危險當中提供的保護
[00:02:40.400 --> 00:02:44.880]  在詩篇91篇裏面有另外兩組的詞
[00:02:44.880 --> 00:02:46.920]  是有一些信仰的意涵
[00:02:46.920 --> 00:02:50.400]  在詩篇91篇裏面還有兩組的詞
[00:02:50.400 --> 00:02:52.200]  是有這樣的信仰的意涵
[00:02:52.200 --> 00:02:54.440]  中文的翻譯是「必」和「要」
[00:02:54.440 --> 00:02:56.960]  中文的翻譯是「必」和「要」
[00:02:56.960 --> 00:03:01.320]  更具體是講到上主在我們危難的那種保護
[00:03:01.320 --> 00:03:06.040]  更具體的是述說上主在我們危難的時候的保護
[00:03:06.040 --> 00:03:07.880]  我請你讀出「必」的經文
[00:03:07.880 --> 00:03:09.200]  經文章說
