
[00:00:00.000 --> 00:00:02.800]  第一堂是提到一個很重要的概念
[00:00:02.800 --> 00:00:07.280]  原來我們做信徒和做門徒是有分別的
[00:00:07.280 --> 00:00:09.120]  你信一樣東西
[00:00:09.120 --> 00:00:13.200]  跟你說我願意學習一樣東西
[00:00:13.200 --> 00:00:14.840]  是完全兩回事
[00:00:14.840 --> 00:00:17.480]  所以門徒的定義簡單來說
[00:00:17.480 --> 00:00:19.360]  就好像拜師學藝一樣
[00:00:19.360 --> 00:00:21.680]  我們喜歡學烹飪
[00:00:21.680 --> 00:00:26.040]  所以我們找個廚師跟着他學烹飪
[00:00:26.040 --> 00:00:27.640]  所以我們成爲基督徒
[00:00:27.640 --> 00:00:29.320]  回教會我們信耶穌
[00:00:29.320 --> 00:00:31.240]  我們想做耶穌的門徒
[00:00:31.240 --> 00:00:33.600]  我們學耶穌做什麼呢
[00:00:33.600 --> 00:00:35.080]  當然耶穌降世
[00:00:35.080 --> 00:00:36.680]  祂有很重要很偉大的目的
[00:00:36.680 --> 00:00:40.840]  祂就是要將我們從罪惡裏面拯救出來
[00:00:40.840 --> 00:00:44.040]  但祂對於我們跟從祂的這羣人
[00:00:44.040 --> 00:00:45.800]  也有很明確的指示
[00:00:45.800 --> 00:00:48.960]  其實我們在這個世上跟着祂要做些什麼
[00:00:48.960 --> 00:00:51.000]  如果你仍然記得
[00:00:51.000 --> 00:00:56.520]  祂就是要我們去令另外一個人成爲祂的門徒
[00:00:56.520 --> 00:01:01.520]  跟另一個人說你要去製造門徒
[00:01:01.520 --> 00:01:03.280]  很多人要我們去傳福音
[00:01:03.280 --> 00:01:04.680]  傳了就算了
[00:01:04.680 --> 00:01:06.280]  最重要是帶了人回教會
[00:01:06.280 --> 00:01:10.680]  扔下教會的同工全都搞定就可以了
[00:01:10.680 --> 00:01:12.520]  我們就只是叫人回來
[00:01:12.520 --> 00:01:14.000]  原來這個概念是錯的
[00:01:14.000 --> 00:01:15.440]  在第一堂宴講得很清楚
[00:01:15.440 --> 00:01:16.960]  耶穌叫我們去
[00:01:16.960 --> 00:01:19.880]  要將萬民成爲祂的門徒
[00:01:19.880 --> 00:01:21.440]  當然裏面會包括
[00:01:21.440 --> 00:01:25.720]  我們要將他們帶到十字架的九因裏面
[00:01:25.720 --> 00:01:26.920]  讓他們去認識
[00:01:26.920 --> 00:01:28.520]  讓他們相信
[00:01:28.520 --> 00:01:29.760]  然後去受詔
[00:01:29.760 --> 00:01:31.560]  正式加入教會這個步驟
[00:01:31.560 --> 00:01:33.200]  這是第一個層次
[00:01:33.200 --> 00:01:34.640]  第二個層次最重要的就是
[00:01:34.640 --> 00:01:38.120]  我們要將上帝的話語同樣教導他們
[00:01:38.120 --> 00:01:40.600]  讓他們都能夠繼續遵守
[00:01:40.600 --> 00:01:41.960]  好像我們一樣
[00:01:41.960 --> 00:01:43.440]  所以如果有印象的
[00:01:43.440 --> 00:01:44.640]  你有聽到的話
[00:01:44.640 --> 00:01:45.880]  你應該記得這張powerpoint
[00:01:45.880 --> 00:01:47.240]  我只是抄出來的
[00:01:47.240 --> 00:01:49.720]  門徒第一堂的定義就是提醒我們
[00:01:49.720 --> 00:01:51.040]  是一個歷程來的
[00:01:51.040 --> 00:01:53.760]  由我們開始很頭腦上去認識九因
[00:01:53.760 --> 00:01:55.760]  講得上帝的愛真的很好
[00:01:55.760 --> 00:01:58.080]  我認識主 我接受主
[00:01:58.080 --> 00:02:00.240]  但當中就要進入第二個層次
[00:02:00.240 --> 00:02:01.800]  我們就會被上帝的愛
[00:02:01.800 --> 00:02:03.240]  被上帝的話語
[00:02:03.240 --> 00:02:05.320]  真真正正進入我們的心裏面
[00:02:05.320 --> 00:02:07.560]  慢慢慢慢去改變我們
[00:02:07.560 --> 00:02:11.320]  以至我們會去到一個很重要的目的地
[00:02:11.320 --> 00:02:13.920]  就是我們立志去毀身
[00:02:13.920 --> 00:02:15.080]  和耶穌基督一樣
[00:02:15.080 --> 00:02:16.880]  做耶穌基督想做的事
[00:02:16.880 --> 00:02:18.960]  就是成爲主的門徒
[00:02:18.960 --> 00:02:20.760]  在上個星期裏面
[00:02:20.760 --> 00:02:23.480]  我們都是加深繼續講這個題目的
[00:02:23.480 --> 00:02:26.080]  甚至我們看出了一幅圖的樣子
[00:02:26.080 --> 00:02:28.800]  在這幅圖裏面有一個很大的提醒
[00:02:28.800 --> 00:02:29.640]  和旁邊的人講
[00:02:29.640 --> 00:02:33.840]  其實建立生命是包括你自己的生命的
[00:02:33.840 --> 00:02:35.520]  不只是說我們建立別人的生命
[00:02:35.520 --> 00:02:38.600]  其實建立生命是我們自己承載的一個歷程
[00:02:38.600 --> 00:02:41.600]  我們都應該爲自己去想一下
[00:02:41.600 --> 00:02:44.280]  究竟我是上了主一年 兩年 三年 四年
[00:02:44.280 --> 00:02:46.680]  我今天的光景和五年後的光景
[00:02:46.680 --> 00:02:48.880]  是不是有沒有不同呢
[00:02:48.880 --> 00:02:50.320]  上個星期當然很精彩
[00:02:50.320 --> 00:02:53.760]  這本書的圖對我們有一個很好的討論
[00:02:53.760 --> 00:02:54.880]  在小組裏面
[00:02:54.880 --> 00:02:56.960]  我有幸回了兩個小組
[00:02:56.960 --> 00:02:59.560]  在公會聽完其他的彙報的時候
[00:02:59.560 --> 00:03:01.800]  發現我們教的小組有些特色
[00:03:01.800 --> 00:03:02.800]  特色是什麼呢
[00:03:02.800 --> 00:03:04.600]  大部分人的分享
[00:03:04.600 --> 00:03:08.600]  他都說他們是嬰兒和小孩子
[00:03:08.600 --> 00:03:09.120]  是不是
[00:03:09.120 --> 00:03:10.440]  你的組是這樣嗎
[00:03:10.440 --> 00:03:12.240]  你很開心 你會說笑詞
[00:03:12.240 --> 00:03:13.720]  我們聽到就很閉眼
[00:03:13.720 --> 00:03:15.440]  原來我們在搞幼稚園
[00:03:15.440 --> 00:03:18.080]  還是沒有老師的幼稚園
[00:03:18.080 --> 00:03:20.840]  不怪我們這些小組那麼懶
[00:03:20.840 --> 00:03:25.120]  就是三歲在照顧一歲的阿B在小組裏面
[00:03:25.120 --> 00:03:26.480]  那爲什麼你做組長
