
[00:00:00.000 --> 00:00:02.000]  主持人:弟兄姊妹平安!
[00:00:02.000 --> 00:00:03.200]  弟兄:弟兄姊妹平安!
[00:00:03.200 --> 00:00:10.000]  主持人:我一定不會說弟兄姊妹你們真是該死,只會說你們該死罷了!
[00:00:10.000 --> 00:00:15.000]  主持人:在你心目中,什麼人不應該得著上帝的恩典呢?
[00:00:15.000 --> 00:00:29.000]  弟兄:若拿有他的一個批判,他批判的是上帝!
[00:00:29.000 --> 00:00:37.000]  主持人:因為當上帝叫他去到尼尼美城去傳教的時候,
[00:00:37.000 --> 00:00:41.000]  主持人:他走了都抓我回來!
[00:00:41.000 --> 00:00:45.000]  主持人:好啦!我聽話去做啦!
[00:00:45.000 --> 00:00:51.000]  主持人:那裡的人真是迴轉了!
[00:00:51.000 --> 00:01:01.000]  主持人:正經就形容上帝收回成命,沒有毀滅這個大城!
[00:01:01.000 --> 00:01:05.000]  主持人:若拿應該歡天喜地的!
[00:01:05.000 --> 00:01:15.000]  主持人:如果我們現在去到華府村其中一座樓房那裡去傳福音,
[00:01:15.000 --> 00:01:21.000]  主持人:傳座大廈非常多人信耶穌!
[00:01:21.000 --> 00:01:30.000]  主持人:你又怎可能像若拿那樣大大不悅且甚發怒呢?第一節這樣說!
[00:01:30.000 --> 00:01:41.000]  主持人:我們從若拿的禱告了解一下這位先知究竟發著什麼脾氣!
[00:01:41.000 --> 00:01:55.000]  主持人:其實第四章可以說是若拿書一個最高潮迭起一套劇的一個部份!
[00:01:55.000 --> 00:02:04.000]  主持人:在四章二節說若拿祈禱,其實根本就不是祈禱!
[00:02:04.000 --> 00:02:13.000]  主持人:接近在罵耶和華,但可能要稍多解釋我們才明白!
[00:02:13.000 --> 00:02:20.000]  主持人:我們一起來再讀一次若拿書四章第二和第三節,
[00:02:20.000 --> 00:02:32.000]  主持人:這裡是很重要的理據若拿他不滿的地方!
[00:02:32.000 --> 00:02:34.000]  主持人:第一節我們一起讀,準備起!
[00:03:03.000 --> 00:03:11.000]  主持人:若拿的宣告首先是用了舊約,可能出現過大概三次雷同的經文!
[00:03:11.000 --> 00:03:22.000]  主持人:其實這裡是一般以色列人都知道的道理來的!
[00:03:22.000 --> 00:03:28.000]  主持人:你信耶穌大概都會知道的了!
[00:03:30.000 --> 00:03:33.000]  主持人:就是這個上帝是一個有恩典有憐憫的上帝!
[00:03:33.000 --> 00:03:39.000]  主持人:不會這麼容易生氣,有豐盛的慈愛!
[00:03:39.000 --> 00:03:48.000]  主持人:這個這麼基本這麼簡單,上帝的屬性居然是若拿發脾氣的理由!
[00:03:48.000 --> 00:03:55.000]  主持人:你不覺得很特別的嗎?
[00:03:57.000 --> 00:04:00.000]  主持人:上帝叫若拿去審判你你們!
[00:04:00.000 --> 00:04:06.000]  主持人:宣佈你們四十天之內迴轉死定了!
[00:04:06.000 --> 00:04:12.000]  主持人:若拿不去可能有兩個理由!
[00:04:12.000 --> 00:04:19.000]  主持人:在之前三次講道裡面講過了!
