
[00:00:00.000 --> 00:00:10.000]  主持人:兄弟姐妹早安,再一次非常開心能夠有機會分享神的話語。
[00:00:10.000 --> 00:00:20.000]  主持人:今天讀這段經文的時候,是《路加福音》第八章。
[00:00:20.000 --> 00:00:27.000]  主持人:很多時候留意《路加福音》第八章,一去到第八章的時候,大家的注意力是去到殺種的比喻。
[00:00:27.000 --> 00:00:32.000]  主持人:很多時候我們看《路加福音》第八章,一來到這裡,大家就來到殺種的比喻。
[00:00:32.000 --> 00:00:37.000]  主持人:很少會比較留意第八章的頭三節。
[00:00:37.000 --> 00:00:40.000]  主持人:很少去留意第八章的頭三節。
[00:00:40.000 --> 00:00:43.000]  主持人:我自己特別喜歡路加。
[00:00:43.000 --> 00:00:45.000]  主持人:我自己特別喜歡路加。
[00:00:45.000 --> 00:00:48.000]  主持人:因為他是醫生,我有點偏心。
[00:00:48.000 --> 00:00:51.000]  主持人:因為他是醫生,我有點偏心。
[00:00:51.000 --> 00:01:00.000]  主持人:但是留意到路加很喜歡記載一些其他福音書裡面沒有記載或者特別留意的人物。
[00:01:00.000 --> 00:01:06.000]  主持人:路加很願意記載其他的福音書裡面沒有記載或者沒有特別留意的人物。
[00:01:06.000 --> 00:01:10.000]  主持人:路加很願意記載其他的福音書裡面沒有記載或者沒有特別留意的人物。
[00:01:10.000 --> 00:01:13.000]  主持人:這裡記載耶穌周遊各城各鄉去傳道。
[00:01:13.000 --> 00:01:17.000]  主持人:這裡記載耶穌周遊各城各鄉去傳道。
[00:01:17.000 --> 00:01:21.000]  主持人:很明顯講到有十二個門徒,我們知道他們是誰。
[00:01:21.000 --> 00:01:25.000]  主持人:但是路加特別記載除了十二個門徒之外,
[00:01:25.000 --> 00:01:31.000]  主持人:你留意有其他可能我們忽略了一些跟從耶穌、服侍耶穌的人。
[00:01:31.000 --> 00:01:32.000]  主持人:你留意有其他可能我們忽略了一些跟從耶穌、服侍耶穌的人。
