
[00:00:00.000 --> 00:00:06.360]  今天是母親節,祝大家做母親的能夠開開心心
[00:00:06.360 --> 00:00:12.280]  不知道大家有沒有聽過人說,如果爸爸不開心就沒人在乎
[00:00:12.280 --> 00:00:15.960]  如果媽媽不開心,全家都不快樂
[00:00:15.960 --> 00:00:18.440]  不知道大家同不同意這個說法
[00:00:18.440 --> 00:00:23.840]  無論如何,我覺得我們應該讓我們的媽媽快樂
[00:00:23.840 --> 00:00:27.200]  因爲事實上做媽媽那些,爲了他們的家
[00:00:27.200 --> 00:00:30.040]  特別是爲了我們的下一代,爲了我們的小朋友
[00:00:30.040 --> 00:00:32.480]  是付出了很多很多的
[00:00:32.480 --> 00:00:36.640]  有人曾經做過一個估計,我不知道怎麼算出來的
[00:00:36.640 --> 00:00:40.000]  一個孩子,誕生在一個家庭裏面
[00:00:40.000 --> 00:00:45.000]  由出生到18歲,做媽媽增加了多少工作呢?
[00:00:45.000 --> 00:00:49.840]  由0歲到18歲,大概增加了2萬小時
[00:00:49.840 --> 00:00:53.720]  相等於每一年有3個月的優限時間
[00:00:53.720 --> 00:00:56.720]  就是爲了這位小朋友的緣故,一句話
[00:00:56.720 --> 00:00:59.280]  就要加添很多的負擔
[00:00:59.280 --> 00:01:02.440]  這個還沒計算,怎麼照顧其他家人
[00:01:02.440 --> 00:01:06.560]  還有很多的家母,老人家那些都沒計算在內
[00:01:06.560 --> 00:01:11.080]  如果你再生多幾個的話,那就更加不得了
[00:01:11.080 --> 00:01:14.280]  其實呢,你稍微這樣聽一聽
[00:01:14.280 --> 00:01:17.400]  你平時可能沒留意,但是想一想就發覺
[00:01:17.400 --> 00:01:19.520]  其實做媽媽都挺辛苦的
[00:01:19.520 --> 00:01:22.040]  你沒結婚那些不用怕的
[00:01:22.040 --> 00:01:24.640]  爲什麼呢?雖然辛苦而已
[00:01:24.640 --> 00:01:27.520]  但是呢,他們都毫無怨言的
[00:01:27.520 --> 00:01:32.000]  原因是,雖然辛苦,但是一見到自己的孩子開心快樂
[00:01:32.000 --> 00:01:34.360]  一見到家人開心快樂
[00:01:34.360 --> 00:01:37.880]  特別見到他們面上的笑容
[00:01:37.880 --> 00:01:41.680]  他們所有的辛苦,立刻忘記一乾二淨
[00:01:41.680 --> 00:01:46.760]  而且會繼續積極努力地照顧他們和服侍他們
[00:01:46.760 --> 00:01:51.320]  我已經忘記了,不過現在因爲我兒子和媳婦搬回來住
[00:01:51.320 --> 00:01:57.400]  我又再次有機會去見證這個美麗的圖片
[00:01:57.400 --> 00:02:02.040]  我的媳婦做護士,晚上回來就很累了
[00:02:02.040 --> 00:02:05.640]  但是一見到我們的孫子孫女笑的時候
[00:02:05.640 --> 00:02:08.200]  整個人就精神奕奕的
[00:02:08.200 --> 00:02:10.440]  所以你說是多奇妙呢
[00:02:10.440 --> 00:02:16.520]  爲什麼我們那些做父母親的,特別是做媽媽的
[00:02:16.520 --> 00:02:22.360]  能夠有這種心情態度,甚至有這種能耐
[00:02:22.360 --> 00:02:26.240]  去照顧和幫助孩子呢
[00:02:26.240 --> 00:02:30.440]  我相信除了是,中國人也說,美國人也這樣說
[00:02:30.440 --> 00:02:36.400]  做母親是天職來的,是神給予的責任
[00:02:36.400 --> 00:02:38.800]  但如果單單是一個職責的話
[00:02:38.800 --> 00:02:43.960]  那你的責任就會很重,很辛苦,哇,膽子相當重
[00:02:43.960 --> 00:02:49.200]  但我相信除了他覺得,這是天職,我爭取出來的
[00:02:49.200 --> 00:02:52.200]  除此之外,更加重要的是什麼呢
[00:02:52.200 --> 00:02:55.600]  是由於他對孩子的愛
[00:02:55.600 --> 00:02:58.200]  所以今天我和大家所分享的
[00:02:58.200 --> 00:03:01.120]  不單單是希望能夠honor我們的父母親
[00:03:01.120 --> 00:03:02.960]  我特別想從另一個角度
[00:03:02.960 --> 00:03:06.720]  既然我們這麼愛我們的孩子,這麼關心我們的下一代的時候
[00:03:06.720 --> 00:03:09.560]  我想鼓勵大家,特別是我們當中的媽媽
[00:03:09.560 --> 00:03:11.120]  如果真的愛他們的時候
[00:03:11.120 --> 00:03:16.080]  不單單要不怕辛苦地去照顧他們,去服侍他們
[00:03:16.080 --> 00:03:18.640]  我更加希望今天能夠鼓勵大家
[00:03:18.640 --> 00:03:23.600]  是要學習去建立他們,和裝備他們
[00:03:23.600 --> 00:03:25.840]  讓我們的下一代,讓我們的子女
[00:03:25.840 --> 00:03:29.440]  可以成爲一個可以祝福人,可以貢獻社會
[00:03:29.440 --> 00:03:35.440]  特別是可以幫助建立天國,屬天國道的一個這樣的人
[00:03:35.440 --> 00:03:39.080]  有一個哲學家,Ralph Waldo Emerson
