
[00:00:00.000 --> 00:00:08.520]  今天講道的題目叫「把握時機在今天」
[00:00:08.520 --> 00:00:12.560]  「把握時機」有些人上過了
[00:00:12.560 --> 00:00:14.600]  你們上過沒有?
[00:00:14.600 --> 00:00:18.480]  「把握時機」是一個宣教課程
[00:00:18.480 --> 00:00:21.280]  也有青少年版 也有成人版
[00:00:21.280 --> 00:00:25.800]  不過我今天不是想跟你講那個宣教課程
[00:00:25.800 --> 00:00:34.600]  我今天想跟大家分享 就是我們今天要把握神給我們的時機
[00:00:34.600 --> 00:00:37.000]  神給我們甚麼時機呢?
[00:00:37.000 --> 00:00:39.200]  神就給我們有生命
[00:00:39.200 --> 00:00:42.600]  神就給我們在人生這個段落的時候
[00:00:42.600 --> 00:00:47.440]  有一些東西是我們要重視的東西
[00:00:47.440 --> 00:00:51.560]  好了 我們怎樣去明白呢?
[00:00:51.560 --> 00:00:55.160]  我們最重要是看看聖經怎麼說
[00:00:55.160 --> 00:00:58.400]  我們就打開…不是打開
[00:00:58.400 --> 00:00:59.800]  你有著聖經就打開
[00:00:59.800 --> 00:01:06.320]  沒有的話 我們就看《已忽所書》第五章十五到十七節
[00:01:06.320 --> 00:01:10.920]  我們看到了 我們一起讀這三節聖經
[00:01:10.920 --> 00:01:12.320]  預備起
[00:01:12.320 --> 00:01:18.720]  「你們要謹慎行事,不要像愚昧人,當像智慧人。」
[00:01:18.720 --> 00:01:23.440]  「要愛惜光陰,因為現今的世代邪惡。」
[00:01:23.440 --> 00:01:28.640]  「不要作糊塗人,要明白主的旨意如何。」
[00:01:28.640 --> 00:01:33.080]  我再讀一次這段經文就用和合本修訂版
[00:01:33.080 --> 00:01:39.000]  你留意一下這兩段經文有甚麼不同的用字
[00:01:39.000 --> 00:01:46.120]  「你們要謹慎行事,不要像無知的人,要像智慧的人。」
[00:01:46.120 --> 00:01:50.720]  「要把握時機,因為現今的世代邪惡。」
[00:01:50.720 --> 00:01:56.800]  「不要作糊塗人,要明白主的旨意如何。」
[00:01:56.800 --> 00:02:01.920]  有甚麼地方兩個版本有不同的?
[00:02:01.920 --> 00:02:06.160]  大家好像很客氣
