
[00:00:00.000 --> 00:00:04.000]  好 今日繼續同大家分享聖經神的話語
[00:00:04.000 --> 00:00:07.000]  今日同大家是講這個
[00:00:07.000 --> 00:00:12.000]  哥倫多前書第十三章的一段呢
[00:00:12.000 --> 00:00:15.000]  是愛篇 我叫做《恆愛》
[00:00:15.000 --> 00:00:18.000]  真係好啱個《恆愛》
[00:00:18.000 --> 00:00:20.000]  英文叫《Agape》
[00:00:20.000 --> 00:00:25.000]  其實在1984年11月10號
[00:00:25.000 --> 00:00:28.000]  我就在多倫多開了一間基督教書局
[00:00:28.000 --> 00:00:30.000]  叫做《恆愛書室》
[00:00:30.000 --> 00:00:32.000]  《恆愛書局》《恆愛書室》
[00:00:32.000 --> 00:00:33.000]  《Agape Bookstore》
[00:00:33.000 --> 00:00:35.000]  我都提過 係咪呀
[00:00:35.000 --> 00:00:38.000]  其實個陣時我改個名做《恆愛》呢
[00:00:38.000 --> 00:00:42.000]  當然係同《Agape》呢個字有關係啦 係咪呀
[00:00:42.000 --> 00:00:47.000]  但係個陣時我冇好細心去研究過呢段經文
[00:00:47.000 --> 00:00:53.000]  咁如果你講一間書局叫做《神愛書室》呢
[00:00:53.000 --> 00:00:55.000]  咁好似好特別呀
[00:00:55.000 --> 00:00:59.000]  因為我做法呢 就係唔信嘅人都可以入得嚟㗎
[00:00:59.000 --> 00:01:03.000]  我賣好多文具呀 影印服務呀 成
[00:01:03.000 --> 00:01:05.000]  我讓嗰啲唔信嘅人入到嚟呢
[00:01:05.000 --> 00:01:08.000]  佢哋都會見到有啲聖經呀 書呀
[00:01:08.000 --> 00:01:10.000]  或者我可以有機會同佢傾下計㗎
[00:01:10.000 --> 00:01:11.000]  呢個係我心
[00:01:11.000 --> 00:01:15.000]  所以呢我又冇諗住寫叫做《神愛書室》喎
[00:01:15.000 --> 00:01:19.000]  但我個陣時都冇研究過呢個《Agape》呢個字呢
[00:01:19.000 --> 00:01:23.000]  係一個恆愛個恆字呀 永恆個恆字呀
[00:01:23.000 --> 00:01:26.000]  咁所以我睇返呢個題目呢
[00:01:26.000 --> 00:01:30.000]  嗰陣時唔知點解會改咗做恆愛喎
[00:01:30.000 --> 00:01:34.000]  如果你改《神愛》又驚嗰啲唔信嘅人唔敢入嚟啦
[00:01:34.000 --> 00:01:36.000]  依家咩嚟㗎 神愛咁呀
[00:01:36.000 --> 00:01:42.000]  咁但係如果講愛書室又好似好怪㗎 愛書室咁呀
[00:01:42.000 --> 00:01:44.000]  咁點解我會咁講呢 都同大家提過啦
[00:01:44.000 --> 00:01:48.000]  就係因為愛是恆久忍耐嗰第一樣呀
[00:01:48.000 --> 00:01:50.000]  嗰個恆久咪就係恆久囉
[00:01:50.000 --> 00:01:56.000]  而嗰個恆久呢就係真係話好長時間嘅
[00:01:56.000 --> 00:02:00.000]  好恆嘅 永恆嘅嗰種嘅忍耐
[00:02:00.000 --> 00:02:03.000]  即係忍忍忍忍忍忍忍
[00:02:03.000 --> 00:02:06.000]  忍到幾時呀 繼續忍忍忍忍忍忍
[00:02:06.000 --> 00:02:10.000]  咁今日同大家呢係講到第五次啦
[00:02:10.000 --> 00:02:13.000]  就講咩呢 就係不喜歡不義 只喜歡真理
[00:02:13.000 --> 00:02:15.000]  喺個第十三章個第六節
[00:02:15.000 --> 00:02:17.000]  不喜歡不義 只喜歡真理
[00:02:17.000 --> 00:02:20.000]  呢個不義呢個字呢
[00:02:20.000 --> 00:02:22.000]  就係咩意思呢
[00:02:22.000 --> 00:02:25.000]  我哋睇一啲聖經裏面其他嘅經文
[00:02:25.000 --> 00:02:28.000]  我哋就會明白到呢個不義呢一個字眼
[00:02:28.000 --> 00:02:33.000]  大家你手裏面都有程序表都有咗呢個講道嘅筆記
[00:02:33.000 --> 00:02:36.000]  咁所以呢你跟住嗰啲聖經睇呢
[00:02:36.000 --> 00:02:40.000]  咁就容易啲 如果就咁聽我講嘅時候你會miss咗啲嘢㗎
[00:02:40.000 --> 00:02:43.000]  喺一個利未記第十九章第十五節呢
[00:02:43.000 --> 00:02:47.000]  佢話 你們審判嘅時候不可不公正
[00:02:47.000 --> 00:02:50.000]  公義呢同公正呢
[00:02:50.000 --> 00:02:53.000]  我唔會話佢兩個係同一個意思
[00:02:53.000 --> 00:02:56.000]  但係呢係有好接近嘅
[00:02:56.000 --> 00:03:00.000]  如果你用兩個圓圈呢 好多時候我哋話兩個圓圈overlap嘅係咪
[00:03:00.000 --> 00:03:03.000]  咁有一樣嘢呢好有趣㗎喎
[00:03:03.000 --> 00:03:06.000]  不可偏惡貧窮人喎
[00:03:06.000 --> 00:03:11.000]  好多時候人係咪會欺負嗰啲無權無勢嗰啲人㗎係咪呀
[00:03:11.000 --> 00:03:14.000]  弱者嘛 係咪會畀人欺負
[00:03:14.000 --> 00:03:17.000]  但係佢呢度呢 公義係點呀
[00:03:17.000 --> 00:03:20.000]  唔好偏惡喎 貧窮人喎
[00:03:20.000 --> 00:03:23.000]  唔好因為佢貧窮 你就偏幫佢
[00:03:23.000 --> 00:03:26.000]  譬如有一個貧窮人同一個有錢人
[00:03:26.000 --> 00:03:29.000]  嚟到法官面前 法官見到呢一個
[00:03:29.000 --> 00:03:32.000]  嘩 衣衫藍柳
[00:03:32.000 --> 00:03:35.000]  連律師都請唔起
[00:03:35.000 --> 00:03:38.000]  自己嚟自辯 嘩呢個呢 犀利啦
[00:03:38.000 --> 00:03:41.000]  有勞師萊斯車佢嚟
[00:03:41.000 --> 00:03:44.000]  三個律師陪住佢嚟 你話 法官一眼就望得到
[00:03:44.000 --> 00:03:47.000]  邊個係有錢人 邊個係貧窮人啦係咪呀
[00:03:47.000 --> 00:03:50.000]  從外表都睇到啦應該
[00:03:50.000 --> 00:03:53.000]  再加上呢個有錢人呢 係城中四大首富之一
[00:03:53.000 --> 00:03:56.000]  佢點會唔識佢呀 係咪呀
[00:03:56.000 --> 00:03:59.000]  所有啲咩佳佳呀 咩惠惠呀
[00:03:59.000 --> 00:04:02.000]  乜乜呀 萬萬呀嗰啲 全部都有份嘅
[00:04:02.000 --> 00:04:05.000]  你住邊度呢
[00:04:05.000 --> 00:04:08.000]  個區都有份嘅 呢個邊個嚟㗎
[00:04:08.000 --> 00:04:11.000]  報上命來 都唔知係邊個
[00:04:11.000 --> 00:04:14.000]  但係佢作為一個
[00:04:14.000 --> 00:04:17.000]  公道公義嘅法官呢
[00:04:17.000 --> 00:04:20.000]  佢判斷嘅時候 佢仍然係唔可以
[00:04:20.000 --> 00:04:23.000]  偏護貧窮人喎 當然
[00:04:23.000 --> 00:04:26.000]  另外一方面 也不可看重有權勢人嘅念
[00:04:26.000 --> 00:04:29.000]  總要公平審判你嘅倫者
[00:04:29.000 --> 00:04:32.000]  所以呢 不義呢樣嘢呢
[00:04:32.000 --> 00:04:35.000]  神嘅愛裡面嚟講呢 神就係示愛
[00:04:35.000 --> 00:04:38.000]  神呢 係唔會偏袒貧窮人嘅
[00:04:38.000 --> 00:04:41.000]  因為佢係有罪 都係一樣係要受懲罰
[00:04:41.000 --> 00:04:44.000]  當然 富有人 當佢
[00:04:44.000 --> 00:04:47.000]  無罪嘅時候 佢一樣係要釋放佢
[00:04:47.000 --> 00:04:50.000]  唔會因為佢有錢 就諗住你一定係欺負人啦
[00:04:50.000 --> 00:04:53.000]  咁樣 咁呢個呢 就係嗰個愛
[00:04:53.000 --> 00:04:56.000]  神嘅愛 係不喜歡不義
[00:04:56.000 --> 00:04:59.000]  此篇92篇第15節 佢話 愛顯明耀
[00:04:59.000 --> 00:05:02.000]  愛是正直嘅 佢係我嘅盤石 在他
[00:05:02.000 --> 00:05:05.000]  毫無不義 所以呢 不義
[00:05:05.000 --> 00:05:08.000]  同正直呢 又有一個關係喺度
[00:05:08.000 --> 00:05:11.000]  做人呢 係要行得正 企得正
[00:05:11.000 --> 00:05:14.000]  我哋好緊要一樣嘢呢
[00:05:14.000 --> 00:05:17.000]  就係 作為我哋一個 作為一個基督徒
[00:05:17.000 --> 00:05:20.000]  作為一個牧者 我哋成日講
[00:05:20.000 --> 00:05:23.000]  聖經 要應該點做點做 唔好
[00:05:23.000 --> 00:05:26.000]  點做點做 好容易呢
[00:05:26.000 --> 00:05:29.000]  我哋呢 就變成自己呢 係犯咗一個咩問題呀
[00:05:29.000 --> 00:05:32.000]  就係 自義呀
[00:05:32.000 --> 00:05:35.000]  最近呢 我有機會同一個猶太人 傾計喎
[00:05:35.000 --> 00:05:38.000]  不過呢個猶太人呢 佢就唔係嗰啲
