
[00:00:00.000 --> 00:00:04.400]  現在開始一個新的講道系列
[00:00:04.400 --> 00:00:09.040]  這個系列的題目叫救救這地
[00:00:09.040 --> 00:00:13.560]  也有訂閱者看到這個題目就異常興奮
[00:00:13.560 --> 00:00:17.200]  等了這麼久終於等到教會講環保的系列
[00:00:17.200 --> 00:00:18.560]  你想多了
[00:00:18.560 --> 00:00:21.800]  救救這地指的不是救救這地球
[00:00:21.800 --> 00:00:24.280]  是指救救地球人
[00:00:24.280 --> 00:00:27.360]  我不想你懷著興奮的心情來失望而歸
[00:00:27.360 --> 00:00:31.480]  我以為今天要討論如何處理這個廢棄垃圾站的問題
[00:00:31.480 --> 00:00:33.400]  結果都不談這件事
[00:00:33.400 --> 00:00:36.400]  是救救這地 只是救救地球人
[00:00:36.400 --> 00:00:40.520]  我記得在我們短宣隊訓練的時候
[00:00:40.520 --> 00:00:45.040]  有一次我鼓勵大家去建立自己的祈禱生活的時候
[00:00:45.040 --> 00:00:46.640]  都有提過
[00:00:46.640 --> 00:00:50.200]  我自己在祈禱當中經常都會用主禱文
[00:00:50.200 --> 00:00:53.360]  主禱文裡面說今天的飲食 今日伺給我
[00:00:53.360 --> 00:00:57.920]  背後已經引用了這個祈禱應該是每天做的
[00:00:57.920 --> 00:01:02.520]  每天做的祈禱裡面有一句就是願神的國光臨
[00:01:02.520 --> 00:01:06.640]  願祂的旨意能夠行在地上如同行在天上
[00:01:06.640 --> 00:01:10.680]  你知道如果不用祈禱都必然會發生的事
[00:01:10.680 --> 00:01:12.400]  主耶穌不會叫你祈禱
[00:01:12.400 --> 00:01:16.240]  所以主耶穌不會叫你每天祈禱太陽從東邊升起
[00:01:16.240 --> 00:01:20.040]  這些不祈禱都必然發生就不會浪費時間祈禱了
[00:01:20.040 --> 00:01:22.480]  之所以叫我們每天都祈禱
[00:01:22.480 --> 00:01:26.280]  願祢的旨意行在地上如同行在天上
[00:01:26.280 --> 00:01:29.360]  換句話說 今天不是所有事發生
[00:01:29.360 --> 00:01:32.480]  神的旨意都必然行在地上
[00:01:32.480 --> 00:01:35.520]  暢通無阻好像行在天上一樣
[00:01:35.520 --> 00:01:36.480]  是不會的
[00:01:36.480 --> 00:01:39.480]  有些什麼效應槍擊案 無辜者受害
[00:01:39.480 --> 00:01:41.640]  這些一定不是神的旨意
[00:01:41.640 --> 00:01:45.880]  所以我們要祈禱 希望神的旨意可以行在地上
[00:01:45.880 --> 00:01:48.880]  暢通無阻地 好像在天上一樣
[00:01:48.880 --> 00:01:51.760]  這件事不是必然的 必然發生就不用祈禱
[00:01:51.760 --> 00:01:54.520]  因為不是必然的 所以每天我們要祈禱
[00:01:54.520 --> 00:01:57.720]  所以今天我們所說的題目 第一課
[00:01:57.720 --> 00:02:01.400]  我們先看看什麼是天父的旨意
[00:02:01.400 --> 00:02:05.360]  天父的意念 祂的心意是什麼
[00:02:05.360 --> 00:02:09.080]  有時候我們未必明白天父的心意
[00:02:09.080 --> 00:02:12.240]  有時候我做主督文的時候都會反省說
[00:02:12.240 --> 00:02:15.200]  我每天都祈禱 神的旨意行在地上
[00:02:15.200 --> 00:02:18.200]  其實我明不明白祂的旨意是什麼
[00:02:18.200 --> 00:02:20.680]  到底祂的心意是什麼
