
[00:00:00.000 --> 00:00:02.640]  我們很快地讀了整段經文
[00:00:02.640 --> 00:00:04.200]  至少我們有這個概念
[00:00:04.200 --> 00:00:07.560]  我相信很多基督徒對這段經文都很熟悉
[00:00:07.560 --> 00:00:09.320]  特別當我們讀聖經的時候
[00:00:09.320 --> 00:00:10.680]  一開始是讀《創世紀》
[00:00:10.680 --> 00:00:12.600]  後來我們才能出埃及
[00:00:12.600 --> 00:00:15.240]  所以這一段我們應該是很熟悉的
[00:00:15.240 --> 00:00:18.160]  但我們要先了解一些背景
[00:00:18.160 --> 00:00:20.400]  我想提醒弟兄姊妹
[00:00:20.400 --> 00:00:23.000]  祈禱不只是向神求的
[00:00:23.000 --> 00:00:24.840]  我們透過禱告
[00:00:24.840 --> 00:00:26.920]  去明白神的心意
[00:00:26.920 --> 00:00:28.640]  透過與神的交往
[00:00:28.640 --> 00:00:31.400]  我們建立與神一個更深的關係
[00:00:31.400 --> 00:00:33.400]  以致我們明白神的心意
[00:00:33.400 --> 00:00:35.920]  就可以餵著很多東西
[00:00:35.920 --> 00:00:38.080]  來再去呼求神
[00:00:38.080 --> 00:00:41.520]  阿伯拉罕與神有一個很密切的關係
[00:00:41.520 --> 00:00:45.240]  神刻意地用肉身向祂顯現
[00:00:45.240 --> 00:00:46.720]  聖經裡面記載
[00:00:46.720 --> 00:00:48.960]  阿伯拉罕在自己的帳篷前面
[00:00:48.960 --> 00:00:50.040]  來帶祂休息
[00:00:50.040 --> 00:00:53.440]  遠遠見到有三個外來的人
[00:00:53.440 --> 00:00:56.400]  祂很熱切、很友善地
[00:00:56.400 --> 00:00:59.360]  招呼這三個來賓
[00:00:59.360 --> 00:01:00.960]  聖經裡面記載
[00:01:00.960 --> 00:01:03.680]  祂為他們擺設了筵席
[00:01:03.680 --> 00:01:05.680]  還要為他們洗腳
[00:01:05.680 --> 00:01:07.280]  這絕不簡單
[00:01:07.280 --> 00:01:11.480]  在第十八章第八節裡面記載
[00:01:11.480 --> 00:01:13.960]  阿伯拉罕餵著這群人
[00:01:13.960 --> 00:01:15.880]  擺設了食物
[00:01:15.880 --> 00:01:17.880]  然後站在他們身邊
[00:01:17.880 --> 00:01:19.800]  好像一個僕人一樣
[00:01:19.800 --> 00:01:21.600]  來服侍他們
[00:01:21.600 --> 00:01:24.240]  聖經在新約裡面記載
[00:01:24.240 --> 00:01:25.480]  他們接待這三個人
[00:01:25.480 --> 00:01:26.920]  誰知道是接待了神
[00:01:26.920 --> 00:01:29.320]  神接著來祝福他們
[00:01:29.320 --> 00:01:31.560]  「雖然你的妻子年紀已經老
[00:01:31.560 --> 00:01:33.480]  但你會老來得子
[00:01:33.480 --> 00:01:36.160]  而且你的子孫、你的後裔
