
[00:00:00.000 --> 00:00:03.280]  今天我們來到《仕途行傳》第20章
[00:00:03.280 --> 00:00:06.480]  是記載仕途保羅
[00:00:06.480 --> 00:00:08.880]  他幾次宣教行程?
[00:00:08.880 --> 00:00:14.020]  第三次,第三次即是他最後一次宣教行程
[00:00:14.020 --> 00:00:16.020]  最後一個階段
[00:00:16.020 --> 00:00:20.480]  剛剛好,我們走過路,大家又回來
[00:00:20.480 --> 00:00:25.160]  然後進入第三次宣教行程最後的階段
[00:00:25.160 --> 00:00:31.160]  有學者指出,接下來從第21章開始,第20章尾
[00:00:31.160 --> 00:00:34.160]  一直到《仕途行傳》的結束,第28章
[00:00:34.160 --> 00:00:37.160]  大概有三分一的篇幅,整本《仕途行傳》
[00:00:37.160 --> 00:00:40.160]  記載保羅最後回到耶路撒冷
[00:00:40.160 --> 00:00:45.160]  然後被審、被抓,然後他上訴該殺
[00:00:45.160 --> 00:00:48.160]  所以去羅馬的行程
[00:00:48.160 --> 00:00:53.160]  這個可以說是他人生最後在《仕途行傳》記載的最後一部分
[00:00:53.160 --> 00:00:56.160]  我們下一次就會進入這個部分
[00:00:56.160 --> 00:01:02.160]  今天我們來到第三次旅程的最後階段
[00:01:02.160 --> 00:01:09.160]  可以說是很配合我們今次《仕途行傳》的行程
[00:01:09.160 --> 00:01:13.160]  因爲在這個旅程裏,他去過三個重要的省
[00:01:13.160 --> 00:01:19.160]  就是當時羅馬政府將這些地方分配成不同的省份
[00:01:19.160 --> 00:01:23.160]  保羅的侍功主要集中在這三個省份
[00:01:23.160 --> 00:01:27.160]  就是這些亞細亞省,就是小亞細亞這個地方
[00:01:27.160 --> 00:01:31.160]  就是現在亞洲土耳其這個地方
[00:01:31.160 --> 00:01:36.160]  然後他去馬其頓和亞該亞省
[00:01:36.160 --> 00:01:39.160]  就是希臘這兩個重要的省份
[00:01:39.160 --> 00:01:49.160]  所以他的侍功在這20張記載中都是去這些他曾經到訪過的
[00:01:49.160 --> 00:01:52.160]  也曾經建立過教會的地方
[00:01:52.160 --> 00:01:57.160]  就是馬其頓、亞該亞和亞細亞省這些宣教的工廠
[00:01:57.160 --> 00:02:02.160]  在這個記載裏面,這個題目叫做「辭別再上路」
[00:02:02.160 --> 00:02:06.160]  就是說他一站完了又去一站,一站完了又去一站
[00:02:06.160 --> 00:02:10.160]  辭別又再上路,辭別又再上路
[00:02:10.160 --> 00:02:16.160]  在透過這個事件當中有寶貴的信息讓我們去領受
[00:02:16.160 --> 00:02:25.160]  當然我們剛剛這兩個禮拜有接近30位弟兄姊妹一起
[00:02:25.160 --> 00:02:29.160]  我們真是一站又一站,一站又一站,一站又一站
[00:02:29.160 --> 00:02:31.160]  辭別又再上路,辭別又再上路
[00:02:31.160 --> 00:02:33.160]  非常緊密的行程
[00:02:33.160 --> 00:02:38.160]  感謝弟兄姊妹你們的代討,我們都能夠平安回來
[00:02:38.160 --> 00:02:40.160]  沒有斷手斷腳
[00:02:40.160 --> 00:02:44.160]  因爲真的有斷腳
[00:02:44.160 --> 00:02:47.160]  因爲另外一團跟我們一起去的
[00:02:47.160 --> 00:02:51.160]  有一個姿體在看教會參加我們國語堂的行程
[00:02:51.160 --> 00:02:55.160]  他真的頂着腳要進醫院,然後提早回來
[00:02:55.160 --> 00:02:59.160]  另外也有一位姿體是我們國語堂的
[00:02:59.160 --> 00:03:01.160]  因爲家裏忽然間有急事
[00:03:01.160 --> 00:03:04.160]  所以他也中斷行程要回來
[00:03:04.160 --> 00:03:07.160]  所以我們能夠平安回來,完路程
[00:03:07.160 --> 00:03:09.160]  沒有病沒有痛
[00:03:09.160 --> 00:03:11.160]  雖然有些小毛病
[00:03:11.160 --> 00:03:13.160]  有些弟兄姊妹有些小毛病
[00:03:13.160 --> 00:03:17.160]  有些腸胃不適,有些腳有事,痛,有些跌倒
[00:03:17.160 --> 00:03:20.160]  有些傷風感冒
[00:03:20.160 --> 00:03:25.160]  但是神保守,很快康復,一切平安
[00:03:25.160 --> 00:03:27.160]  沒有不見行李
[00:03:27.160 --> 00:03:32.160]  所以每個人都能夠平安回來,平安回來
[00:03:32.160 --> 00:03:34.160]  感謝弟兄姊妹你們的代討
[00:03:34.160 --> 00:03:36.160]  感謝上帝的保守
[00:03:36.160 --> 00:03:43.160]  所以我們的行程非常豐富
[00:03:43.160 --> 00:03:47.160]  我自己已經拍了大概1500張照片
[00:03:47.160 --> 00:03:51.160]  但是不及魏長老三分一
[00:03:51.160 --> 00:03:54.160]  因爲他拍了4500張
[00:03:55.160 --> 00:03:58.160]  如果你們看照片,就找他吧
[00:03:58.160 --> 00:04:01.160]  加上其他弟兄姊妹自己拍的
[00:04:01.160 --> 00:04:03.160]  起碼有一兩萬張
[00:04:03.160 --> 00:04:07.160]  因爲實際上我們去了很多很多不同的地方
[00:04:07.160 --> 00:04:10.160]  有很多很多很寶貴的經歷
[00:04:10.160 --> 00:04:12.160]  也有很多很多學習
[00:04:12.160 --> 00:04:15.160]  所以我們感謝神
[00:04:15.160 --> 00:04:17.160]  上一次,大家記得
[00:04:17.160 --> 00:04:20.160]  保羅第三次宣告行程主要在哪裏嗎?
[00:04:20.160 --> 00:04:23.160]  記不記得?一個月前都忘記了
[00:04:24.160 --> 00:04:26.160]  第二次主要在哥倫多
[00:04:26.160 --> 00:04:28.160]  哥倫多有一年半的時間
[00:04:28.160 --> 00:04:30.160]  差不多多一倍的時間
[00:04:30.160 --> 00:04:32.160]  就是第三次宣告行程
[00:04:32.160 --> 00:04:34.160]  這個地方在哪裏?
[00:04:34.160 --> 00:04:35.160]  爾弗所
[00:04:35.160 --> 00:04:37.160]  去過頂尖梅一定有很深的印象
[00:04:37.160 --> 00:04:41.160]  爾弗所,今天我們也是來說
[00:04:41.160 --> 00:04:43.160]  因爲接着下去說
[00:04:43.160 --> 00:04:45.160]  所以保羅就在爾弗所
[00:04:45.160 --> 00:04:47.160]  然後他就再上路
