
[00:00:00.000 --> 00:00:06.440]  各位姐妹 我們來到思想我們今年的使命宣言
[00:00:06.440 --> 00:00:09.640]  即是我們新的使命宣言 第三堂
[00:00:09.640 --> 00:00:15.080]  我們夢召是為了甚麼
[00:00:15.080 --> 00:00:22.160]  「歡欣敬拜真神 喜愛進從聖經 樂以服務鄰舍」
[00:00:22.160 --> 00:00:23.560]  好 先到這裏
[00:00:23.560 --> 00:00:27.240]  每次我們加少少 即是樂以服務鄰舍
[00:00:27.240 --> 00:00:31.240]  今日我們就是思想樂以服務鄰舍的訊息
[00:00:31.240 --> 00:00:34.880]  我記得 不知道是去年還是前年
[00:00:34.880 --> 00:00:39.600]  在國慶裏面 我看電視看見胡錦濤
[00:00:39.600 --> 00:00:44.880]  在閱兵儀式裏面跟那些解放軍說
[00:00:44.880 --> 00:00:46.680]  「同志們好」
[00:00:46.680 --> 00:00:52.080]  接著那些解放軍就說「首長好」
[00:00:52.080 --> 00:00:55.760]  接著「同志們辛苦了」
[00:00:55.760 --> 00:01:01.040]  接著我問問大家 接著那句是甚麼
[00:01:01.040 --> 00:01:03.880]  「為人民服務」
[00:01:03.880 --> 00:01:08.800]  我說得不好 他們很有氣勢地說出這句
[00:01:08.800 --> 00:01:12.480]  那段時間我都很震撼
[00:01:12.480 --> 00:01:15.960]  幾年前我去北京的時候
[00:01:15.960 --> 00:01:20.560]  我去一些伏黑品 即是一些文革時期的伏黑品
[00:01:20.560 --> 00:01:25.400]  我們看見那些朗口瓶 即是那些唐瓷的朗口瓶 洗面盤
[00:01:25.400 --> 00:01:29.280]  寒衣 或者書包 很多都印著這句
[00:01:29.280 --> 00:01:33.440]  「為人民服務」 你不信你上網看看 很多這些
[00:01:33.440 --> 00:01:39.840]  其實中共那些政治宣傳的策略是很有效的
[00:01:39.840 --> 00:01:42.400]  有些人都說他們沒有甚麼
[00:01:42.400 --> 00:01:44.520]  不要這樣說
[00:01:44.520 --> 00:01:49.480]  他們很厲害的其中一樣就是政治宣傳
[00:01:49.480 --> 00:01:51.320]  我們香港人看見這些口號的時候
[00:01:51.320 --> 00:01:53.560]  有時我們都會問一個問題
[00:01:53.560 --> 00:01:59.040]  究竟這些是他們的口號 還是真是他們所做的呢
[00:01:59.040 --> 00:02:09.200]  當然 我自己都很相信早期很多有志的青年
[00:02:09.200 --> 00:02:12.440]  他們都是真的立志為人民服務
[00:02:12.440 --> 00:02:18.280]  但經過了歲月 時間 或者生命的一些洗禮
[00:02:18.280 --> 00:02:23.080]  究竟今天有多少人仍然堅持為人民服務
[00:02:23.080 --> 00:02:27.320]  很多人反而是向錢看
[00:02:27.320 --> 00:02:31.280]  不過我們也不要經常看別人的筆事
[00:02:31.280 --> 00:02:33.240]  我們不要只看矛頭指向人
[00:02:33.240 --> 00:02:34.800]  我們有時都會問一下
[00:02:34.800 --> 00:02:36.920]  作為基督教風成生命堂
[00:02:36.920 --> 00:02:39.880]  我們家裏每一員的成員
[00:02:39.880 --> 00:02:46.000]  我們使命宣言裏面有「樂意服務鄰舍」
[00:02:46.000 --> 00:02:48.120]  這句話並不是新的 我記得
[00:02:48.120 --> 00:02:52.720]  其實我們小組化教會十幾二十年間
[00:02:52.720 --> 00:02:57.160]  我們都繼續秉承這句使命宣言
[00:02:57.160 --> 00:03:02.080]  我們將這句使命宣言交由一些有心有力的人去做
[00:03:02.080 --> 00:03:06.760]  或者甚至是交由我們的社會服務機構 家庭中心去做
[00:03:06.760 --> 00:03:14.400]  還是我們真是在我們生命裏面擁抱這句使命呢
[00:03:14.400 --> 00:03:18.360]  其實我們今天生活在大都市的每一個信徒
[00:03:18.360 --> 00:03:23.600]  我們有沒有這樣去實踐我們的信仰和生活
[00:03:23.600 --> 00:03:26.080]  在我們生命裏面流動的血液
[00:03:26.080 --> 00:03:32.480]  有沒有這種基督服侍人的香氣在裏面呢
[00:03:32.480 --> 00:03:36.280]  我們基督徒樂意服務鄰舍並不是像世人那樣看
[00:03:36.280 --> 00:03:40.080]  只是一種社會的義務或者社會的行為
[00:03:40.080 --> 00:03:42.240]  甚至有些經濟學家會說
[00:03:42.240 --> 00:03:46.160]  其實從來不會有免費的服務的
[00:03:46.160 --> 00:03:49.560]  世界沒有一種叫免費午餐
[00:03:49.560 --> 00:03:53.960]  因為當你看見服務人很快樂的時候
[00:03:53.960 --> 00:03:56.160]  你自己都感染到這份快樂
[00:03:56.160 --> 00:03:59.760]  從而有一種幫助人
[00:03:59.760 --> 00:04:03.840]  一種受助者之間一種微妙的優越感
[00:04:03.840 --> 00:04:06.000]  因為我幫到人
[00:04:06.000 --> 00:04:09.240]  這種互惠互利就是你的獎賞
[00:04:09.240 --> 00:04:11.680]  所以其實不是免費午餐
[00:04:11.680 --> 00:04:15.760]  只不過是一種買賣或者交易的行為
[00:04:15.760 --> 00:04:20.040]  究竟我們今日實踐社會的關懷服務鄰舍
[00:04:20.040 --> 00:04:23.000]  有沒有一份更高的價值和意義呢
[00:04:23.000 --> 00:04:27.320]  如果我們只是視為一種互惠互利的交易
[00:04:27.320 --> 00:04:30.240]  我們是為了平衡我們心裏面
[00:04:30.240 --> 00:04:33.720]  那種中產的心理的安慰劑
[00:04:33.720 --> 00:04:37.360]  我們其實無需太過份的堅持
[00:04:37.360 --> 00:04:41.560]  甚至在這個消費和市場主導的社會裏面
[00:04:41.560 --> 00:04:44.760]  我們只不過是用錢去買一份心理的平衡
[00:04:44.760 --> 00:04:47.520]  買一種產品一種服務
[00:04:47.520 --> 00:04:49.640]  如果這只是一種口號
[00:04:49.640 --> 00:04:52.400]  只是一種教條或者功德
[00:04:52.400 --> 00:04:54.920]  我們甚至可以說方便才去做
[00:04:54.920 --> 00:04:57.960]  或者最重要是做給人看
[00:04:57.960 --> 00:04:59.280]  各位弟兄姊妹
[00:04:59.280 --> 00:05:02.240]  我們今日有沒有更重要的理由
[00:05:02.240 --> 00:05:04.480]  去做這一切的服事呢
[00:05:04.480 --> 00:05:08.240]  其實聖經早在摩西五經當中
[00:05:08.240 --> 00:05:11.840]  已經有非常多關懷社會的條例
[00:05:11.840 --> 00:05:15.920]  甚至有些人叫這些叫做社會福利的條例
[00:05:15.920 --> 00:05:18.400]  當然這些是比較現代化的說法
[00:05:18.400 --> 00:05:22.600]  特別它關顧當時在社會裏面低下階層的需要
[00:05:22.600 --> 00:05:25.360]  特別是一些貧窮寡婦和孤兒
[00:05:25.360 --> 00:05:28.760]  他們會在第七年的安息年裏面
[00:05:28.760 --> 00:05:31.480]  不單止土地會休耕
[00:05:31.480 --> 00:05:36.840]  土地在休耕期間自己都會長東西
[00:05:36.840 --> 00:05:41.560]  如果有些麥生了出來
[00:05:41.560 --> 00:05:44.480]  其實當時這些寡婦、孤兒或者貧窮的人
[00:05:44.480 --> 00:05:47.320]  是可以自由的去取用田間裏面
[00:05:47.320 --> 00:05:50.080]  自由出產的這些農作物
[00:05:50.080 --> 00:05:52.600]  甚至他們就算平時的日子
[00:05:52.600 --> 00:05:54.560]  他們在田的四個角落
[00:05:54.560 --> 00:05:59.080]  他們都會預了一些不收割的農作物
[00:05:59.080 --> 00:06:01.800]  或者有時他們收割的時候掉了在地上
[00:06:01.800 --> 00:06:06.800]  他們都留給這些孤兒、寡婦或者貧窮的人去檢食
[00:06:06.800 --> 00:06:08.920]  我們記得的路德記就是這樣
[00:06:08.920 --> 00:06:11.000]  故事裏面的一件事
[00:06:11.000 --> 00:06:14.840]  路德就是當時一些完全無依無靠的
[00:06:14.840 --> 00:06:17.160]  他的丈夫已經死了的寡婦
[00:06:17.160 --> 00:06:19.640]  他們就靠這些來維生
[00:06:19.640 --> 00:06:21.200]  其實我們看見
[00:06:21.200 --> 00:06:23.640]  上帝在這些摩西律法裏面
[00:06:23.640 --> 00:06:25.920]  已經表達了他對人類
[00:06:25.920 --> 00:06:28.360]  一種很普遍的恩典和愛
[00:06:28.360 --> 00:06:32.560]  他並沒有計較人是不是屬於他
[00:06:32.560 --> 00:06:34.040]  或者是什麼社會的階層
[00:06:34.040 --> 00:06:35.360]  他才去幫助
[00:06:35.360 --> 00:06:38.320]  聖經說上帝洗日頭照好人
[00:06:38.320 --> 00:06:39.600]  也都照打人
[00:06:39.600 --> 00:06:41.200]  降雨給異人
[00:06:41.200 --> 00:06:43.320]  也都降雨給不義的人
[00:06:43.320 --> 00:06:46.920]  猶太人早已經在律法裏面
[00:06:46.920 --> 00:06:51.360]  歸納到上帝這種設計律法的原意
[00:06:51.360 --> 00:06:53.240]  所以他們
[00:06:53.240 --> 00:06:54.120]  也都有一次
[00:06:54.120 --> 00:06:55.440]  有些經學家
[00:06:55.440 --> 00:06:58.920]  律法師去問耶穌
[00:06:58.920 --> 00:07:02.000]  我應該做什麼才可以承受永生呢
[00:07:02.000 --> 00:07:03.640]  當耶穌反問他的時候
[00:07:03.640 --> 00:07:05.320]  他一口已經可以答出
[00:07:05.320 --> 00:07:09.800]  愛神愛人的律法的總綱和原則
[00:07:09.800 --> 00:07:11.680]  或者我們今天就去看一看
[00:07:11.680 --> 00:07:14.600]  這一段很重要的經文的技術
[00:07:14.600 --> 00:07:15.840]  其實這個也是
[00:07:15.840 --> 00:07:17.280]  我們今天基督教信仰裏面
[00:07:17.280 --> 00:07:18.640]  建立社會關懷
[00:07:18.640 --> 00:07:20.160]  愛倫社的教導
[00:07:20.160 --> 00:07:22.640]  一個很重要原則的經文
[00:07:22.640 --> 00:07:24.400]  我們一起揭開今天的經文
[00:07:24.400 --> 00:07:25.760]  《勞教福音》十章
[00:07:25.760 --> 00:07:29.920]  二十五至二十九節
[00:07:29.920 --> 00:07:35.600]  我們找到的時候我們一起重讀二十五節預備起
[00:07:35.600 --> 00:07:38.600]  有一個律法師起來試探耶穌說
[00:07:38.600 --> 00:07:42.600]  夫子我該做什麼才可以承受永生?
[00:07:42.600 --> 00:07:44.200]  耶穌對他說
[00:07:44.200 --> 00:07:48.680]  律法上寫的是什麼?你念的是怎樣呢?
[00:07:48.680 --> 00:07:49.760]  他回答說
[00:07:49.760 --> 00:07:53.400]  你要盡心盡性盡力盡義盡德
[00:07:53.400 --> 00:07:57.440]  愛主你的神又要愛倫社與同自己
[00:07:57.440 --> 00:08:00.400]  耶穌說你的回答是的
[00:08:00.400 --> 00:08:03.400]  你這樣行就必得永生
[00:08:03.400 --> 00:08:06.120]  那人要顯明自己有你
[00:08:06.120 --> 00:08:10.400]  就對耶穌說誰是我的倫社呢?
[00:08:10.400 --> 00:08:12.880]  好讀到這裏暫時讀到這裏
[00:08:12.880 --> 00:08:16.400]  剛才Joey在《大令外敬拜》也提過
[00:08:16.400 --> 00:08:18.160]  其實那裏有兩句話
[00:08:18.160 --> 00:08:19.320]  第一句是說
[00:08:19.320 --> 00:08:23.600]  剛才Joey在《大令外敬拜》也提過
[00:08:23.600 --> 00:08:25.800]  其實那裏是記載在舊約裏面
[00:08:25.800 --> 00:08:27.600]  這裏是記載在新約裏面
[00:08:27.600 --> 00:08:28.600]  都是相同的意思
[00:08:28.600 --> 00:08:31.200]  盡心盡性盡義盡力愛主你的神
[00:08:31.200 --> 00:08:33.800]  愛人如己愛倫社如同自己
[00:08:33.800 --> 00:08:38.600]  每一次耶穌被人問到承受永生問題的時候
