
[00:00:00.000 --> 00:00:02.140]  在開始的時候我們同心禱告
[00:00:02.140 --> 00:00:06.340]  天父我們很感謝祢
[00:00:06.340 --> 00:00:10.280]  我們還有生命可以去敬拜祢
[00:00:10.280 --> 00:00:11.460]  多謝祢
[00:00:11.460 --> 00:00:15.180]  我們還能夠去讀祢的話語
[00:00:15.180 --> 00:00:17.580]  藉著祢的話語被建立
[00:00:17.580 --> 00:00:18.940]  我們多謝祢
[00:00:18.940 --> 00:00:21.380]  我們今天敬拜祢 求祢月立
[00:00:21.380 --> 00:00:22.980]  我們所分享的
[00:00:22.980 --> 00:00:24.680]  求祢幫助我們明白
[00:00:24.680 --> 00:00:26.180]  引導我們的人生
[00:00:26.180 --> 00:00:27.780]  能夠在真理裏面
[00:00:27.780 --> 00:00:29.380]  去彰顯祢的榮耀
[00:00:29.380 --> 00:00:31.680]  讓更多人去認識祢
[00:00:31.680 --> 00:00:32.880]  去榮耀祢
[00:00:32.880 --> 00:00:35.580]  我們今天無論身處教會
[00:00:35.580 --> 00:00:37.980]  職場 家庭 社會
[00:00:37.980 --> 00:00:40.780]  我們都面對很多的問題
[00:00:40.780 --> 00:00:43.580]  求主讓我們堅守真理
[00:00:43.580 --> 00:00:47.580]  在祢裏面尋找盼望和出路
[00:00:47.580 --> 00:00:50.680]  仰望祢奉耶穌基督的聖名
[00:00:50.680 --> 00:00:51.680]  阿們
[00:00:51.680 --> 00:00:55.380]  我想在昨天在元朗
[00:00:55.380 --> 00:00:58.180]  或者上個星期天在元朗發生的事
[00:00:58.180 --> 00:01:00.680]  都令到我們所有人都很不安
[00:01:00.680 --> 00:01:03.480]  我自己 我家庭都很不安
[00:01:03.480 --> 00:01:04.780]  在上個星期天
[00:01:04.780 --> 00:01:06.880]  在元朗發生了的事情之後
[00:01:06.880 --> 00:01:08.680]  去到星期一晚
[00:01:08.680 --> 00:01:10.480]  我太太就提議
[00:01:10.480 --> 00:01:15.080]  我們全家就圍到香港去禱告
[00:01:15.080 --> 00:01:16.580]  我很感恩
[00:01:16.580 --> 00:01:18.780]  我們叫上我兩個兒子
[00:01:18.780 --> 00:01:22.080]  我們一起圍到香港去禱告
[00:01:22.080 --> 00:01:25.580]  但我大兒子忽然彈了一句出來
[00:01:25.580 --> 00:01:28.380]  天父都不聽祈禱
[00:01:28.380 --> 00:01:29.480]  我有些惡言
[00:01:29.480 --> 00:01:31.880]  他忽然說天父都不聽祈禱
[00:01:31.880 --> 00:01:32.780]  我就想一想
[00:01:32.780 --> 00:01:35.480]  是的 我知道在這件事上
[00:01:35.480 --> 00:01:38.280]  他一直都有祈禱
[00:01:38.280 --> 00:01:41.280]  他祈求天父去做一些事情
[00:01:41.280 --> 00:01:43.480]  去幫助香港
[00:01:43.480 --> 00:01:45.480]  但似乎情況的發展
[00:01:45.480 --> 00:01:49.680]  和他的祈禱不是很一致
[00:01:49.680 --> 00:01:53.480]  甚至在他心目中有些背道而馳
[00:01:53.480 --> 00:01:57.480]  令他覺得天父是不聽祈禱
[00:01:57.480 --> 00:01:59.280]  其實我為他問這個問題
[00:01:59.280 --> 00:02:01.080]  我很感恩
[00:02:01.080 --> 00:02:05.880]  他正在走和經歷一條信仰的路
[00:02:05.880 --> 00:02:07.580]  在信仰裏面
[00:02:07.580 --> 00:02:09.580]  我們有疑問
[00:02:09.580 --> 00:02:11.280]  我們有不明白
[00:02:11.280 --> 00:02:12.880]  很正常
[00:02:12.880 --> 00:02:14.880]  我自己也有
[00:02:14.880 --> 00:02:17.780]  我稍稍和天行解釋
[00:02:17.780 --> 00:02:20.280]  就是神有主權
[00:02:20.280 --> 00:02:21.580]  天父是掌管
[00:02:21.580 --> 00:02:23.380]  祂有主權
[00:02:23.380 --> 00:02:24.880]  祈禱不是有求必應
[00:02:24.880 --> 00:02:27.280]  不是你求什麼天父就會答
[00:02:27.280 --> 00:02:31.180]  但我們要學習忍耐和等候
[00:02:31.180 --> 00:02:33.880]  天父的答案一定是最好的
[00:02:33.880 --> 00:02:35.980]  我們要繼續去禱告
[00:02:35.980 --> 00:02:38.280]  所以我為我兒子這個回應
[00:02:38.280 --> 00:02:39.580]  我很感恩
[00:02:39.580 --> 00:02:41.680]  我們一同去經歷
[00:02:41.680 --> 00:02:44.080]  一同去學習
[00:02:44.080 --> 00:02:46.180]  我們很多時候
[00:02:46.180 --> 00:02:50.180]  我們會用我們的經歷
[00:02:50.180 --> 00:02:52.580]  甚至用我們自己的尺
[00:02:52.580 --> 00:02:54.880]  去衡量這個經歷
[00:02:54.880 --> 00:02:57.880]  這樣去詮釋我們的信仰
[00:02:57.880 --> 00:02:59.580]  甚至這樣去認識
[00:02:59.580 --> 00:03:02.080]  我們所相信的神
[00:03:02.080 --> 00:03:05.780]  這樣是很危險很危險
[00:03:05.780 --> 00:03:06.580]  我祈禱
[00:03:06.580 --> 00:03:07.380]  我沒有工作
[00:03:07.380 --> 00:03:08.480]  我失業
[00:03:08.480 --> 00:03:10.880]  我祈禱上帝給我一份工作
[00:03:10.880 --> 00:03:13.380]  等了三個月
[00:03:13.380 --> 00:03:15.080]  半年也沒有
[00:03:15.080 --> 00:03:17.280]  上帝是否不理我
[00:03:17.280 --> 00:03:20.080]  上帝是否愛我
[00:03:20.080 --> 00:03:20.680]  我有病
[00:03:20.680 --> 00:03:21.780]  我祈禱
[00:03:21.780 --> 00:03:23.280]  上帝是否醫治我
[00:03:23.280 --> 00:03:25.280]  甚至有時不醫治
[00:03:25.280 --> 00:03:27.480]  上帝是否愛我
[00:03:27.480 --> 00:03:31.480]  我們面對很多失去與分離
[00:03:31.480 --> 00:03:32.780]  上帝也不聽
[00:03:32.780 --> 00:03:35.080]  事情發展也不是這樣的
[00:03:35.080 --> 00:03:37.680]  上帝你是否在聽我禱告
[00:03:37.680 --> 00:03:40.480]  我們很多時候用我們的經歷
[00:03:40.480 --> 00:03:43.080]  再加上我們自己的尺
[00:03:43.080 --> 00:03:44.780]  去衡量這個經歷
[00:03:44.780 --> 00:03:47.380]  然後去演繹我們的信仰
[00:03:47.380 --> 00:03:49.280]  然後去告訴別人
[00:03:49.280 --> 00:03:51.180]  這個就是這樣的神
[00:03:51.180 --> 00:03:53.280]  是非常非常危險
[00:03:53.280 --> 00:03:55.780]  也是錯誤的
[00:03:55.780 --> 00:03:57.580]  弟兄姊妹在這篇詩篇裏面
[00:03:57.580 --> 00:03:59.780]  詩人同樣有很多經歷
[00:03:59.780 --> 00:04:01.080]  他呼求上帝
[00:04:01.080 --> 00:04:03.180]  他經歷上帝
[00:04:03.180 --> 00:04:04.980]  他這篇詩篇教導我們
[00:04:04.980 --> 00:04:07.280]  可能有些不同的提醒
[00:04:07.280 --> 00:04:09.980]  我們怎樣去反省
[00:04:09.980 --> 00:04:12.380]  去詮釋我們的經歷呢?
[00:04:12.380 --> 00:04:14.580]  我們讓詩人的這篇詩篇
[00:04:14.580 --> 00:04:16.780]  去幫助我們
[00:04:16.780 --> 00:04:19.080]  這個詩人是誰呢?
[00:04:19.080 --> 00:04:22.580]  有學者有估計這個是大衛
[00:04:22.580 --> 00:04:25.980]  因為有可能是神在亞沙隆
[00:04:25.980 --> 00:04:28.380]  去叛變的時候
[00:04:28.380 --> 00:04:30.380]  上帝拯救他
[00:04:30.380 --> 00:04:32.680]  也都因為有些字眼
[00:04:32.680 --> 00:04:34.280]  你的僕人
[00:04:34.280 --> 00:04:36.580]  在你全體百姓面前
[00:04:36.580 --> 00:04:38.580]  這些字眼是傾向
[00:04:38.580 --> 00:04:40.080]  這一首皇室詩
[00:04:40.080 --> 00:04:42.880]  或者有皇室傳統的詩
[00:04:42.880 --> 00:04:45.880]  所以估計這個可能是大衛
[00:04:45.880 --> 00:04:50.780]  不過其實沒有很確實很鮮明的證據
[00:04:50.780 --> 00:04:53.980]  這篇詩篇的作者是誰
[00:04:53.980 --> 00:04:56.080]  但我們可以肯定的一件事
[00:04:56.080 --> 00:04:57.980]  這篇詩篇的作者
[00:04:57.980 --> 00:05:01.480]  是在經歷很大很大的苦難
[00:05:01.480 --> 00:05:05.380]  他呼求神也都經歷很大很大的蒙恩
[00:05:05.380 --> 00:05:08.080]  這個我們可以肯定
[00:05:08.080 --> 00:05:10.680]  詩人經歷什麼的苦難呢?
[00:05:10.680 --> 00:05:13.080]  有估計是疾病
[00:05:13.080 --> 00:05:17.280]  因為如果我們看詩篇的第三、第八、第十五節
[00:05:17.280 --> 00:05:20.780]  都出現「死亡」這個字
[00:05:20.780 --> 00:05:21.880]  可能是疾病
[00:05:21.880 --> 00:05:25.280]  也都可能是一個會引致死亡的危難
[00:05:25.280 --> 00:05:26.780]  其實我們都不太肯定
[00:05:26.780 --> 00:05:30.180]  現在詩人面對一個什麼的苦難
[00:05:30.180 --> 00:05:31.780]  我們很肯定的就是
[00:05:31.780 --> 00:05:33.980]  詩人在面對苦難
[00:05:33.980 --> 00:05:35.380]  我們看一看
[00:05:35.380 --> 00:05:37.780]  詩人去面對苦難
[00:05:37.780 --> 00:05:39.180]  他的經歷
[00:05:39.180 --> 00:05:44.880]  怎樣幫助我們去看我們的信仰
[00:05:44.880 --> 00:05:46.180]  詩人一開始說
[00:05:46.180 --> 00:05:47.980]  我愛耶和華
[00:05:47.980 --> 00:05:50.080]  因為祂聽了我的聲音
[00:05:50.080 --> 00:05:52.080]  和我的懇求
[00:05:52.080 --> 00:05:54.080]  祂既向我質疑
[00:05:54.080 --> 00:05:57.480]  我一生要求告祂
[00:05:57.480 --> 00:05:59.680]  詩人去呼求神
[00:05:59.680 --> 00:06:01.580]  因為他知道神
[00:06:01.580 --> 00:06:03.680]  聽了祂的聲音
[00:06:03.680 --> 00:06:06.080]  聽了這個字的原文
[00:06:06.080 --> 00:06:09.380]  這個動詞是一個未完成式
[00:06:09.380 --> 00:06:10.680]  它的意思就是
[00:06:10.680 --> 00:06:12.580]  神過往聽
[00:06:12.580 --> 00:06:15.680]  神今天會繼續聽
[00:06:15.680 --> 00:06:18.480]  而且神是側耳而聽
[00:06:18.480 --> 00:06:23.180]  神是很細心去聽我們每一個的呼求
[00:06:23.180 --> 00:06:26.880]  所以詩人很放膽向神祈求
[00:06:26.880 --> 00:06:30.680]  他一生都要求告耶和華
[00:06:30.680 --> 00:06:33.880]  他相信神會聽
[00:06:33.880 --> 00:06:37.480]  我們都應該或者我們大部份信耶穌的人
