
[00:00:00.000 --> 00:00:02.520]  可以一齊敬拜不是一件必然的事情
[00:00:02.520 --> 00:00:04.480]  也是一件很好的事情
[00:00:04.480 --> 00:00:06.760]  讓我們知道不是只有我們一個人
[00:00:06.760 --> 00:00:08.960]  孤單一人走這條天路
[00:00:08.960 --> 00:00:10.000]  原來有一群弟兄姊妹
[00:00:10.000 --> 00:00:12.320]  跟我們一齊同心地去敬拜
[00:00:12.320 --> 00:00:14.120]  我知道你們今年的主題是
[00:00:14.120 --> 00:00:18.160]  「進入人群 全主因奔向萬邦正主愛」
[00:00:18.160 --> 00:00:23.080]  我相信你們都很想見證和侍奉神
[00:00:23.080 --> 00:00:25.560]  不過很多時候我們在見證過程裏面
[00:00:25.560 --> 00:00:27.240]  或者侍奉的過程裏面
[00:00:27.240 --> 00:00:29.160]  我們就會很氣餒
[00:00:29.160 --> 00:00:31.400]  很多不完美的事情發生
[00:00:31.400 --> 00:00:33.000]  不是自己不完美
[00:00:33.000 --> 00:00:36.640]  你就覺得旁邊那個跟你一齊侍奉的那個不完美
[00:00:36.640 --> 00:00:38.040]  又或者計劃不完美
[00:00:38.040 --> 00:00:39.600]  又或者環境不完美
[00:00:39.600 --> 00:00:41.840]  以致你經常都想放棄
[00:00:41.840 --> 00:00:44.000]  或者你都覺得很多事情都不行
[00:00:44.000 --> 00:00:46.080]  不如就叫旁邊那個去侍奉
[00:00:46.080 --> 00:00:50.680]  所以我希望透過今天一段經文來彼此思考
[00:00:50.680 --> 00:00:52.880]  不過講一段經文之前
[00:00:52.880 --> 00:00:54.680]  我想講一講一本書
[00:00:54.680 --> 00:00:56.960]  在去年九月有一位同學
[00:00:56.960 --> 00:01:00.320]  有一位同學向我推介一本英文書
[00:01:00.320 --> 00:01:01.160]  英文書名就是
[00:01:01.160 --> 00:01:03.480]  《How to change your life in 30 days》
[00:01:03.480 --> 00:01:04.720]  有沒有人看過這本書
[00:01:04.720 --> 00:01:07.560]  《如何在三十天改變你的人生》
[00:01:07.560 --> 00:01:09.320]  好不好呀這本書名
[00:01:09.320 --> 00:01:11.560]  好呀這本書名挺好聽的
[00:01:11.560 --> 00:01:16.360]  不過印刷商印錯了一個英文字母
[00:01:16.360 --> 00:01:20.920]  就是life那個L就改了做W
[00:01:20.920 --> 00:01:22.680]  那大家知道是什麼名字了
[00:01:22.680 --> 00:01:26.480]  《How to change your life in 30 days》
[00:01:26.480 --> 00:01:31.080]  因為Life都是一個真實有的字
[00:01:31.080 --> 00:01:33.720]  所以打錯了電腦查不出來
[00:01:33.720 --> 00:01:35.520]  所以就照去照印
[00:01:35.520 --> 00:01:38.840]  印了幾百萬本
[00:01:38.840 --> 00:01:41.840]  《如何在三十天改變你的太太》
[00:01:41.840 --> 00:01:43.600]  這本書就發行了
[00:01:43.600 --> 00:01:45.400]  很不完美吧
[00:01:45.400 --> 00:01:48.600]  這本書賣了二百萬本
[00:01:48.600 --> 00:01:52.720]  嘩原來都挺多人喜歡改變你的太太的
[00:01:52.720 --> 00:01:56.320]  當印刷商發現了這種不完美的事情的時候
[00:01:56.320 --> 00:02:00.000]  他就將W改成L
[00:02:00.000 --> 00:02:02.960]  變成《How to change your life in 30 days》
[00:02:02.960 --> 00:02:06.400]  《如何在三十天改變你的人生》
[00:02:06.400 --> 00:02:09.000]  你猜接下來賣了多少本
[00:02:09.000 --> 00:02:11.520]  一本都賣不出
[00:02:11.520 --> 00:02:14.760]  原來大家都喜歡改變太太多一點
[00:02:14.760 --> 00:02:17.640]  不過這件事好像帶來我們一些反省
[00:02:17.640 --> 00:02:21.000]  好像一件很不完美的事情
[00:02:21.000 --> 00:02:23.880]  不過帶來很好的結果
[00:02:23.880 --> 00:02:27.920]  當我們很勉強按照自己計劃再改變的時候
[00:02:27.920 --> 00:02:31.320]  竟然這本書一點都賣不出
[00:02:31.320 --> 00:02:33.240]  是不是很像我們的時況
[00:02:33.240 --> 00:02:35.600]  我們好像夾雜了一群人
[00:02:35.600 --> 00:02:38.320]  很多不完美的事情
[00:02:38.320 --> 00:02:40.560]  但又好像教會得著發展
[00:02:40.560 --> 00:02:42.240]  福音得著拓展
[00:02:42.240 --> 00:02:46.440]  但當我們勉強要堅持用自己的方法的時候
[00:02:46.440 --> 00:02:49.160]  反而很多事情都做不成
[00:02:49.160 --> 00:02:51.400]  所以今天我選了一段經文
[00:02:51.400 --> 00:02:54.720]  就是《使徒行傳》十五章中間的一段經文
[00:02:54.720 --> 00:02:56.680]  或者中後的一段經文
[00:02:56.680 --> 00:02:59.480]  讓大家一起彼此勉勵
[00:02:59.480 --> 00:03:03.000]  這段經文的前文就說到
[00:03:03.000 --> 00:03:06.400]  使徒在耶路撒冷開了第一次大會
[00:03:06.400 --> 00:03:08.440]  使徒有很多的爭論
[00:03:08.440 --> 00:03:10.240]  尤其是彼得和保羅
[00:03:10.240 --> 00:03:11.920]  他們後來談妥了
[00:03:11.920 --> 00:03:16.000]  於是保羅就決定要重新上路
[00:03:16.000 --> 00:03:18.800]  要向著宣教的旅程進發
[00:03:18.800 --> 00:03:22.080]  作第二次的宣教旅程
[00:03:22.080 --> 00:03:24.840]  我相信很多教會都是這樣
[00:03:24.840 --> 00:03:26.960]  經歷了一些不開心的事情
[00:03:26.960 --> 00:03:28.680]  當一切都解決了
[00:03:28.680 --> 00:03:31.760]  就很想為神拓展福音工作
[00:03:31.760 --> 00:03:32.760]  我自己在加拿大
[00:03:32.760 --> 00:03:35.640]  我們加拿大頭十年來就有很多爭吵
[00:03:35.640 --> 00:03:37.320]  完成了之後 安定了之後
[00:03:37.320 --> 00:03:39.080]  剛剛我去到好像平息了
[00:03:39.080 --> 00:03:41.480]  大家就很想努力地去服事
[00:03:41.480 --> 00:03:45.440]  這段經文就在這個背景下寫成的
[00:03:45.440 --> 00:03:47.160]  這段經文可能大家在靈修
[00:03:47.160 --> 00:03:48.560]  或者看聖經一看就知道
[00:03:48.560 --> 00:03:49.760]  覺得沒有甚麼重要性
[00:03:49.760 --> 00:03:51.720]  不過這段經文對整個使徒行傳
[00:03:51.720 --> 00:03:53.600]  是非常之重要的
[00:03:53.600 --> 00:03:56.120]  不過這段經文很特別的
[00:03:56.120 --> 00:03:57.080]  好像沒甚麼特別的東西
[00:03:57.080 --> 00:03:58.960]  不過它說的東西很特別
[00:03:58.960 --> 00:03:59.920]  譬如第一句
[00:03:59.920 --> 00:04:02.880]  你可以看到一個很特別的環境
[00:04:02.880 --> 00:04:05.520]  是多麼不完美
[00:04:05.520 --> 00:04:06.840]  保羅和巴拿巴說
[00:04:06.840 --> 00:04:09.560]  我們可以回到從前宣傳主導的過程
[00:04:09.560 --> 00:04:12.640]  看看弟兄姊妹的景況如何
[00:04:12.640 --> 00:04:14.600]  我相信當時的時間是春天
