
[00:00:00.000 --> 00:00:03.260]  以上的副省 我們滿心的感謝你 感謝你自己又
[00:00:03.260 --> 00:00:06.780]  給我們新的一天 特別是特別是這個特別的
[00:00:06.780 --> 00:00:10.340]  主日 讓我們能夠一起來到你面前來敬拜
[00:00:10.340 --> 00:00:13.260]  你 歌頌你 讚美你 我們也在這個時候
[00:00:13.260 --> 00:00:16.300]  特別的把我們當中做母親的 都仰望在你的
[00:00:16.300 --> 00:00:19.740]  手中 祝你自己真的是祝福他們 他們過去
[00:00:19.740 --> 00:00:22.060]  所做的事情 祝我們
[00:00:22.060 --> 00:00:24.240]  真的大概也不能講
[00:00:24.240 --> 00:00:27.700]  講不完的 但是呢 祝我們曉得
[00:00:28.420 --> 00:00:31.540]  真的是他們所 他們的辛苦 他們的勞苦
[00:00:31.540 --> 00:00:34.740]  很多時候 只有我們做了父母親之後 我們才
[00:00:34.740 --> 00:00:37.140]  瞭解 祝我們在這裡 我們把他們
[00:00:37.140 --> 00:00:41.100]  都交在你自己的手中 求你自己祝福 我們再一次
[00:00:41.100 --> 00:00:41.280]  的
[00:00:41.280 --> 00:00:44.620]  為著我們今天早上我們在你面前的
[00:00:44.620 --> 00:00:47.980]  崇拜 我們獻上感謝 我們把我們自己的心
[00:00:47.980 --> 00:00:51.740]  交在你自己的手中 真的是像聖經上所說的
[00:00:51.740 --> 00:00:55.260]  我們把我們自己當作活祭 完完全全的獻在
[00:00:55.260 --> 00:00:58.900]  你的手裡 我們謝謝你 禱告奉耶穌基督的聖名
[00:00:58.900 --> 00:00:59.820]  阿們
[00:00:59.820 --> 00:01:02.780]  那麼今天早上我們會用
[00:01:02.780 --> 00:01:04.100]  這個
[00:01:04.100 --> 00:01:05.540]  撒莫爾祭上
[00:01:05.540 --> 00:01:07.140]  我們會
[00:01:07.140 --> 00:01:10.220]  撒莫爾祭上第一章 我們會從第三節
[00:01:10.220 --> 00:01:13.860]  二十八節 其實我們不會去整個念
[00:01:13.860 --> 00:01:14.900]  但是呢
[00:01:14.900 --> 00:01:17.500]  我想這也是我們
[00:01:17.500 --> 00:01:18.740]  我自己
[00:01:18.740 --> 00:01:21.940]  開始想要做一件事情
[00:01:21.940 --> 00:01:24.780]  就是我們用這個所謂的敘述的
[00:01:25.180 --> 00:01:29.060]  這個故事的這些聖經 我們來講 講到
[00:01:29.060 --> 00:01:30.020]  那麼
[00:01:30.020 --> 00:01:31.900]  這個叫做 Narrative
[00:01:31.900 --> 00:01:32.660]  所以呢
[00:01:32.660 --> 00:01:34.980]  這也是我們以後
[00:01:34.980 --> 00:01:37.380]  我們會從
[00:01:37.380 --> 00:01:38.820]  撒莫爾祭
[00:01:38.820 --> 00:01:41.020]  繼續的往後面看
[00:01:41.020 --> 00:01:45.620]  那麼今天我們所要看的 是一開始撒莫爾祭上
[00:01:45.620 --> 00:01:49.820]  如果我們了解舊約的話 我們曉得撒莫爾祭上
[00:01:49.820 --> 00:01:51.100]  前面是哪一本書
[00:01:51.100 --> 00:01:54.340]  路德紀
[00:01:54.900 --> 00:01:55.540]  路德紀
[00:01:55.540 --> 00:01:58.460]  那麼路德紀是一本書介於
[00:01:58.460 --> 00:02:01.260]  四世紀跟撒莫爾祭中間
[00:02:01.260 --> 00:02:03.940]  那麼是一本很小的書 但是卻是一本
[00:02:03.940 --> 00:02:06.100]  很重要的一本書
[00:02:06.100 --> 00:02:08.940]  那麼我們再往前面看的話 就是四世紀
[00:02:08.940 --> 00:02:10.140]  四世紀裡面
[00:02:10.140 --> 00:02:15.500]  充滿了許許多多 我們很多時候沒有辦法想像的一些事情
[00:02:15.500 --> 00:02:17.780]  那麼今天我們希望
[00:02:17.780 --> 00:02:20.940]  藉著這些我們能夠開始 我們看
[00:02:20.940 --> 00:02:23.540]  神怎麼樣帶領這個以色列人
[00:02:24.420 --> 00:02:27.420]  那麼在這一卷書裡面 第一章裡面
[00:02:27.420 --> 00:02:29.660]  有三個重要的人物 一個是
[00:02:29.660 --> 00:02:32.780]  以利加拿 一個是畢尼拿 還有一個是
[00:02:32.780 --> 00:02:33.820]  哈拿
[00:02:33.820 --> 00:02:35.820]  那麼我們從聖經裡面看見
[00:02:35.820 --> 00:02:38.140]  我們知道哈拿是他的原配
[00:02:38.140 --> 00:02:41.460]  我想這可能我們如果從舊社會
[00:02:41.460 --> 00:02:43.300]  我們可以了解這些事情
[00:02:43.300 --> 00:02:46.020]  因為哈拿沒有辦法生子
[00:02:46.020 --> 00:02:47.100]  生子女
[00:02:47.100 --> 00:02:47.900]  所以呢
[00:02:47.900 --> 00:02:49.060]  這個
[00:02:49.060 --> 00:02:52.740]  我想他又娶了一個太太 就是畢尼拿
[00:02:53.060 --> 00:02:57.140]  那麼畢尼拿他為了以利加拿生了許多的子女
[00:02:57.140 --> 00:03:00.420]  那我們從聖經上面看見 我們知道以利加拿呢
[00:03:00.420 --> 00:03:05.100]  這個在第一章第一節 他說以法連三弟的拉瑪索菲
[00:03:05.100 --> 00:03:07.980]  有一個以法連人叫做以利加拿
[00:03:07.980 --> 00:03:09.660]  是蘇福的原孫
[00:03:09.660 --> 00:03:12.540]  玄孫 然後托霍的曾孫
[00:03:12.540 --> 00:03:14.980]  以利霍的孫子 耶羅漢的兒子
[00:03:14.980 --> 00:03:16.700]  我們從這裡我們再回到
[00:03:16.700 --> 00:03:19.980]  再進到歷代誌的時候 我們就會看見
[00:03:19.980 --> 00:03:21.100]  這個
[00:03:21.860 --> 00:03:24.380]  這個以利加拿他是立威人的後代
[00:03:24.380 --> 00:03:26.980]  雖然在這裡稱他是以法連人
[00:03:26.980 --> 00:03:28.940]  因為他是住在以法連的三弟
[00:03:28.940 --> 00:03:30.020]  所以我們曉得
[00:03:30.020 --> 00:03:31.020]  薩姆爾
[00:03:31.020 --> 00:03:33.940]  就是立威人
[00:03:33.940 --> 00:03:35.980]  立威人的後代
[00:03:35.980 --> 00:03:36.620]  那麼
[00:03:36.620 --> 00:03:40.580]  在這裡呢 我們看見以利加拿是一個很進錢的人
[00:03:40.580 --> 00:03:43.140]  他照著神的規定 每年帶他的家人
[00:03:43.140 --> 00:03:45.100]  到世羅 那個時候
[00:03:45.100 --> 00:03:47.940]  因為神的惠目 神的殿在那個地方
[00:03:47.940 --> 00:03:50.540]  那所以他去到那邊之後呢 他就
[00:03:50.780 --> 00:03:53.700]  按照神的吩咐 把所有的祭物都分給家人
[00:03:53.700 --> 00:03:54.220]  這個是你
