
[00:00:00.000 --> 00:00:09.000]  二十七年來,恩福人走過的是一條夢境成真的神跡路。
[00:00:31.000 --> 00:00:38.000]  多年來,在日常教會生活中,排隊是恩福人揮之不去的常態。
[00:00:38.000 --> 00:00:44.000]  人滿知患,被拒長愛的無奈,是恩福人都嘗過的鬱悶。
[00:00:44.000 --> 00:00:48.000]  不過,這一切全都是因典的變奏。
[00:00:48.000 --> 00:00:53.000]  但是,為著這一切,也叫我們常存虧欠之心。
[00:00:53.000 --> 00:01:00.000]  恩著前人敢於發夢的同時,他們衷心地擺上一切,
[00:01:00.000 --> 00:01:03.000]  以致我們今天能夠享有石果風盈。
[00:01:21.000 --> 00:01:24.000]  今天,恩福人踏著前人的足跡,
[00:01:24.000 --> 00:01:28.000]  期盼神賜給我們能夠回應時代的異象,
[00:01:28.000 --> 00:01:31.000]  敢於為神的家去實現夢想,
[00:01:31.000 --> 00:01:36.000]  承傳使命,為下一代的恩福人再寫新章。
[00:01:36.000 --> 00:01:42.000]  盼望我們都一同回應耶穌基督福音的召命,
[00:01:42.000 --> 00:01:47.000]  相聚元士為出去,一堂多子遍各區,
[00:01:47.000 --> 00:01:52.000]  氣鳴喜刊外增長,齊心滿分逐擴張。
[00:02:17.000 --> 00:02:20.000]  在我們成長的時候,我經常在想,
[00:02:20.000 --> 00:02:22.000]  我們需要的是什麼呢?
[00:02:22.000 --> 00:02:26.000]  是更多去看一看我們的缺口,
[00:02:26.000 --> 00:02:29.000]  以致我們可以改善。
[00:02:29.000 --> 00:02:34.000]  少些去數我們做了的事,免得我們自滿。
[00:02:34.000 --> 00:02:40.000]  但另一方面,又多些去感恩,認定一切都是出於神的恩典。
[00:02:40.000 --> 00:02:42.000]  各位親愛的弟兄姊妹,
[00:02:42.000 --> 00:02:49.000]  在今天,我很想給一些數據給大家來留意一下。
[00:02:49.000 --> 00:02:55.000]  我很感謝神教會友弟兄姊妹分析了過去三年來,
[00:02:55.000 --> 00:03:02.000]  我們教會一些增長和負增長的數據。
[00:03:02.000 --> 00:03:08.000]  我們的長青團仍然繼續不斷是我們快速增長的團體,
[00:03:08.000 --> 00:03:10.000]  我們感恩。
[00:03:10.000 --> 00:03:16.000]  雖然每年歸天父的最多是長青團,
[00:03:16.000 --> 00:03:21.000]  但我們加入的人遠比移民的更多,
[00:03:21.000 --> 00:03:23.000]  所以我們感恩。
[00:03:23.000 --> 00:03:28.000]  所以這是我們值得驕傲的團體,
[00:03:28.000 --> 00:03:30.000]  現在加起來已經超過一千人,
[00:03:30.000 --> 00:03:32.000]  在兩個團體當中。
[00:03:32.000 --> 00:03:36.000]  我們的成人範疇仍然是一個增長的團體。
[00:03:36.000 --> 00:03:42.000]  第三,我們的抗禮團,我相信是整個香港教會當中,
[00:03:42.000 --> 00:03:46.000]  是最多人信主和增長最快的抗禮。
[00:03:46.000 --> 00:03:49.000]  我希望大家繼續為這些守望,禱告,
[00:03:49.000 --> 00:03:53.000]  因為我們實在吸引了很多結婚的人,
[00:03:53.000 --> 00:03:57.000]  是新的,未信的,來到我們教會當中。
[00:03:57.000 --> 00:04:04.000]  35歲以上的職青仍然都是有增長的團體,
[00:04:04.000 --> 00:04:07.000]  但是當我看完數據的時候,
[00:04:07.000 --> 00:04:10.000]  感覺到最值得我們憂慮的,
[00:04:10.000 --> 00:04:17.000]  是我們30歲以下至青少年這個群體。
[00:04:17.000 --> 00:04:19.000]  是什麼意思呢?
[00:04:19.000 --> 00:04:25.000]  原來小學我們有千多個小學生,
[00:04:25.000 --> 00:04:27.000]  兒童有千多個,
[00:04:27.000 --> 00:04:29.000]  但一去到中學之後,
[00:04:29.000 --> 00:04:33.000]  我們大概剩下700左右,
[00:04:33.000 --> 00:04:36.000]  但世界上已經比過去進步了很多,
[00:04:36.000 --> 00:04:41.000]  我們很為青少年一群導師和童工感恩,
[00:04:41.000 --> 00:04:44.000]  但是青少年進入大學,
[00:04:44.000 --> 00:04:48.000]  我們發覺到一個令我們深深感覺到,
[00:04:48.000 --> 00:04:51.000]  我們需要更多禱告的地方。
[00:04:51.000 --> 00:04:55.000]  因為由中學700人,一去到大專的時間,
[00:04:55.000 --> 00:04:59.000]  我們剩下的只不過是200多。
[00:04:59.000 --> 00:05:01.000]  我們今天要問一個問題,
[00:05:01.000 --> 00:05:04.000]  到底我們的青少年去了哪裡?
[00:05:04.000 --> 00:05:07.000]  當然有很多留學去了外國,
[00:05:07.000 --> 00:05:09.000]  其實我們有數得計的,
