
[00:00:00.000 --> 00:00:04.000]  仁兄姐妹平安,我們一齊祈禱
[00:00:04.000 --> 00:00:09.000]  我們感謝您的恩典,給我們在諸日的清晨
[00:00:09.000 --> 00:00:14.000]  可以一同聚集來敬拜您,聆聽您自己的華語
[00:00:14.000 --> 00:00:17.000]  我們要求聖靈在這個時間幫助我們
[00:00:17.000 --> 00:00:23.000]  讓我們能夠從您自己的華語中得到智慧
[00:00:23.000 --> 00:00:28.000]  在我們的工作間,能夠實踐您的教導
[00:00:28.000 --> 00:00:33.000]  奉耶穌基督的名祈禱,阿們
[00:00:33.000 --> 00:00:36.000]  教會在一月份定的主題是
[00:00:36.000 --> 00:00:38.000]  Work Methods
[00:00:38.000 --> 00:00:40.000]  中文可以翻譯為
[00:00:40.000 --> 00:00:43.000]  「工作很重要」
[00:00:43.000 --> 00:00:47.000]  工作的重要性不單止是讓我們
[00:00:47.000 --> 00:00:50.000]  可以賺錢,養家活兒
[00:00:50.000 --> 00:00:53.000]  或者有些人只是賣花袋
[00:00:53.000 --> 00:00:59.000]  除了這些之外
[00:00:59.000 --> 00:01:03.000]  事實上,我們一生人的大部分時間
[00:01:03.000 --> 00:01:08.000]  都可以說是花在工作的場所
[00:01:08.000 --> 00:01:10.000]  以我自己為例
[00:01:10.000 --> 00:01:15.000]  我大約十七歲,中學畢業後
[00:01:15.000 --> 00:01:17.000]  就出來社會工作
[00:01:17.000 --> 00:01:20.000]  家庭我每星期工作四十小時
[00:01:20.000 --> 00:01:22.000]  一年五十二個禮拜
[00:01:22.000 --> 00:01:27.000]  人生大約有四分之一的時間
[00:01:27.000 --> 00:01:30.000]  都是花在工作上
[00:01:30.000 --> 00:01:32.000]  因此身為基督徒
[00:01:32.000 --> 00:01:37.000]  如何在工作的場所活出基督的樣式
[00:01:37.000 --> 00:01:40.000]  就很重要
[00:01:40.000 --> 00:01:44.000]  今天我們會從兩段經文來探討
[00:01:44.000 --> 00:01:46.000]  我們在工作場所
[00:01:46.000 --> 00:01:50.000]  可以如何實踐基督徒的生活
