
[00:00:00.000 --> 00:00:07.440]  大家好,我們今天就講完這段時間的最後一次《耶利米蘇》
[00:00:07.440 --> 00:00:10.480]  我們之前也有幾次講到《耶利米蘇》
[00:00:10.480 --> 00:00:14.880]  所以我撿了幾段經文放在一起來思考
[00:00:14.880 --> 00:00:17.480]  勾起我的思考還有一件事情
[00:00:17.480 --> 00:00:21.360]  上兩星期有一位我們教友的兒子
[00:00:21.360 --> 00:00:24.800]  其實他去了台灣做宣教30年了
[00:00:24.800 --> 00:00:26.440]  他是香港人來的
[00:00:26.440 --> 00:00:28.440]  但是他去了台灣宣教
[00:00:28.440 --> 00:00:30.680]  所以形入格台灣人
[00:00:30.680 --> 00:00:32.120]  所以我跟他聊天的時候
[00:00:32.120 --> 00:00:33.880]  他用廣東話跟我聊天
[00:00:33.880 --> 00:00:36.800]  但是他用國語祈禱
[00:00:36.800 --> 00:00:39.680]  我說牧師,你果然有職業病
[00:00:39.680 --> 00:00:42.120]  一祈禱就用國語
[00:00:42.120 --> 00:00:45.880]  我不這麼說他也不太覺得
[00:00:45.880 --> 00:00:48.400]  我分享一下香港最近發生的事情
[00:00:48.400 --> 00:00:49.320]  我也想了解一下
[00:00:49.320 --> 00:00:50.720]  因為他在外地
[00:00:50.720 --> 00:00:52.800]  又深繫香港
[00:00:52.800 --> 00:00:54.680]  講開有一件事情
[00:00:54.680 --> 00:00:56.040]  他也有一個感慨
[00:00:56.040 --> 00:00:58.600]  就是現在香港所發生的
[00:00:58.600 --> 00:01:00.960]  對每一間教會都有不同的爭拗
[00:01:00.960 --> 00:01:04.160]  又會離開教會又會離開群組
[00:01:04.160 --> 00:01:05.680]  其實他說這些事情
[00:01:05.680 --> 00:01:09.320]  在30年前已經在台灣教會發生了
[00:01:09.320 --> 00:01:11.240]  其實我們是遲了30年
[00:01:11.240 --> 00:01:15.400]  他們是藍和綠
[00:01:15.400 --> 00:01:18.360]  藍營和綠營之間的紛爭
[00:01:18.360 --> 00:01:20.360]  在教會裡面出現了30年
[00:01:20.360 --> 00:01:22.040]  但是他說感謝神
[00:01:22.040 --> 00:01:24.240]  其實這10年已經好了很多了
[00:01:24.240 --> 00:01:28.240]  他預計就是說我猜你們香港教會可能要20年
[00:01:28.240 --> 00:01:29.800]  這麼久?
[00:01:29.800 --> 00:01:32.640]  我不知道有沒有命能等到
[00:01:32.640 --> 00:01:35.120]  但是說是需要一點時間的
[00:01:35.120 --> 00:01:41.080]  近這10年基本上教會就不會再因為這些事情而有爭拗
[00:01:41.080 --> 00:01:44.240]  其實不只是教會,是家庭、公司也是的
[00:01:44.240 --> 00:01:48.880]  但是主要是教會快點復原
[00:01:48.880 --> 00:01:51.440]  因為我們都知道我們是天國的子民
[00:01:51.440 --> 00:01:53.720]  這個才是最重要的
[00:01:54.000 --> 00:01:55.760]  其他的是secondary(第二層)
[00:01:55.760 --> 00:02:03.280]  他的感受就是在台灣教會是早了復原的
[00:02:03.280 --> 00:02:06.600]  能夠復原的原因就是我們都看到我們是天國的子民
[00:02:06.600 --> 00:02:07.920]  這個才是primary(第一層)
[00:02:07.920 --> 00:02:09.240]  其他的是secondary(第二層)
[00:02:09.240 --> 00:02:10.400]  就是剛才說過
[00:02:10.400 --> 00:02:13.360]  因為我們覺得我們的身份是天國子民
[00:02:13.360 --> 00:02:14.840]  那些是弟兄姊妹
[00:02:14.840 --> 00:02:18.200]  如果有不同的政治意見那些是第二層而已
[00:02:18.200 --> 00:02:19.680]  所以第二層
[00:02:19.680 --> 00:02:24.280]  我們最重要的是傳到永遠,我們是大家弟兄姊妹
[00:02:24.280 --> 00:02:26.760]  那個才是最primary(第一層)
[00:02:26.760 --> 00:02:27.840]  我們的身份
[00:02:27.840 --> 00:02:29.840]  因為主耶穌的心意是什麼?
[00:02:29.840 --> 00:02:32.080]  是要我們學習彼此相愛
