
[00:00:00.000 --> 00:00:02.200]  出埃及記終於要結束了
[00:00:02.200 --> 00:00:04.680]  要進入約翰福音了
[00:00:04.680 --> 00:00:07.960]  所以我今天就要來分享約翰福音的信息
[00:00:07.960 --> 00:00:10.640]  跟著我們就要進入查約翰福音了
[00:00:10.640 --> 00:00:13.000]  如果小組還在出埃及記
[00:00:13.000 --> 00:00:14.600]  一直出不來的話
[00:00:14.600 --> 00:00:17.200]  要快一點了
[00:00:17.200 --> 00:00:20.600]  那麼當然了
[00:00:20.600 --> 00:00:22.600]  十天更多了
[00:00:22.600 --> 00:00:23.800]  你知道嗎
[00:00:23.800 --> 00:00:26.000]  所以我出埃及記約翰福音
[00:00:26.000 --> 00:00:29.080]  只用一堂今天這個主日
[00:00:29.080 --> 00:00:33.600]  我來分享約翰眼中的耶穌
[00:00:33.600 --> 00:00:37.280]  約翰福音到底是什麼樣的福音
[00:00:37.280 --> 00:00:39.200]  我的題目是叫做
[00:00:39.200 --> 00:00:43.480]  可信 盼望 有愛的福音
[00:00:43.480 --> 00:00:48.480]  因為這是從約翰的角度來看耶穌的
[00:00:48.480 --> 00:00:50.800]  先來講你約翰這個人
[00:00:50.800 --> 00:00:53.800]  我們來講約翰這個人
[00:00:53.800 --> 00:00:58.080]  你知道約翰跟他哥哥雅各
[00:00:58.080 --> 00:01:00.280]  他那時候在跟他的爸爸
[00:01:00.280 --> 00:01:03.400]  叫做西比泰在捕魚
[00:01:03.400 --> 00:01:06.400]  約翰其實家裡面很有錢的
[00:01:06.400 --> 00:01:08.080]  為什麼說他有錢呢
[00:01:08.080 --> 00:01:11.680]  因為聖經上面說呢
[00:01:11.680 --> 00:01:14.200]  當耶穌召他們的時候
[00:01:14.200 --> 00:01:18.680]  約翰就離開了他的父親跟什麼
[00:01:18.680 --> 00:01:20.200]  父親的故宮
[00:01:20.200 --> 00:01:21.800]  他就跟隨了耶穌
[00:01:21.800 --> 00:01:23.880]  表示說他們還有
[00:01:23.880 --> 00:01:26.000]  有故宮幫他們打魚的
[00:01:26.000 --> 00:01:31.480]  他們可能是海產公司 漁業公司等的
[00:01:31.480 --> 00:01:33.680]  所以他是蠻有錢的
[00:01:33.680 --> 00:01:37.200]  那麼約翰的母親呢 薩羅米
[00:01:37.200 --> 00:01:40.200]  也是非常一個進錢的婦人
[00:01:40.200 --> 00:01:43.800]  她是追隨耶穌的婦女之一
[00:01:43.800 --> 00:01:44.880]  耶穌復活的時候
[00:01:44.880 --> 00:01:47.680]  那些婦女都跑去墳墓地去看的時候
[00:01:47.680 --> 00:01:49.000]  有摩大拉的瑪利亞
[00:01:49.000 --> 00:01:50.600]  還有耶穌的母親瑪利亞
[00:01:50.600 --> 00:01:52.600]  還有薩羅米
[00:01:52.600 --> 00:01:56.400]  所以他是一個跟隨耶穌的人
[00:01:56.400 --> 00:02:00.600]  那麼約翰跟安德烈呢
[00:02:00.600 --> 00:02:03.400]  他們以前是跟隨施許約翰的
[00:02:03.400 --> 00:02:06.280]  他們是施許約翰的門徒
[00:02:06.280 --> 00:02:08.200]  約翰福音一章十五十七節
[00:02:08.200 --> 00:02:10.200]  他上面說 這裡還沒有
[00:02:10.200 --> 00:02:13.200]  他說那一天呢
[00:02:13.200 --> 00:02:17.080]  施許約翰同兩個門徒站在那裡
[00:02:17.080 --> 00:02:18.680]  就看到耶穌行走
[00:02:18.680 --> 00:02:22.000]  他就說 看啊 這是神的羔羊
[00:02:22.000 --> 00:02:24.480]  那兩個門徒聽到他說的話
[00:02:24.480 --> 00:02:26.800]  就跟從了耶穌
[00:02:26.800 --> 00:02:29.800]  所以他們本來是施許約翰的門徒
[00:02:29.800 --> 00:02:33.200]  這下子跟隨了耶穌
[00:02:33.200 --> 00:02:38.600]  所以這兩個人成為耶穌的門徒
[00:02:38.600 --> 00:02:41.280]  約翰本身還有他的弟弟
[00:02:41.280 --> 00:02:44.200]  他們本來是脾氣很暴的
[00:02:44.200 --> 00:02:47.080]  是個性不好的
[00:02:47.080 --> 00:02:49.080]  EQ不行的
[00:02:49.080 --> 00:02:52.200]  所以他們的名字有一個外號叫做雷子
[00:02:52.200 --> 00:02:55.000]  表示說像打雷的
[00:02:55.000 --> 00:02:57.200]  那個講起話來罵起人來
[00:02:57.200 --> 00:02:59.400]  是天翻地覆的
[00:02:59.400 --> 00:03:02.280]  所以性子是剛烈的
[00:03:02.280 --> 00:03:05.080]  他曾經有一次啊
[00:03:05.080 --> 00:03:08.800]  有人奉主耶穌基督的名趕鬼啊
[00:03:08.800 --> 00:03:12.080]  他就說 你們不可以奉主耶穌基督趕鬼
[00:03:12.080 --> 00:03:14.600]  你不是耶穌的門徒等等
[00:03:14.600 --> 00:03:16.600]  所以他們是非常的計較
[00:03:16.600 --> 00:03:19.400]  非常剛烈 性子也急的人
[00:03:19.400 --> 00:03:21.400]  又有一次呢
[00:03:21.400 --> 00:03:23.400]  那些村民不歡迎他們
[00:03:23.400 --> 00:03:25.400]  他就要耶穌說
[00:03:25.400 --> 00:03:29.200]  求你從天上分父火降下來把他們燒了
[00:03:29.200 --> 00:03:30.600]  整個村子燒了
[00:03:30.600 --> 00:03:34.200]  所以表示說他是一個性情剛烈的一個人
[00:03:34.200 --> 00:03:37.400]  主當時就責備他說
[00:03:37.400 --> 00:03:40.600]  人子來不是要滅人的生命
[00:03:40.600 --> 00:03:44.600]  乃是要救人的性命 是不是
[00:03:44.600 --> 00:03:48.800]  我們就會看到在約翰的眼中啊
[00:03:48.800 --> 00:03:51.400]  耶穌是一個救人命的神
[00:03:51.400 --> 00:03:54.600]  耶穌給我們信心 給我們盼望
[00:03:54.600 --> 00:03:59.200]  耶穌還滿了愛在我們的身上
[00:03:59.200 --> 00:04:06.000]  約翰看見主的時候
[00:04:06.000 --> 00:04:09.800]  甚至他看到耶穌上十字架
[00:04:09.800 --> 00:04:12.200]  他甚至一看到 耶穌說
[00:04:12.200 --> 00:04:15.600]  求你赦免他們 他們所做的他們不知道
[00:04:15.600 --> 00:04:19.000]  所以他心裡面受到很大的衝擊
[00:04:19.000 --> 00:04:22.600]  而深受感動
[00:04:22.600 --> 00:04:24.000]  在耶穌走了之後
[00:04:24.000 --> 00:04:27.000]  門徒就聚集在馬可樓上
[00:04:27.000 --> 00:04:29.000]  他們一百二十個人開始禱告
[00:04:29.000 --> 00:04:30.400]  結果聖經上面說
[00:04:30.400 --> 00:04:32.600]  這叫做五旬節的經歷
[00:04:32.600 --> 00:04:35.600]  是聖靈如火如風降在他們頭上
[00:04:35.600 --> 00:04:39.400]  門徒使徒們都被聖靈澆灌
