
[00:00:00.000 --> 00:00:04.000]  各位領袖,平安,我們今天看39篇詩篇
[00:00:04.000 --> 00:00:09.000]  這篇詩篇,我不是用識經講道的方法來講
[00:00:09.000 --> 00:00:13.000]  我是用跟大衛對話的形式
[00:00:13.000 --> 00:00:18.000]  讓神透過我跟他對話去牧養他,也同樣牧養你
[00:00:18.000 --> 00:00:21.000]  我現在是跟大衛聊天,因為其實他也在聊天
[00:00:21.000 --> 00:00:23.000]  所以我現在跟他說話
[00:00:23.000 --> 00:00:25.000]  大衛是什麼人來的?
[00:00:25.000 --> 00:00:27.000]  這篇詩篇就是大衛
[00:00:27.000 --> 00:00:30.000]  如果你用紙板,即是有紙本的聖經
[00:00:30.000 --> 00:00:33.000]  寫著「大衛的詩交予靈長耶路頓」
[00:00:33.000 --> 00:00:36.000]  這篇詩講到明,是大衛做皇帝的時候
[00:00:36.000 --> 00:00:39.000]  他寫好這篇詩的時候
[00:00:39.000 --> 00:00:42.000]  交給他的師班長或者音樂總監
[00:00:42.000 --> 00:00:47.000]  然後在他們的文章裡面發放
[00:00:47.000 --> 00:00:49.000]  所以這篇詩篇一定是大衛寫的
[00:00:49.000 --> 00:00:52.000]  你看那些字裏行間的字眼
[00:00:52.000 --> 00:00:55.000]  你都感受到,應該是老老地的時候寫的,對不對?
[00:00:55.000 --> 00:00:57.000]  像不像?老老地的時候講什麼?
[00:00:57.000 --> 00:00:59.000]  年輕人怎麼會講什麼?
[00:00:59.000 --> 00:01:03.000]  年輕人會說自己的人生很短暫
[00:01:03.000 --> 00:01:05.000]  年輕人怎麼會覺得短暫?
[00:01:05.000 --> 00:01:07.000]  覺得有很長一段時間都沒有死
[00:01:07.000 --> 00:01:11.000]  所以這些全部都是很晚期,很後期的時候
[00:01:11.000 --> 00:01:13.000]  他的說話,大衛
[00:01:13.000 --> 00:01:15.000]  我在這裏先講一件事
[00:01:15.000 --> 00:01:17.000]  不知道你喜不喜歡當老闆?
[00:01:17.000 --> 00:01:19.000]  你喜不喜歡當老闆?
[00:01:19.000 --> 00:01:21.000]  喜不喜歡當老闆?
[00:01:21.000 --> 00:01:23.000]  有誰喜歡當老闆?
[00:01:23.000 --> 00:01:25.000]  大家都不喜歡當老闆
[00:01:25.000 --> 00:01:27.000]  堂堂都是這樣,我們太古城的人
[00:01:27.000 --> 00:01:29.000]  每個人都說不喜歡當老闆
[00:01:29.000 --> 00:01:31.000]  但你們多多埋怨說老闆這麼差
[00:01:31.000 --> 00:01:33.000]  不知道怎麼當老闆
[00:01:33.000 --> 00:01:35.000]  只懂彈他,但你又不做
[00:01:35.000 --> 00:01:39.000]  不懂做老闆,但叫你做你又不做
[00:01:39.000 --> 00:01:41.000]  人類就是這樣
[00:01:41.000 --> 00:01:45.000]  這裏大衛是一個皇帝
[00:01:45.000 --> 00:01:48.000]  但你留意他的皇帝都不像皇帝
[00:01:48.000 --> 00:01:50.000]  怎麼做成這樣?
[00:01:50.000 --> 00:01:52.000]  我們做牧者,如果見到大衛
[00:01:52.000 --> 00:01:54.000]  就會去counseling他
[00:01:54.000 --> 00:01:56.000]  要牧養他
[00:01:56.000 --> 00:01:58.000]  怎麼搞成這樣?
[00:01:58.000 --> 00:02:00.000]  你做皇帝做成這樣?
[00:02:00.000 --> 00:02:02.000]  我曾說我要謹慎我的言行
[00:02:02.000 --> 00:02:04.000]  免得我竊頭犯罪
[00:02:04.000 --> 00:02:06.000]  就是很小心說話
[00:02:06.000 --> 00:02:08.000]  做皇帝不是任意說話的嗎?
[00:02:08.000 --> 00:02:10.000]  為什麼要這麼謹慎的言行?
[00:02:10.000 --> 00:02:12.000]  免得我竊頭犯罪?
