
[00:00:00.000 --> 00:00:03.120]  有一位女士 她叫做Ruby Hamilton
[00:00:03.120 --> 00:00:06.920]  大約50歲 是一位商人
[00:00:06.920 --> 00:00:10.320]  和她結了婚32年的丈夫
[00:00:10.320 --> 00:00:15.220]  在一次車禍之中喪失了她的生命
[00:00:15.220 --> 00:00:17.720]  她的憤怒和失望
[00:00:17.720 --> 00:00:23.220]  比悲傷 比痛苦更加深刻不知幾多倍
[00:00:23.220 --> 00:00:27.020]  在20多歲的時候 她已經成為基督徒
[00:00:27.020 --> 00:00:29.820]  一直追隨基督
[00:00:29.820 --> 00:00:34.620]  她一直為丈夫祈禱 盼望他會認識主
[00:00:34.620 --> 00:00:36.720]  有一天 當她祈禱的時候
[00:00:36.720 --> 00:00:41.120]  她感覺到一股平安籠罩著她
[00:00:41.120 --> 00:00:44.520]  那一把微小的聲音確保她
[00:00:44.520 --> 00:00:47.320]  她的丈夫會改變過來
[00:00:47.320 --> 00:00:49.520]  她恩切地等待
[00:00:49.520 --> 00:00:53.620]  她的丈夫交出她自己生命的主權
[00:00:53.620 --> 00:00:59.420]  以主耶穌為主的日子已經是指日可待
[00:00:59.420 --> 00:01:04.420]  而現在竟然是這樣的收場
[00:01:04.420 --> 00:01:08.120]  如果是你 你會怎樣做呢?
[00:01:08.120 --> 00:01:12.820]  信心似乎是甚麼意義都沒有
[00:01:12.820 --> 00:01:17.220]  當上帝似乎沒有接聽你的禱告
[00:01:17.220 --> 00:01:22.420]  又或者沒有打開任何一隻門的時候
[00:01:22.420 --> 00:01:28.120]  Ruby她停止了相信神
[00:01:28.120 --> 00:01:29.920]  另一個場景
[00:01:29.920 --> 00:01:31.920]  退休軍人Roger Simmons
[00:01:31.920 --> 00:01:34.520]  他搭順風車回家的途中
[00:01:34.520 --> 00:01:37.420]  他永遠不會忘記這個日子
[00:01:37.420 --> 00:01:40.020]  5月7日
[00:01:40.020 --> 00:01:43.320]  他沉重的行李令他很累
[00:01:43.320 --> 00:01:49.620]  他恨不得脫下那套厚凸凸的軍服
[00:01:49.620 --> 00:01:51.620]  向著迎面而來的汽車
[00:01:51.620 --> 00:01:54.820]  他豎起帽子 沒有甚麼大的期望
[00:01:54.820 --> 00:01:58.520]  直到他看到那一輛黑色的
[00:01:58.520 --> 00:02:02.720]  時尚的全新房車停下來
[00:02:02.720 --> 00:02:05.820]  他是意外的
[00:02:05.820 --> 00:02:07.520]  聖黑門打開
[00:02:07.520 --> 00:02:09.720]  他跑向那輛車
[00:02:09.720 --> 00:02:12.520]  將行李扔在後座
[00:02:12.520 --> 00:02:18.820]  並且感謝道貌岸然 衣冠楚楚的司機
[00:02:18.820 --> 00:02:21.120]  司機說
[00:02:21.120 --> 00:02:23.020]  如果你打算去芝加哥的話
[00:02:23.020 --> 00:02:25.520]  你真是幸運
[00:02:25.520 --> 00:02:26.520]  我說過
[00:02:26.520 --> 00:02:29.120]  不認識主耶穌的人都會說幸運
[00:02:29.120 --> 00:02:31.220]  都會說幸運
[00:02:31.220 --> 00:02:33.820]  Roger他回答說
[00:02:33.820 --> 00:02:36.520]  沒有想像中那麼遠是吧
[00:02:36.520 --> 00:02:39.120]  你住在芝加哥?
[00:02:39.120 --> 00:02:41.020]  司機說
