
[00:00:00.000 --> 00:00:02.960]  早晨 住內平安
[00:00:02.960 --> 00:00:10.160]  香港人經常說
[00:00:10.160 --> 00:00:13.080]  天跌下來就當被掩蓋
[00:00:13.080 --> 00:00:17.160]  但當天花板跌下來的時候
[00:00:17.160 --> 00:00:19.280]  就不能當被掩蓋了
[00:00:19.280 --> 00:00:22.560]  很難想像在我們的城市
[00:00:22.560 --> 00:00:25.360]  有現代的建築物的天花板
[00:00:25.360 --> 00:00:27.480]  整幅的塔下來
[00:00:28.160 --> 00:00:30.440]  看上去很安全的地方
[00:00:30.440 --> 00:00:33.720]  原來是不堪一擊的
[00:00:33.720 --> 00:00:35.960]  在人生裏
[00:00:35.960 --> 00:00:38.160]  我們都為自己製造了很多
[00:00:38.160 --> 00:00:40.000]  生命的天花板
[00:00:40.000 --> 00:00:44.240]  製造這些天花板來保護我們自己
[00:00:44.240 --> 00:00:47.200]  令自己的生命不用日曬雨淋
[00:00:47.200 --> 00:00:49.640]  我們都努力賺錢
[00:00:49.640 --> 00:00:52.680]  我們都努力成就某些事業
[00:00:52.680 --> 00:00:56.640]  我們又很努力達至某一種成功
[00:00:57.000 --> 00:00:59.440]  這些都是我們製造的天花板
[00:00:59.440 --> 00:01:01.440]  一個生命的天花板
[00:01:01.440 --> 00:01:05.240]  使得我們免受其他人嘲笑
[00:01:05.240 --> 00:01:09.600]  亦使得我們免受社會風雨的欺凌
[00:01:09.600 --> 00:01:13.320]  令我們自己能夠安心
[00:01:13.320 --> 00:01:16.280]  但如何能夠保證
[00:01:16.280 --> 00:01:18.280]  這些生命的天花板
[00:01:18.280 --> 00:01:21.840]  不會一下子跌下來呢?
[00:01:21.840 --> 00:01:24.640]  對於生命的無常
[00:01:25.080 --> 00:01:27.240]  詩人都是很敏感的
[00:01:27.240 --> 00:01:29.480]  今天我們看一篇詩篇
[00:01:29.480 --> 00:01:32.120]  就是今天詩篇的經課
[00:01:32.120 --> 00:01:35.800]  我們看看詩人對於無常的生命
[00:01:35.800 --> 00:01:37.800]  有甚麼特別的洞見
[00:01:37.800 --> 00:01:41.520]  我們看看詩篇第30篇
[00:01:41.520 --> 00:01:43.800]  頂姊妹有聖經的話
[00:01:43.800 --> 00:01:46.800]  請你打開詩篇第30篇
[00:01:46.800 --> 00:01:51.800]  詩篇第30篇
[00:01:51.800 --> 00:01:53.080]  詩人這樣說
[00:01:53.080 --> 00:01:53.880]  第一節
[00:01:54.760 --> 00:01:57.120]  大衛在獻殿的時候
[00:01:57.120 --> 00:01:58.960]  作者詩歌
[00:01:58.960 --> 00:02:02.320]  耶和華,我要尊崇祢
[00:02:02.320 --> 00:02:04.480]  因為祢曾提拔我
[00:02:04.480 --> 00:02:07.280]  不叫仇敵向我誇耀
[00:02:07.280 --> 00:02:10.040]  這個句子可以譯為
[00:02:10.040 --> 00:02:14.160]  不讓仇敵恩聖過我而喜樂
[00:02:14.160 --> 00:02:16.160]  因為它有喜樂這個字
[00:02:16.160 --> 00:02:17.240]  第二節
[00:02:17.240 --> 00:02:18.880]  耶和華,我的神啊
[00:02:18.880 --> 00:02:20.280]  我曾呼求祢
[00:02:20.280 --> 00:02:22.280]  祢醫治了我
[00:02:22.560 --> 00:02:26.760]  耶和華,祢曾把我的靈魂從陰間救上來
[00:02:26.760 --> 00:02:28.160]  使我存活
[00:02:28.160 --> 00:02:30.160]  不至於下坑
[00:02:30.160 --> 00:02:33.000]  下坑即是下到一個深淵
[00:02:33.000 --> 00:02:35.680]  耶和華的聖民啊
[00:02:35.680 --> 00:02:37.680]  你們要歌頌神
[00:02:37.680 --> 00:02:40.440]  稱頌祂可紀念的聖名
[00:02:40.440 --> 00:02:44.280]  因為祂的怒氣不過是轉眼之間
[00:02:44.280 --> 00:02:47.560]  祂的恩典乃是一生之久
[00:02:47.560 --> 00:02:50.200]  一叔雖然有哭泣
