
[00:00:00.000 --> 00:00:06.160]  我們透過約書客第十章約書客的關於戰爭的紀錄
[00:00:06.160 --> 00:00:08.320]  差不多去到尾聲了
[00:00:08.320 --> 00:00:13.020]  有兩場非常之重大的戰爭發生
[00:00:13.020 --> 00:00:17.440]  似乎戰爭的情況是一浪比一浪更加的激烈
[00:00:17.440 --> 00:00:19.760]  透過第十章裡面我們看到
[00:00:19.760 --> 00:00:21.940]  我們的屬靈的高度
[00:00:21.940 --> 00:00:25.020]  決定了我們侍奉的深度
[00:00:25.020 --> 00:00:26.200]  和李嘉仁爹說一聲
[00:00:26.200 --> 00:00:28.200]  你的高度決定了你的深度
[00:00:30.160 --> 00:00:32.000]  在約書客記的第九章裡面
[00:00:32.000 --> 00:00:34.700]  我們看到領袖做錯了決定
[00:00:34.700 --> 00:00:36.280]  一個錯誤的決定
[00:00:36.280 --> 00:00:40.620]  導致到以色列整個的民族差點就瓦解
[00:00:40.620 --> 00:00:42.260]  但是很感恩的
[00:00:42.260 --> 00:00:45.060]  他們捧著一個合而為一的心
[00:00:45.060 --> 00:00:48.980]  能夠去接納這班領袖的錯誤決定
[00:00:48.980 --> 00:00:50.860]  能夠和他們承擔
[00:00:50.860 --> 00:00:55.580]  去實踐了彼此的包容、接納和相愛
[00:00:55.580 --> 00:00:56.820]  合而為一的心
[00:00:56.820 --> 00:00:58.420]  在這裡我想重申
[00:00:58.420 --> 00:01:00.960]  這裡說的不是領袖犯罪
[00:01:00.960 --> 00:01:04.260]  而是在說領袖一個錯誤的決定
[00:01:04.260 --> 00:01:05.660]  是兩回事
[00:01:05.660 --> 00:01:06.780]  我們看到的
[00:01:06.780 --> 00:01:08.220]  這個錯誤的決定
[00:01:08.220 --> 00:01:11.140]  導致到的那種危機
[00:01:11.140 --> 00:01:15.180]  是遠遠比之前亞干犯罪的危機更深
[00:01:15.180 --> 00:01:17.780]  但是很感恩他能夠渡過這個危機
[00:01:17.780 --> 00:01:20.380]  似乎在整個約書客第一章到第九章
[00:01:20.380 --> 00:01:23.140]  還記得我上次講到有一幅圖給大家看到
[00:01:23.140 --> 00:01:24.540]  整個民族的經歷
[00:01:24.540 --> 00:01:26.220]  都是我們人生的經歷
[00:01:26.220 --> 00:01:27.660]  這個人生的經歷就是
[00:01:27.660 --> 00:01:29.820]  似乎人類犯罪之後
[00:01:29.820 --> 00:01:32.140]  我們差不多不能夠逃避的就是
[00:01:32.140 --> 00:01:35.420]  我們是在這個錯誤裏面
[00:01:35.420 --> 00:01:37.380]  學習什麼叫正確
[00:01:37.380 --> 00:01:38.580]  在失敗裏面
[00:01:38.580 --> 00:01:41.180]  我們學習怎樣成功
[00:01:41.180 --> 00:01:46.140]  這個差不多我們不能夠逃脫的一個厄運
[00:01:46.140 --> 00:01:47.340]  正正因為這樣
[00:01:47.340 --> 00:01:50.060]  我們更加需要上帝赦罪的因典
[00:01:50.060 --> 00:01:52.380]  弟兄姊妹彼此相愛
[00:01:52.380 --> 00:01:54.980]  如果現在香港的氣氛
[00:01:54.980 --> 00:01:59.060]  是一種充滿批判、批評、挑剔
[00:01:59.060 --> 00:02:00.460]  這種氣氛的話
[00:02:00.460 --> 00:02:02.860]  不是我們今天信徒想看到的
[00:02:02.860 --> 00:02:06.300]  而今天在教會的精神根本都不是這樣
[00:02:06.300 --> 00:02:07.740]  我們要活出的
[00:02:07.740 --> 00:02:09.740]  是一種明知道
[00:02:09.740 --> 00:02:13.380]  人就是在一個軟弱的情況底下
[00:02:13.380 --> 00:02:15.580]  人就是需要上帝的恩典
[00:02:15.580 --> 00:02:18.460]  人是沒有東西可以誇口
[00:02:18.460 --> 00:02:20.300]  正正因為這樣的情況底下
[00:02:20.300 --> 00:02:21.620]  亞各書就提到
[00:02:21.620 --> 00:02:25.740]  沒有弟兄可以成為另一個弟兄的審判官
[00:02:25.740 --> 00:02:26.980]  如果有的話
[00:02:26.980 --> 00:02:30.700]  他只是一個驕傲的狀態
[00:02:30.700 --> 00:02:33.140]  所以很清楚在這個究竟裏面
[00:02:33.140 --> 00:02:34.580]  約書亞記提到
[00:02:34.580 --> 00:02:38.100]  你和我都必須要在失敗
[00:02:38.100 --> 00:02:41.620]  在軟弱裏面去學習成長
[00:02:41.620 --> 00:02:45.620]  在錯誤當中去學習成長
[00:02:45.620 --> 00:02:47.900]  我們見到第九章和第十章
[00:02:47.900 --> 00:02:50.180]  我們不知道過了多久時間
[00:02:50.180 --> 00:02:54.420]  但我們竟然見到約書亞述明生命是突飛猛進的
[00:02:54.420 --> 00:02:57.500]  一會兒分享內容你會更加清楚見到
[00:02:57.500 --> 00:02:58.900]  而這個突飛猛進
[00:02:58.900 --> 00:03:02.860]  讓約書亞可以向上帝求大事
[00:03:02.860 --> 00:03:06.220]  很多時候我們聽到一些很口號式的說法
[00:03:06.220 --> 00:03:09.140]  我們需要向神求大事
