
[00:00:00.000 --> 00:00:07.880]  過去幾個星期,大家都留意到我們提到的主題是「門徒的締造者」
[00:00:07.880 --> 00:00:09.580]  時間過得很快
[00:00:09.580 --> 00:00:11.980]  今天我們是最後一講
[00:00:11.980 --> 00:00:13.380]  今天的題目是什麼呢?
[00:00:13.380 --> 00:00:15.300]  大家看這個Outline就知道了
[00:00:15.300 --> 00:00:18.080]  「天子的門生」
[00:00:18.080 --> 00:00:20.080]  當我看到這個題目的時候
[00:00:20.080 --> 00:00:22.980]  我第一個就聯想到
[00:00:22.980 --> 00:00:24.980]  天子的門生就是皇帝的兒子
[00:00:24.980 --> 00:00:26.780]  對不起,是皇帝的學生
[00:00:26.780 --> 00:00:27.680]  為什麼呢?
[00:00:27.680 --> 00:00:30.400]  中國人一提到天子的時候
[00:00:30.400 --> 00:00:34.680]  通常我們就是對皇帝的尊稱
[00:00:34.680 --> 00:00:37.680]  接著「天子門生」這四個字
[00:00:37.680 --> 00:00:41.000]  在我腦海裡好像有一點印象
[00:00:41.000 --> 00:00:43.500]  好像在哪裡見過、聽過一樣
[00:00:43.500 --> 00:00:45.000]  現在就簡單了
[00:00:45.000 --> 00:00:47.000]  於是上網Google一下
[00:00:47.000 --> 00:00:51.500]  Google就發覺原來香港1991年有一部電影
[00:00:51.500 --> 00:00:53.500]  叫做「天子門生」
[00:00:53.500 --> 00:00:55.500]  大家有沒有看過呢?
[00:00:55.500 --> 00:00:58.000]  這個「天子門生」這個人你們不認得了
[00:00:58.000 --> 00:01:00.000]  那時候很年輕,這個叫劉德華
[00:01:00.000 --> 00:01:05.500]  大家知不知道這部電影的英文名字叫什麼?
[00:01:05.500 --> 00:01:07.500]  有沒有人知道?
[00:01:07.500 --> 00:01:10.500]  Hong Kong Godfather
[00:01:10.500 --> 00:01:13.500]  就是香港教父
[00:01:13.500 --> 00:01:16.500]  其實這部電影是二十多年前
[00:01:16.500 --> 00:01:21.500]  香港這邊開頭那幾部關於黑道的電影
[00:01:21.500 --> 00:01:28.500]  劉德華就是當那個老大
[00:01:28.500 --> 00:01:31.500]  Godfather的兒子
[00:01:31.500 --> 00:01:35.500]  我相信我們當中
[00:01:35.500 --> 00:01:37.500]  起碼我自己
[00:01:37.500 --> 00:01:39.500]  我很怕當皇帝的學生
[00:01:39.500 --> 00:01:41.500]  為什麼呢?
[00:01:41.500 --> 00:01:44.500]  因為有什麼行差踏錯的話
[00:01:44.500 --> 00:01:49.500]  你知道香港人對皇帝的印象隨時會斬頭
[00:01:49.500 --> 00:01:52.500]  我相信我也很怕
[00:01:52.500 --> 00:01:57.500]  會去做教父的門生
[00:01:57.500 --> 00:01:58.500]  為什麼呢?
[00:01:58.500 --> 00:02:00.500]  因為隨時怕被人追斬
[00:02:00.500 --> 00:02:05.500]  黑社會裡面經常都有這樣的事情發生
[00:02:05.500 --> 00:02:08.500]  不過我相信
[00:02:08.500 --> 00:02:11.500]  我們在教裡面講這個題目的時候
[00:02:11.500 --> 00:02:13.500]  大家可能都會聯想到
[00:02:13.500 --> 00:02:15.500]  我們講天子的門生
[00:02:15.500 --> 00:02:17.500]  天子當然不是講皇帝
[00:02:17.500 --> 00:02:21.500]  而是講上帝的兒子耶穌
[00:02:21.500 --> 00:02:24.500]  所以其實我們是講上帝的兒子
[00:02:24.500 --> 00:02:27.500]  我們成為耶穌基督的門徒
[00:02:27.500 --> 00:02:30.500]  我相信大家會猜到這個意思
[00:02:30.500 --> 00:02:35.500]  我希望大家不要怕做耶穌基督的門生
[00:02:35.500 --> 00:02:37.500]  不要怕做耶穌基督的門徒
[00:02:37.500 --> 00:02:39.500]  好像剛才說過
[00:02:39.500 --> 00:02:41.500]  你會怕做皇帝的學生
[00:02:41.500 --> 00:02:42.500]  起碼我會怕
[00:02:42.500 --> 00:02:43.500]  做黑道老大的門生
[00:02:43.500 --> 00:02:45.500]  我們也會怕
[00:02:45.500 --> 00:02:47.500]  但希望我們做基督徒不需要怕
[00:02:47.500 --> 00:02:49.500]  不需要害怕
[00:02:49.500 --> 00:02:55.500]  事實上我們應該以做耶穌基督的門徒為榮才對
[00:02:55.500 --> 00:02:58.500]  因為耶穌是上帝的兒子
[00:02:58.500 --> 00:03:02.500]  而我們作為學生是不是應該很光榮的一件事呢?
[00:03:02.500 --> 00:03:06.500]  而且雖然是上帝的兒子
[00:03:06.500 --> 00:03:08.500]  上帝是因為愛我們的緣故
[00:03:08.500 --> 00:03:10.500]  因為要拯救我們的緣故
[00:03:10.500 --> 00:03:11.500]  要幫助我們的緣故
[00:03:11.500 --> 00:03:14.500]  才會猜顯耶穌來到我們當中
[00:03:14.500 --> 00:03:16.500]  所以其實祂的動機
[00:03:16.500 --> 00:03:17.500]  要我們做祂的學生
[00:03:17.500 --> 00:03:19.500]  要我們做祂的門徒
[00:03:19.500 --> 00:03:20.500]  是吹耶穌基督的愛
[00:03:20.500 --> 00:03:22.500]  吹天父上帝的愛
[00:03:22.500 --> 00:03:25.500]  所以我們應該不需要害怕
[00:03:25.500 --> 00:03:27.500]  耶穌在世界上的時候
[00:03:27.500 --> 00:03:29.500]  天父猜到世界當中
[00:03:29.500 --> 00:03:32.500]  大家知道跟隨祂的人很多
