
[00:00:00.000 --> 00:00:02.680]  歡迎大家來到我們的「主日崇拜」
[00:00:02.680 --> 00:00:07.740]  上星期我們開始研讀十誡中的第八誡
[00:00:07.740 --> 00:00:09.460]  「不可偷渡」
[00:00:09.460 --> 00:00:11.320]  如果你不認識聖經
[00:00:11.320 --> 00:00:13.620]  你很容易將這個教導
[00:00:13.620 --> 00:00:17.080]  看為一個道德倫理的教條
[00:00:17.080 --> 00:00:21.080]  就是教導我們不要偷、不要搶
[00:00:21.080 --> 00:00:25.960]  要安分守己、要愛倫社、努力工作
[00:00:25.960 --> 00:00:28.680]  然後你就可以得到上帝的祝福
[00:00:28.680 --> 00:00:34.440]  你就可以享受你誠實、勞動的成果
[00:00:34.440 --> 00:00:36.840]  但是當我們進入聖經的時候
[00:00:36.840 --> 00:00:41.600]  當我們嘗試用上帝的角度去明白這條誡命的時候
[00:00:41.600 --> 00:00:47.500]  我們會發現一個非常之不同的圖畫和信息
[00:00:47.500 --> 00:00:53.400]  「不可偷渡」將我們帶回去創世紀第三章的故事
[00:00:53.400 --> 00:00:57.960]  人類歷史裡面的第一宗偷渡事件
[00:00:57.960 --> 00:01:02.340]  這個偷渡罪將使全人類失去上帝
[00:01:02.340 --> 00:01:05.880]  失去喜樂、失去生命
[00:01:05.880 --> 00:01:10.620]  創世紀第三章第四節、五節、六節這樣說
[00:01:10.620 --> 00:01:13.200]  常常對女人說你們不一定死
[00:01:13.200 --> 00:01:16.960]  之前上帝已經說了你們一定死
[00:01:16.960 --> 00:01:18.380]  常常說你不一定死
[00:01:18.380 --> 00:01:20.840]  因為上帝知道你們吃的日子
[00:01:20.840 --> 00:01:22.300]  眼睛就開了
[00:01:22.300 --> 00:01:25.240]  就像上帝一樣知道善惡
[00:01:25.240 --> 00:01:28.040]  不單止不一定死、一定不死
[00:01:28.040 --> 00:01:29.500]  還會好像上帝一樣
[00:01:29.500 --> 00:01:33.280]  於是女人見那棵樹好作食物
[00:01:33.280 --> 00:01:35.040]  又閱人的眼目
[00:01:35.040 --> 00:01:39.240]  那樹令人喜愛、能使人有智慧
[00:01:39.240 --> 00:01:41.420]  她就摘下果子吃了
[00:01:41.420 --> 00:01:44.780]  又給予她一起的丈夫
[00:01:44.780 --> 00:01:47.580]  他也吃了
[00:01:47.580 --> 00:01:49.200]  什麼是偷渡?
[00:01:49.200 --> 00:01:51.960]  看見拿取
[00:01:51.960 --> 00:01:55.380]  就是聖經給我們所看到的偷渡
[00:01:55.380 --> 00:01:56.460]  在這幾節聖經中
[00:01:56.460 --> 00:01:59.580]  我們看到偷渡的四重特質
[00:01:59.580 --> 00:02:02.880]  偷渡有四個不同的特質
[00:02:02.880 --> 00:02:06.120]  我們由最底下慢慢數上去
[00:02:06.120 --> 00:02:07.160]  什麼是偷渡?
[00:02:07.160 --> 00:02:10.160]  偷渡是任意拿取一些東西
[00:02:10.160 --> 00:02:12.840]  是不法拿取一些東西
[00:02:12.840 --> 00:02:13.960]  什麼是偷渡?
[00:02:13.960 --> 00:02:18.340]  偷渡是隨從眼目、隨從私慾
[00:02:18.340 --> 00:02:23.080]  隨從眼目的私慾去拿一些不應該拿的東西
[00:02:23.080 --> 00:02:23.840]  什麼是偷渡?
[00:02:23.840 --> 00:02:25.500]  偷渡是不聽主說
[00:02:25.500 --> 00:02:28.460]  上帝已經說得很清楚
[00:02:28.460 --> 00:02:30.660]  然而你掩耳抗鳴
[00:02:30.660 --> 00:02:31.500]  什麼是偷渡?
[00:02:31.500 --> 00:02:32.800]  不聽主說
[00:02:32.800 --> 00:02:34.960]  隨從眼目的情慾
[00:02:34.960 --> 00:02:38.300]  任意拿取不應該拿的東西
[00:02:38.300 --> 00:02:39.920]  最後什麼是偷渡?
[00:02:39.920 --> 00:02:41.500]  偷渡是叛逆上帝
[00:02:41.500 --> 00:02:44.420]  偷渡是取代上帝的位置
[00:02:44.420 --> 00:02:46.580]  在古代的世界裡面
[00:02:46.580 --> 00:02:48.580]  我想現在一樣是
[00:02:48.580 --> 00:02:50.380]  唯有上帝
[00:02:50.380 --> 00:02:51.680]  唯有那個君王
[00:02:51.680 --> 00:02:55.180]  才可以決定一個國家的律法
[00:02:55.180 --> 00:02:56.420]  什麼是正確
[00:02:56.420 --> 00:02:57.800]  什麼是不正確
[00:02:57.800 --> 00:03:01.300]  當亞當夏娃要去拿上帝
[00:03:01.300 --> 00:03:03.220]  叫他們不能拿的東西的時候
[00:03:03.220 --> 00:03:04.760]  其實他們是叛逆上帝
[00:03:04.760 --> 00:03:09.260]  他們取代了上帝的地位
[00:03:09.260 --> 00:03:13.180]  如果我們要用一幅圖畫來表達第八界
[00:03:13.180 --> 00:03:15.460]  圖畫可以是這樣
[00:03:15.460 --> 00:03:17.380]  各人叛逆上帝
[00:03:17.380 --> 00:03:21.260]  各人不聽上帝的話語
[00:03:21.260 --> 00:03:24.420]  各人行自己眼中看為對的事
[00:03:24.420 --> 00:03:26.680]  因為你要偷渡一定要看
[00:03:26.680 --> 00:03:27.880]  然後去拿
[00:03:27.880 --> 00:03:31.180]  各人行自己眼中看為對的事
[00:03:31.180 --> 00:03:34.960]  這是一個何等可怕的圖畫
[00:03:34.960 --> 00:03:37.380]  當你仔細去閱讀舊約聖經的時候
[00:03:37.380 --> 00:03:38.800]  你會發現
[00:03:38.800 --> 00:03:40.100]  第八界不可偷渡
[00:03:40.100 --> 00:03:45.060]  從創世紀的第三章開始爆發
