
[00:00:00.000 --> 00:00:04.940]  各位好,來到我們這個Edwin,張霖哲我們稱之為
[00:00:04.940 --> 00:00:07.580]  迎接這個聖誕的蒞臨
[00:00:07.580 --> 00:00:11.680]  有一件事就是我們幾個禮拜都會做的,就是點蠟燭
[00:00:11.680 --> 00:00:13.840]  點蠟燭是一個很少的傳統
[00:00:13.840 --> 00:00:16.640]  在教會歷史裡面時常都會做的
[00:00:16.640 --> 00:00:18.400]  就是聖誕節之前那幾個禮拜
[00:00:18.400 --> 00:00:20.200]  每一個禮拜我們點一支蠟燭
[00:00:20.200 --> 00:00:24.240]  這個不是應節這麼簡單
[00:00:24.240 --> 00:00:26.560]  也是告訴我們聖誕節是什麼意思
[00:00:26.560 --> 00:00:28.680]  我們生活很忙的
[00:00:28.960 --> 00:00:32.960]  有時候節日來到的時候,我們才預備
[00:00:32.960 --> 00:00:34.520]  或者甚至不記得
[00:00:34.520 --> 00:00:37.320]  張霖哲就是幫助我們
[00:00:37.320 --> 00:00:40.680]  有幾十天的時間,幾個禮拜去想清楚
[00:00:40.680 --> 00:00:42.760]  到底聖誕節是什麼意思
[00:00:42.760 --> 00:00:44.880]  當你去到聖誕節的時候
[00:00:44.880 --> 00:00:47.640]  或者聖誕節附近的時候,你講Merry Christmas
[00:00:47.640 --> 00:00:51.120]  講聖誕節快樂的時候,到底是什麼意思呢
[00:00:51.120 --> 00:00:54.240]  但有一個問題想問大家,如果你想去
[00:00:54.240 --> 00:00:55.720]  如果有人問你
[00:00:55.720 --> 00:00:57.800]  可能有些人未看過聖經
[00:00:58.240 --> 00:00:59.920]  對聖誕節沒有什麼認識
[00:00:59.920 --> 00:01:03.200]  或者他不知道聖經裡面怎麼講聖誕節
[00:01:03.200 --> 00:01:05.320]  如果用三分鐘跟他解釋
[00:01:05.320 --> 00:01:08.760]  聖誕節是一回什麼事呢,什麼是聖誕節
[00:01:08.760 --> 00:01:09.920]  你會怎麼說
[00:01:09.920 --> 00:01:12.440]  三分鐘
