
[00:00:00.000 --> 00:00:03.700]  好,今日呢係我哋一個好特別嘅講題嘅開始
[00:00:03.700 --> 00:00:05.600]  就係講關於信心
[00:00:05.600 --> 00:00:09.700]  信心就係我哋嚟緊嘅呢一年到我哋嘅主題
[00:00:09.700 --> 00:00:12.800]  今次我哋嘅主題係圍繞個信心嘅對象
[00:00:12.800 --> 00:00:18.000]  就係信心嘅創始者亦都係完成者
[00:00:18.000 --> 00:00:21.000]  今日經文係嚟自希伯來書嘅第十二章嘅第一節
[00:00:21.000 --> 00:00:22.000]  到第二節
[00:00:22.000 --> 00:00:25.000]  我哋不如一齊好慢咁樣讀一讀呢兩節經文
[00:00:25.000 --> 00:00:28.000]  十二章嘅第一節同埋十二章嘅第二節
[00:00:28.000 --> 00:00:29.500]  請讀
[00:00:29.500 --> 00:00:33.000]  我們既有者許多的見證人
[00:00:33.000 --> 00:00:35.000]  如同雲彩圍著我們
[00:00:35.000 --> 00:00:38.000]  就當放下各樣的重擔
[00:00:38.000 --> 00:00:40.500]  脫去容易纏累我們的罪
[00:00:40.500 --> 00:00:42.500]  全心忍耐
[00:00:42.500 --> 00:00:46.000]  奔那擺在我們前頭的路程
[00:00:46.000 --> 00:00:50.000]  仰望為我們信心創始成中的耶穌
[00:00:50.000 --> 00:00:53.500]  他因那擺在前面的喜樂
[00:00:53.500 --> 00:00:55.500]  就輕看羞辱
[00:00:55.500 --> 00:00:58.500]  忍受了十字架的苦難
[00:00:58.500 --> 00:01:03.000]  便坐在上帝寶座的右邊
[00:01:03.000 --> 00:01:05.000]  呢度有冇人跑過十公里可唔可以舉舉手
[00:01:05.000 --> 00:01:08.500]  馬拉松十公里有冇人跑過
[00:01:08.500 --> 00:01:09.500]  咁少佢咋咩
[00:01:09.500 --> 00:01:12.500]  有啲人可能超過十公里至少十公里
[00:01:12.500 --> 00:01:14.500]  即係簡單所講最低限度十公里
[00:01:14.500 --> 00:01:16.500]  我唔知你冇留意跑步嘅人
[00:01:16.500 --> 00:01:18.500]  我有查過啲研究佢話
[00:01:18.500 --> 00:01:19.500]  如果你跑十公里
[00:01:19.500 --> 00:01:25.000]  最辛苦嘅時候就應該係第七到第九公里嘅呢段時間
[00:01:25.000 --> 00:01:28.000]  因為呢個係心理同體能嘅雙重嘅挑戰
[00:01:28.000 --> 00:01:30.500]  係最容易想放棄嘅
[00:01:30.500 --> 00:01:33.500]  跑人生信仰嘅道路又會係點樣呢
[00:01:33.500 --> 00:01:35.500]  又會唔會係好容易呢
[00:01:35.500 --> 00:01:38.500]  幾時會係最灰心呢
[00:01:38.500 --> 00:01:40.500]  十二章嘅第三節
[00:01:40.500 --> 00:01:42.500]  希伯來書十二章第三節
[00:01:42.500 --> 00:01:43.500]  唔知有冇經文係有嘅
[00:01:43.500 --> 00:01:44.500]  留意下經文點樣講
[00:01:44.500 --> 00:01:45.500]  佢話
[00:01:45.500 --> 00:01:46.500]  這樣說
[00:01:46.500 --> 00:01:48.500]  乃忍受罪人這樣頂撞的
[00:01:48.500 --> 00:01:50.500]  你們要思常
[00:01:50.500 --> 00:01:52.500]  免得疲乏灰心
[00:01:52.500 --> 00:01:54.500]  疲倦灰心
[00:01:54.500 --> 00:01:55.500]  呢度提到嘅就係
[00:01:55.500 --> 00:01:58.500]  原來信主好多年又或者係服侍咗主好多年
[00:01:58.500 --> 00:02:00.500]  都未見果效
[00:02:00.500 --> 00:02:02.500]  開始懷疑自己啦
[00:02:02.500 --> 00:02:04.000]  有時候你甚至會覺得
[00:02:04.000 --> 00:02:06.000]  當我哋祈禱又祈禱
[00:02:06.000 --> 00:02:08.500]  都未蒙英韻嘅時候
[00:02:08.500 --> 00:02:11.500]  亦都甚至覺得生命冇突破嘅時候
[00:02:11.500 --> 00:02:14.000]  開始想放棄
[00:02:14.000 --> 00:02:16.000]  見到唔少人好冷淡
[00:02:16.000 --> 00:02:18.500]  信仰嘅路上面又好似好孤單
[00:02:18.500 --> 00:02:20.000]  冇同行者
[00:02:20.000 --> 00:02:21.500]  更甚嘅就係
[00:02:21.500 --> 00:02:23.000]  畀人誤解啦
[00:02:23.000 --> 00:02:24.500]  被非信徒頂撞啦
[00:02:24.500 --> 00:02:27.000]  可能同小組嘅組員鬧意見啦
[00:02:27.000 --> 00:02:29.000]  全福音避佢啦
[00:02:29.000 --> 00:02:30.500]  點跑落去呀
[00:02:30.500 --> 00:02:32.000]  點跑落去呢
[00:02:32.000 --> 00:02:34.000]  所以會灰心
[00:02:34.000 --> 00:02:36.000]  留意十二章第一節
[00:02:36.000 --> 00:02:41.000]  嗰度話奔那擺喺我哋面前嘅路程
[00:02:41.000 --> 00:02:43.000]  嗰一隻奔字
[00:02:43.000 --> 00:02:45.500]  Tracco 希臘文呢個Tracco呢個字呢
[00:02:45.500 --> 00:02:50.500]  其實係形容我哋人生同呢個信仰嘅路程
[00:02:50.500 --> 00:02:51.500]  Tracco 呢個字
[00:02:51.500 --> 00:02:54.500]  係形容緊我哋人生嘅信仰嘅路程
[00:02:54.500 --> 00:02:56.000]  或者個賽程
[00:02:56.000 --> 00:02:59.000]  呢個動詞其實係講緊一個好持續
[00:02:59.000 --> 00:03:01.000]  有方向有目標嘅
[00:03:01.000 --> 00:03:03.500]  唔係輕輕鬆鬆咁散步
[00:03:03.500 --> 00:03:06.500]  唔係好似鄧麗君嗰陣漫步人生
[00:03:06.500 --> 00:03:08.000]  老師咪唱呀
[00:03:08.000 --> 00:03:11.500]  邊個叫鄧麗君我唔識
[00:03:11.500 --> 00:03:15.500]  咩是原章歡笑
[00:03:15.500 --> 00:03:18.000]  咩係蓋染苦痛奶一面呀嘛
[00:03:18.000 --> 00:03:19.500]  即係類似係咁樣啦
[00:03:19.500 --> 00:03:21.500]  我唔識㗎
[00:03:21.500 --> 00:03:24.500]  我都係查返啲
[00:03:24.500 --> 00:03:27.000]  要查返嗰啲嘅歌詞
[00:03:27.000 --> 00:03:29.000]  先知係乜嚟㗎咋
[00:03:29.000 --> 00:03:32.000]  嗱唔好扮嘢啦
