
[00:00:00.000 --> 00:00:03.580]  說到這個針研系列的最後一講
[00:00:03.580 --> 00:00:07.640]  這個題目叫「上帝欠你的債」
[00:00:07.640 --> 00:00:14.320]  大家都知道我們經常聽到我們欠上帝舊恩的債
[00:00:14.320 --> 00:00:18.260]  我們也欠很多未信主的人父親的債
[00:00:18.260 --> 00:00:21.360]  有什麼債是上帝欠我們的呢?
[00:00:21.360 --> 00:00:24.600]  而上帝是一個信實的上帝
[00:00:24.600 --> 00:00:25.980]  如果他欠我們債的話
[00:00:25.980 --> 00:00:30.580]  我們也可以寫一包單上帝會還債
[00:00:30.580 --> 00:00:32.680]  上帝不會借錢走人的
[00:00:32.680 --> 00:00:36.400]  我借你的可能未必還得完
[00:00:36.400 --> 00:00:37.880]  但為上帝借你的
[00:00:37.880 --> 00:00:39.880]  他一定會償還的
[00:00:39.880 --> 00:00:43.560]  究竟上帝的債是什麼債呢?
[00:00:43.560 --> 00:00:49.660]  講之前我們講這個針研系列只有那幾講
[00:00:49.660 --> 00:00:52.940]  大家都知道針研有三十多章
[00:00:52.940 --> 00:00:57.060]  裡面有一些所謂智慧的所羅門的智慧言語
[00:00:57.060 --> 00:01:02.940]  這些智慧都牽涉到超過一百個不同的主題可以歸納
[00:01:02.940 --> 00:01:07.280]  我們根本沒有可能每一個主題都看
[00:01:07.280 --> 00:01:12.100]  我在香港有教會曾經逐個主題去看
[00:01:12.100 --> 00:01:14.580]  看了差不多兩年的時間
[00:01:14.580 --> 00:01:18.560]  當時九龍城浸信會已經回到天階的張愛慕斯
[00:01:18.560 --> 00:01:20.560]  他逐個主題去看
[00:01:20.560 --> 00:01:23.880]  但我們沒有這樣的空間去做
[00:01:23.880 --> 00:01:29.040]  所以我們都希望抽出幾個很重要的主題和大家分享
[00:01:29.040 --> 00:01:32.240]  這個重要當然是大家所面對的
[00:01:32.240 --> 00:01:36.540]  包括之前都講過的李牧師和我們分享到
[00:01:36.540 --> 00:01:39.200]  夫婦的關係
[00:01:39.200 --> 00:01:41.200]  如何體異性
[00:01:41.200 --> 00:01:45.240]  我們也看到如何敬畏上帝敬畏耶和華
[00:01:45.240 --> 00:01:47.920]  我們落到一個其實是很重要的主題
[00:01:47.920 --> 00:01:52.660]  不過在講壇裏面是很少講的
[00:01:52.660 --> 00:01:54.660]  我都不明白為什麼
[00:01:54.660 --> 00:01:57.600]  因為如果你在這個Bay Area裏面
[00:01:57.600 --> 00:02:02.260]  你覺得是重要要面對的主題
[00:02:02.260 --> 00:02:05.060]  例如講到關於同性戀的
[00:02:05.060 --> 00:02:07.780]  我們都嘗試會面對
[00:02:07.780 --> 00:02:09.780]  明年我們會有一個系列
[00:02:09.780 --> 00:02:12.160]  是其中一講就專講到這件事
[00:02:12.160 --> 00:02:13.540]  在聖經裏面怎樣看
[00:02:13.540 --> 00:02:15.540]  但在聖經裏面大家都知道
[00:02:15.540 --> 00:02:21.860]  直接講到關於同性戀這個主題的只有七段的經文
[00:02:21.860 --> 00:02:26.940]  但是在聖經裏面提到關於貧窮
[00:02:26.940 --> 00:02:30.780]  提到關於信徒對貧窮人的責任
[00:02:30.780 --> 00:02:36.380]  有超過三百節的經文
[00:02:36.380 --> 00:02:42.260]  我們經常聽到聖經裏面講了很多的是什麼
[00:02:42.260 --> 00:02:47.140]  但在聖經裏面有超過三百節的人物提到
[00:02:47.140 --> 00:02:51.420]  我們做基督徒我們做信徒要關心貧窮人的需要
[00:02:51.420 --> 00:02:52.940]  這是不是一個很重要的主題
[00:02:52.940 --> 00:02:55.700]  我們需要在講壇裏面去分享
[00:02:55.700 --> 00:02:56.980]  要去聽
[00:02:56.980 --> 00:03:03.460]  不要懷疑我是一個政治家或者慈善家等等
[00:03:03.460 --> 00:03:05.020]  我只是一個目者
[00:03:05.020 --> 00:03:11.180]  聖經裏面提醒我們超過三百節的經文要我們關心貧窮的人
[00:03:11.180 --> 00:03:13.980]  我想我們不能閉嘴不講
[00:03:13.980 --> 00:03:17.260]  因為在真言裏面所有人都這樣講
[00:03:17.260 --> 00:03:19.380]  他說憐憫貧寒人的
[00:03:19.380 --> 00:03:23.300]  這是和修本和合本是貧窮人的
[00:03:23.300 --> 00:03:25.780]  是借給耶和華
[00:03:25.780 --> 00:03:30.180]  他的報上耶和華必歸還給他
[00:03:30.180 --> 00:03:32.260]  慷慨待人必然豐裕
[00:03:32.260 --> 00:03:34.900]  滋潤人的連自己也得到滋潤
[00:03:34.900 --> 00:03:38.140]  但最重要的十七字是告訴我們
[00:03:38.140 --> 00:03:41.140]  當你憐憫貧窮人的時候
[00:03:41.140 --> 00:03:44.020]  就是借給耶和華
[00:03:44.020 --> 00:03:46.140]  耶和華借你的
[00:03:46.140 --> 00:03:48.580]  他一定會還給你
[00:03:48.580 --> 00:03:51.460]  這個說到貧窮
[00:03:51.460 --> 00:03:52.900]  我想大家都知道
[00:03:52.900 --> 00:03:58.020]  索羅門的年代在以色列國當時在他們的世界觀裏面
[00:03:58.020 --> 00:04:00.460]  地中海的全世界裏面
[00:04:00.460 --> 00:04:02.620]  是最富有的一個國家
[00:04:02.620 --> 00:04:03.820]  大家都知道
[00:04:03.820 --> 00:04:06.420]  索羅門當時那些以色列人
[00:04:06.420 --> 00:04:08.940]  有菲律賓人已經平定了
[00:04:08.940 --> 00:04:11.020]  周圍的國家又很安靜
[00:04:11.020 --> 00:04:11.940]  又不再入侵了
[00:04:11.940 --> 00:04:14.100]  以色列人有流浪的物資地
[00:04:14.100 --> 00:04:17.540]  可以很平和平很穩定
[00:04:17.540 --> 00:04:20.140]  繁榮地去種植
[00:04:20.140 --> 00:04:21.340]  去畜牧
[00:04:21.340 --> 00:04:24.780]  去過他們的生活
[00:04:24.780 --> 00:04:26.020]  以致他們很富有
[00:04:26.020 --> 00:04:29.620]  有很多豐盛的土產可以出口
[00:04:29.620 --> 00:04:33.020]  有豐盛的木材可以賣給其他國家
[00:04:33.020 --> 00:04:35.060]  所以整個國家都很豐盛
[00:04:35.060 --> 00:04:37.620]  一個這麼富有的國家
[00:04:37.620 --> 00:04:42.100]  當時地中海全他們的世界觀裏面最富有的國家
[00:04:42.100 --> 00:04:45.220]  竟然在《針研》裏面
[00:04:45.220 --> 00:04:48.820]  索羅門用了十次
[00:04:48.820 --> 00:04:52.420]  去提到我們要關心一些貧窮的人
[00:04:52.420 --> 00:04:54.460]  你說一個這麼富有的國家
[00:04:54.460 --> 00:04:57.820]  去哪裏找一些貧窮的人
[00:04:57.820 --> 00:05:04.860]  這就是今天我們要去思想的一個題目
[00:05:04.860 --> 00:05:06.860]  我想耶穌基督都講得很清楚
[00:05:06.860 --> 00:05:07.820]  一千年之後
[00:05:07.820 --> 00:05:10.420]  即是耶穌距離索羅門一千多年的時間
[00:05:10.420 --> 00:05:12.420]  耶穌來到世上
[00:05:12.420 --> 00:05:14.260]  在《馬太福音》二十六章十一節
[00:05:14.260 --> 00:05:15.780]  耶穌都是這樣講
[00:05:15.780 --> 00:05:18.180]  祂說你們不嘗有惡
[00:05:18.180 --> 00:05:24.460]  但你們上時會有窮人與你們同在
[00:05:24.460 --> 00:05:26.660]  一個這麼富有的國家會有窮人
[00:05:26.660 --> 00:05:28.740]  貧窮的國家都會有窮人
[00:05:28.740 --> 00:05:31.060]  到今天我們活在美國的時候
[00:05:31.060 --> 00:05:35.900]  我們都會有機會面對貧窮的人
[00:05:35.900 --> 00:05:40.060]  我們怎樣看這個聖經裏面的吩咐
[00:05:40.060 --> 00:05:44.140]  首先你都要知道甚麼是貧窮的人
[00:05:44.140 --> 00:05:45.700]  聖經裏面我們要關心貧窮人
[00:05:45.700 --> 00:05:47.700]  誰是貧窮的人
[00:05:47.700 --> 00:05:49.700]  在座當中可能就想一下
[00:05:49.700 --> 00:05:52.220]  可能我是一個貧窮的人
[00:05:52.220 --> 00:05:53.420]  究竟我是不是一個貧窮的人
[00:05:53.420 --> 00:05:54.980]  大家知道在去年
[00:05:54.980 --> 00:05:56.500]  看新聞都看到
[00:05:56.500 --> 00:05:58.260]  去年告訴我們
[00:05:58.260 --> 00:06:03.820]  在Bay Area很多的郡或縣裏面
[00:06:03.820 --> 00:06:10.580]  你一年裏面找超過六位數字的收入
[00:06:10.580 --> 00:06:14.780]  已經是低收入人士
