
[00:00:00.000 --> 00:00:02.000]  各位訂閱者早晨 各位來賓早晨
[00:00:02.000 --> 00:00:06.000]  很高興大家在一起分享上帝的華語
[00:00:06.000 --> 00:00:10.000]  今天剛好是最月
[00:00:10.000 --> 00:00:15.000]  昨晚不知道大家有沒有去享受美好的月色
[00:00:15.000 --> 00:00:18.000]  先祝大家中秋節快樂
[00:00:18.000 --> 00:00:23.000]  盼望一家團圓的日子都成為我們一個很好的機會
[00:00:23.000 --> 00:00:27.000]  讓我們彼此互相關心愛護
[00:00:27.000 --> 00:00:30.000]  我昨天跟女兒也走了一段路
[00:00:30.000 --> 00:00:34.000]  在夜晚裡 所以是一個很難得的機會
[00:00:34.000 --> 00:00:39.000]  能夠一起走 其實是很不容易的事
[00:00:39.000 --> 00:00:44.000]  因為我要決心放下我今天還要講到的戰經
[00:00:44.000 --> 00:00:47.000]  享受這個寧靜的一刻
[00:00:47.000 --> 00:00:50.000]  心裡不是很寧靜 周圍都很多人
[00:00:50.000 --> 00:00:53.000]  今天我跟大家分享這段經文裡
[00:00:53.000 --> 00:00:57.000]  同樣有一個關於決心和行動這兩重意義
[00:00:57.000 --> 00:01:01.000]  來看這段希伯來的聖經
[00:01:01.000 --> 00:01:05.000]  我會藉著摩西這個故事
[00:01:05.000 --> 00:01:09.000]  或者摩西出埃及入迦南這段故事
[00:01:09.000 --> 00:01:17.000]  來探索決心和行動給我們的思考
[00:01:17.000 --> 00:01:22.000]  決心和行動我相信背後是關乎到選擇
[00:01:22.000 --> 00:01:26.000]  即是你選擇了什麼 然後你怎樣做
[00:01:26.000 --> 00:01:34.000]  而在做的過程就要涉及到你的決心和毅力和行動
[00:01:34.000 --> 00:01:38.000]  或者要怎樣去講這個題目的時候
[00:01:38.000 --> 00:01:42.000]  我想用一個例子 就是我最近行山的例子
[00:01:42.000 --> 00:01:45.000]  我星期二就膽粗粗走去行山
[00:01:45.000 --> 00:01:53.000]  三十多度 是我應該半年有多以來的第一次出關
[00:01:53.000 --> 00:01:57.000]  我應朋友之約 他說好 他是行山專家
[00:01:57.000 --> 00:02:01.000]  結果的問題就是出現在中途
[00:02:01.000 --> 00:02:06.000]  我有輕微的中暑 腳震腳軟快抽筋
[00:02:06.000 --> 00:02:13.000]  沿途我的朋友就一直鼓勵 一直提醒我
[00:02:13.000 --> 00:02:16.000]  你要怎樣 我甚至乎毫無準備之下
[00:02:16.000 --> 00:02:20.000]  只是帶一瓶水 什麼都沒有 就上山了
[00:02:20.000 --> 00:02:27.000]  他就說 行山三步你都不帶齊 就出事了
[00:02:27.000 --> 00:02:30.000]  難得的是他的陪伴和鼓勵
[00:02:30.000 --> 00:02:33.000]  不過他最後講幾句話都令我很感動
[00:02:33.000 --> 00:02:40.000]  他說 強木 剩下的靠你自己的意志了
[00:02:40.000 --> 00:02:45.000]  我就開始擔心了
[00:02:45.000 --> 00:02:52.000]  但畢竟身體是自己的 目標在前面
[00:02:52.000 --> 00:02:57.000]  都沒有想過要坐直升機 而且坐直升機都很貴
[00:02:57.000 --> 00:03:00.000]  結果就堅持下去
[00:03:00.000 --> 00:03:06.000]  透過我朋友的提醒 指導 還有其他朋友的支援
[00:03:06.000 --> 00:03:10.000]  有鹽餅等 終於就完成了
[00:03:10.000 --> 00:03:13.000]  在這個過程裏面 我朋友就跟我分享
[00:03:13.000 --> 00:03:16.000]  他一些行山的心得
[00:03:16.000 --> 00:03:20.000]  他就引用了村上春樹裏面一本書
[00:03:20.000 --> 00:03:23.000]  來講長跑的心得
[00:03:23.000 --> 00:03:25.000]  他說 Pain is inevitable
[00:03:25.000 --> 00:03:27.000]  Suffering is optional
[00:03:27.000 --> 00:03:31.000]  意思就是 痛就是你避免不了的
[00:03:31.000 --> 00:03:33.000]  一定會痛的
[00:03:33.000 --> 00:03:38.000]  不過 你選擇不選擇 其實是你有選擇的
[00:03:38.000 --> 00:03:41.000]  痛不痛苦是你選擇的問題
[00:03:41.000 --> 00:03:45.000]  就是說 你可以繼續走下去 跑下去
