
[00:00:00.000 --> 00:00:04.780]  如果大家有留意、關注香港的新聞的話
[00:00:04.780 --> 00:00:09.740]  我想大概都應該最近在媒體
[00:00:09.740 --> 00:00:13.220]  都會經常聽到一些四字詞語
[00:00:13.220 --> 00:00:15.740]  其中一個就是
[00:00:15.740 --> 00:00:18.020]  「無忘初心」
[00:00:18.020 --> 00:00:21.640]  究竟「無忘初心」是好還是不好呢
[00:00:21.640 --> 00:00:26.400]  當然要看這個所謂的初心是對還是不對
[00:00:26.400 --> 00:00:29.960]  如果這個初心是錯的
[00:00:30.300 --> 00:00:31.520]  是被人佔便宜的
[00:00:31.520 --> 00:00:34.800]  原來是別人的騙局
[00:00:34.800 --> 00:00:40.000]  那無論這個所謂的初心是怎樣地講得偉大
[00:00:40.000 --> 00:00:42.280]  包裝得怎樣地高尚
[00:00:42.280 --> 00:00:45.040]  我們都需要承認錯誤
[00:00:45.040 --> 00:00:46.400]  不要怕丟臉
[00:00:46.400 --> 00:00:49.480]  我們都需要改正這個錯誤
[00:00:49.480 --> 00:00:51.000]  相反來說
[00:00:51.000 --> 00:00:55.800]  如果這個初心是經過客觀的驗證
[00:00:55.800 --> 00:00:58.000]  時間的驗證
[00:00:58.120 --> 00:01:01.200]  都是真實、無誤的時候
[00:01:01.200 --> 00:01:03.160]  我們就需要堅持
[00:01:03.160 --> 00:01:06.280]  在今天的經文裏面
[00:01:06.280 --> 00:01:09.280]  保羅寫信給哥林多教會的人
[00:01:09.280 --> 00:01:13.600]  他提醒這羣信徒不要忘記和偏離
[00:01:13.600 --> 00:01:17.080]  他們曾經在保羅身上所領受
[00:01:17.080 --> 00:01:21.040]  基督原初純潔的信心
[00:01:21.040 --> 00:01:24.960]  現在就讓我們通過今天的經文來一同看一看
[00:01:25.160 --> 00:01:30.560]  學習我們如何在這個幻變、充滿誘惑的世代裏面
[00:01:30.560 --> 00:01:34.760]  堅持、堅守我們對基督的信心
[00:01:34.760 --> 00:01:39.160]  在這段經文一開始的時候
[00:01:39.160 --> 00:01:41.600]  保羅就提到
[00:01:41.600 --> 00:01:45.320]  我爲你們起的憤恨
[00:01:45.320 --> 00:01:48.680]  願是神那樣的憤恨
[00:01:48.680 --> 00:01:53.360]  憤恨在這裏來說其實並不是一個最好的翻譯
[00:01:53.880 --> 00:01:55.880]  在希臘的原文當中
[00:01:55.880 --> 00:02:00.000]  這個字也可以翻譯爲「嫉妒」
[00:02:00.000 --> 00:02:04.120]  如果我們用嫉妒來翻譯的話
[00:02:04.120 --> 00:02:05.640]  這句話就會變成
[00:02:05.640 --> 00:02:08.040]  我爲你們起的嫉妒
[00:02:08.040 --> 00:02:11.960]  願是神那樣的嫉妒
[00:02:11.960 --> 00:02:16.720]  如果這樣翻譯的話聽起來好像不太對
[00:02:16.720 --> 00:02:17.720]  好像有些問題
[00:02:17.720 --> 00:02:19.720]  爲什麼呢?因爲這個嫉妒
[00:02:19.720 --> 00:02:22.720]  很多時候都給人一個負面的感覺
[00:02:23.200 --> 00:02:27.600]  特別是大家記得保羅在哥林多前書的十三章
[00:02:27.600 --> 00:02:32.200]  他講到他對愛的一個很偉大的宣言裏面怎麼說的
[00:02:32.200 --> 00:02:35.000]  他說「愛是不嫉妒」
[00:02:35.000 --> 00:02:36.400]  記不記得?
[00:02:36.400 --> 00:02:38.840]  如果愛是不嫉妒的話
[00:02:38.840 --> 00:02:42.840]  那麼保羅爲什麼會爲了哥林多的信徒
[00:02:42.840 --> 00:02:45.280]  而起嫉妒呢?
[00:02:45.280 --> 00:02:48.000]  而且他還這麼說
[00:02:48.280 --> 00:02:53.280]  而且這個嫉妒「願是神那樣的嫉妒」
[00:02:53.280 --> 00:02:54.840]  那麼我們要問的問題就是
[00:02:54.840 --> 00:02:57.720]  如果神他自己也嫉妒的時候
[00:02:57.720 --> 00:03:02.360]  那麼嫉妒和愛兩者之間有沒有矛盾?
[00:03:02.360 --> 00:03:04.520]  我們再看下去
[00:03:04.520 --> 00:03:07.440]  嫉妒這個字英文的翻譯就是Jealousy
[00:03:07.440 --> 00:03:10.520]  而事實上如果我們翻查聖經的話
[00:03:10.520 --> 00:03:15.080]  神不止一次講到他是一個Jealous God
[00:03:16.120 --> 00:03:19.400]  詔譯的時候就是說神是一個嫉妒的神
[00:03:19.400 --> 00:03:23.760]  不過聖經的和合本的翻譯就不是說是嫉妒的神
[00:03:23.760 --> 00:03:27.160]  聖經的翻譯就是說是忌邪的神
[00:03:27.160 --> 00:03:29.040]  神是一個忌邪者
[00:03:29.040 --> 00:03:33.440]  而保羅在這裏所用的這個「憤恨」這個字
[00:03:33.440 --> 00:03:37.600]  一直追溯到其實就是舊約裏面這個「忌邪」
[00:03:37.600 --> 00:03:39.440]  這個希伯來的這個字
[00:03:39.440 --> 00:03:43.960]  雖然和合本在這裏所選用的翻譯是「憤恨」
[00:03:44.560 --> 00:03:49.800]  不過大部分聖經英文的翻譯本都是用「Jealousy」這個字
[00:03:49.800 --> 00:03:52.600]  也由於剛纔我所講的
[00:03:52.600 --> 00:03:54.880]  Jealousy很多時候都給人一個負面的感覺
[00:03:54.880 --> 00:03:57.600]  所以爲了避免不必要的誤解
[00:03:57.600 --> 00:04:02.720]  有頗多的英文翻譯會加上是Godly Jealousy
[00:04:02.720 --> 00:04:04.400]  或者Divine Jealousy
[00:04:04.400 --> 00:04:07.880]  就是說是神聖的、敬虔的嫉妒
[00:04:07.880 --> 00:04:11.800]  如果從這個一直大家聽下去的時候
[00:04:12.160 --> 00:04:17.920]  我們大概可以在聖經裏面看到有兩種不同對嫉妒的解釋
[00:04:17.920 --> 00:04:19.680]  一種是好的嫉妒
[00:04:19.680 --> 00:04:21.280]  一種是壞的嫉妒
[00:04:21.280 --> 00:04:23.440]  不好的嫉妒是什麼?
[00:04:23.440 --> 00:04:27.720]  不好的嫉妒就是來自恐懼和不安全的感覺
[00:04:27.720 --> 00:04:29.160]  怕什麼?
[00:04:29.160 --> 00:04:31.520]  我怕別人比我好
[00:04:31.520 --> 00:04:33.680]  怕別人比我優越
[00:04:33.680 --> 00:04:38.200]  怕別人的成功拿走了我的一些利益
[00:04:38.200 --> 00:04:40.280]  帶來我一些損失
[00:04:40.600 --> 00:04:43.240]  以至我心裏感到不安全
[00:04:43.240 --> 00:04:45.280]  這個很明顯
[00:04:45.280 --> 00:04:47.920]  這種擔憂
[00:04:47.920 --> 00:04:53.360]  是來自一種以自我爲中心而引發出來的感受
[00:04:53.360 --> 00:04:55.680]  這個並不是愛的表現
[00:04:55.680 --> 00:04:58.600]  故此也不能夠討神的喜悅
[00:04:58.600 --> 00:05:01.120]  那你說什麼纔是好的嫉妒呢?
[00:05:01.120 --> 00:05:07.520]  好的嫉妒就是當愛的關係裏面的忠誠
[00:05:08.240 --> 00:05:11.920]  被破壞的時候所產生的感受
[00:05:11.920 --> 00:05:16.120]  就是說當另外一個人對你應該屬於你的愛
[00:05:16.120 --> 00:05:19.680]  但是這個人沒有將屬於你的愛給過你
