
[00:00:00.000 --> 00:00:02.640]  很開心在教會能夠和大家見面
[00:00:02.640 --> 00:00:05.120]  我們今天是講《馬太福音》第四章
[00:00:05.120 --> 00:00:07.680]  今天我們說《馬太福音》第四章
[00:00:07.680 --> 00:00:10.640]  以分段來看
[00:00:10.640 --> 00:00:13.720]  第一章到第四章其實是一個大段落
[00:00:13.720 --> 00:00:16.560]  第一章至第四章是大段落
[00:00:16.560 --> 00:00:18.440]  在第四章就完結
[00:00:18.440 --> 00:00:19.920]  在第四章完結
[00:00:19.920 --> 00:00:23.280]  第一、第二章就講到加普和降生
[00:00:23.280 --> 00:00:26.240]  第一至第二章說到加普和降生
[00:00:26.240 --> 00:00:33.920]  第三章第四章就講到耶穌受洗和受試探
[00:00:33.920 --> 00:00:40.560]  然後就立即去講耶穌開始傳道
[00:00:40.560 --> 00:00:44.960]  不過當講到耶穌一開始傳道的時候
[00:00:44.960 --> 00:00:50.960]  其實耶穌就做了一件事情
[00:00:50.960 --> 00:00:54.520]  大家知不知道是什麼事呢?
[00:00:54.520 --> 00:00:57.480]  這件事情就是當耶穌一開始傳道
[00:00:57.480 --> 00:01:01.920]  其實祂要做的就是呼召門徒跟從祂
[00:01:01.920 --> 00:01:05.720]  耶穌一開始傳道就立即呼召門徒跟隨祂
[00:01:05.720 --> 00:01:11.800]  我們或者要問馬太為什麼不首先記載耶穌祂行神職意志
[00:01:11.800 --> 00:01:16.520]  為什麼馬太一開始不記載耶穌神職的意志?
[00:01:16.520 --> 00:01:22.440]  為什麼不一開始就記載耶穌語重心長的教導和講論?
[00:01:22.440 --> 00:01:26.960]  為什麼不一開始就記載耶穌語重心長的教導?
[00:01:26.960 --> 00:01:31.760]  為什麼一開始要記載的是記載耶穌呼召門徒?
[00:01:31.760 --> 00:01:35.240]  為什麼一開始就記載耶穌呼召門徒?
[00:01:35.240 --> 00:01:40.120]  我很相信其中一個原因是馬太真的覺得
[00:01:40.120 --> 00:01:43.560]  對於我們這些查考馬太福音的人
[00:01:43.560 --> 00:01:48.360]  我相信原因之一對於我們查考馬太福音的人來說
[00:01:48.360 --> 00:01:52.640]  如果我們查考的時候我們不回應呼召
[00:01:52.640 --> 00:01:57.440]  或者我們覺得我們已經得到的呼召不是很重要的話
[00:01:57.440 --> 00:02:01.360]  其實之後的經文我們是難以明白、難以查考
[00:02:01.360 --> 00:02:05.800]  要是我們查考的同時不回應呼召
[00:02:05.800 --> 00:02:08.800]  或者我們覺得已得到呼召不重要
[00:02:08.800 --> 00:02:11.320]  難以查考和明白之後的經文
[00:02:11.320 --> 00:02:14.040]  所以一開始馬太就挑戰我們了
[00:02:14.040 --> 00:02:23.800]  耶穌呼召門徒不管怎樣回應
[00:02:23.800 --> 00:02:30.680]  我們今天就去查考呼召這個課題
[00:02:30.680 --> 00:02:35.920]  我最近呼召的英文是call
[00:02:35.920 --> 00:02:39.960]  在第一世紀呼召這個字其實有幾個用途
[00:02:39.960 --> 00:02:43.920]  在第一世紀社會用護照有幾個意思
[00:02:43.920 --> 00:02:47.960]  意思是在社會上面都有用這個字眼
[00:02:47.960 --> 00:02:49.960]  社會也有用這個字眼
[00:02:49.960 --> 00:02:51.720]  例如以名字呼召你
[00:02:51.720 --> 00:02:53.520]  就是如果你叫我阿Kin
[00:02:53.520 --> 00:02:56.120]  這個動作就叫呼召
[00:02:56.120 --> 00:02:58.920]  以名字呼召例如你叫我阿Kin
[00:02:58.920 --> 00:03:02.680]  另一個解釋就是我邀請你那種邀請
[00:03:02.680 --> 00:03:04.360]  另一個意思就是邀請
[00:03:04.360 --> 00:03:06.360]  就是有人邀請你參加婚禮
[00:03:06.360 --> 00:03:08.400]  就是有人邀請你參加婚禮
[00:03:08.400 --> 00:03:10.240]  還有就是傳召
[00:03:10.240 --> 00:03:15.960]  就是法庭裡面傳召一個證人要走出來作見證
[00:03:15.960 --> 00:03:19.840]  第三是傳召例如法庭中有人叫證人
[00:03:19.840 --> 00:03:22.160]  第四個意思就比較屬靈
[00:03:22.160 --> 00:03:24.280]  第四個意思比較屬靈
[00:03:24.280 --> 00:03:31.880]  呼召是神揀選人去領受福氣和經歷
[00:03:31.880 --> 00:03:36.120]  呼召是神揀選人去領受福氣或經歷
[00:03:36.120 --> 00:03:39.960]  希臘文的聖經按照當時的用處文字的分析
[00:03:39.960 --> 00:03:41.560]  得出了四個意思
[00:03:41.560 --> 00:03:44.440]  希臘文的字眼出了四個意思
[00:03:44.440 --> 00:03:45.960]  對我們有什麼意義
[00:03:45.960 --> 00:03:47.440]  對我們有什麼意義
[00:03:47.440 --> 00:03:49.000]  在過去的一個月
[00:03:49.000 --> 00:03:50.400]  在過去的一個月
[00:03:50.400 --> 00:03:54.160]  我自己對於呼召其實有深刻很多的體會
[00:03:54.160 --> 00:03:56.400]  我對呼召有更深的體會
[00:03:56.400 --> 00:03:58.240]  我家憑著信心
[00:03:58.240 --> 00:03:59.680]  我家憑著信心
[00:03:59.680 --> 00:04:00.600]  經過禱告
[00:04:00.600 --> 00:04:01.600]  經過禱告
[00:04:01.600 --> 00:04:02.960]  我們養了一隻狗
[00:04:02.960 --> 00:04:04.120]  養了一隻狗
[00:04:04.120 --> 00:04:05.480]  已經一個月了
[00:04:05.480 --> 00:04:06.480]  已經一個月了
[00:04:06.480 --> 00:04:08.040]  我們養牠之前
[00:04:08.040 --> 00:04:10.680]  原本那個自養的人
[00:04:10.680 --> 00:04:12.960]  是叫那隻狗叫阿Bow
[00:04:12.960 --> 00:04:16.200]  我們養牠之前是叫那個狗叫阿Bow
[00:04:16.200 --> 00:04:20.560]  那隻狗就一直以為自己叫阿Bow
[00:04:20.560 --> 00:04:23.080]  那隻狗就一直以為自己叫阿Bow
[00:04:23.080 --> 00:04:25.720]  但是這個阿Bow的名字在我家不行
[00:04:25.720 --> 00:04:27.920]  但是阿Bow這個名字不行
[00:04:27.920 --> 00:04:30.280]  因為我的小兒子叫Boaz
[00:04:30.280 --> 00:04:32.000]  因為我的小兒子叫Boaz
[00:04:32.000 --> 00:04:35.760]  如果我叫Boaz的時候就兩個一起來了
[00:04:35.760 --> 00:04:37.960]  叫那隻狗就連小兒子也來了
[00:04:37.960 --> 00:04:39.840]  如果我叫Boaz就兩個一起來了
[00:04:39.840 --> 00:04:40.960]  我小兒子也來了
[00:04:40.960 --> 00:04:43.480]  或者我叫小兒子就連狗也來了
[00:04:43.480 --> 00:04:45.760]  或者我叫小兒子那個狗就走過來
[00:04:45.760 --> 00:04:46.640]  那就要改名字
[00:04:46.640 --> 00:04:48.240]  改了名字叫Buffy
[00:04:48.240 --> 00:04:50.080]  就改了名字叫Buffy
[00:04:50.080 --> 00:04:52.120]  為什麼改這個名字不重要?
[00:04:52.120 --> 00:04:54.400]  為什麼改這個名字不重要?
[00:04:54.400 --> 00:04:56.920]  重要的是牠不知道自己叫Buffy
[00:04:56.920 --> 00:04:59.320]  重要的是牠不知道自己叫Buffy
[00:04:59.320 --> 00:05:01.000]  無數次都我大聲叫
[00:05:01.000 --> 00:05:02.200]  Buffy
[00:05:02.200 --> 00:05:03.960]  無數次我叫Buffy
[00:05:03.960 --> 00:05:04.960]  牠是沒有反應的
[00:05:04.960 --> 00:05:06.000]  牠沒有反應
[00:05:06.000 --> 00:05:08.040]  過了一段時間一個月
[00:05:08.040 --> 00:05:09.280]  過了一段時間
[00:05:09.280 --> 00:05:12.200]  牠好像開始知道自己叫Buffy
