
[00:00:00.000 --> 00:00:03.900]  今天剩下少許時間,只有35分鐘左右
[00:00:03.900 --> 00:00:06.260]  我要加速說話
[00:00:06.260 --> 00:00:08.640]  還記不記得上個星期說了什麼?
[00:00:08.640 --> 00:00:12.740]  陰影什麼?
[00:00:12.740 --> 00:00:15.460]  陰影自我嘛
[00:00:15.460 --> 00:00:17.260]  卡爾紅尼的楊格
[00:00:17.260 --> 00:00:19.780]  就是說偉大的心理學家
[00:00:19.780 --> 00:00:21.800]  鼻祖之一,就是覺得
[00:00:21.800 --> 00:00:24.580]  裏面有個陰影自我的
[00:00:24.580 --> 00:00:29.220]  也和我們相對,就是我們外面有個人格面具
[00:00:29.220 --> 00:00:31.340]  記不記得?今天有沒有戴面具?
[00:00:31.340 --> 00:00:35.820]  有的,戴了個面具的
[00:00:35.820 --> 00:00:38.660]  每個人都戴一個,自己認爲這個呢
[00:00:38.660 --> 00:00:41.700]  戴了上面那裏,人家是會歡喜的
[00:00:41.700 --> 00:00:44.600]  是彰顯,表示出自己
[00:00:44.600 --> 00:00:47.880]  光明的一面的,那個人都會戴的
[00:00:47.880 --> 00:00:50.780]  但是呢,很多時候太累啦
[00:00:50.780 --> 00:00:54.220]  太趕啦,有壓力啦
[00:00:54.220 --> 00:00:55.460]  憤怒啦
[00:00:55.460 --> 00:00:58.440]  有很大的猶疑啦
[00:00:58.860 --> 00:01:00.440]  有威脅啦
[00:01:00.440 --> 00:01:02.360]  等等呢,很多時候
[00:01:02.360 --> 00:01:05.300]  那個陰影自我呢,就會出來
[00:01:05.300 --> 00:01:06.600]  一出來呢
[00:01:06.600 --> 00:01:09.040]  那個人格面具就會掉了
[00:01:09.040 --> 00:01:12.920]  那就露出一個陰影,陰影自我
[00:01:12.920 --> 00:01:16.280]  忽然之間,你自己和你旁邊的人
[00:01:16.280 --> 00:01:19.460]  都覺得自己,覺得你是變了第二個人
[00:01:19.460 --> 00:01:22.480]  有沒有試過,有些人發覺呢,有小事一出現
[00:01:22.480 --> 00:01:25.120]  他馬上,哇,瘋了,我們叫做
[00:01:25.120 --> 00:01:28.500]  瘋了,真的人都瘋了
[00:01:28.500 --> 00:01:30.900]  哇,發脾氣,又有
[00:01:30.900 --> 00:01:33.660]  爆粗,又有
[00:01:33.660 --> 00:01:36.160]  不合作,又有,拍桌子,又有
[00:01:36.160 --> 00:01:38.500]  很多時候呢,各種東西都會這樣發生的
[00:01:38.500 --> 00:01:42.700]  如果那個潛意識按不住呢
[00:01:42.700 --> 00:01:46.100]  哇,很多潛意識裏面的東西會走出來的
[00:01:46.100 --> 00:01:49.900]  好,時間不多了,今天去看看另一件事咯
[00:01:49.900 --> 00:01:53.680]  今天呢,我們有很多陰影的部分呢
[00:01:53.680 --> 00:01:57.240]  其實是來自我們的原生家庭的
[00:01:57.720 --> 00:02:01.520]  那所以如果想要個自己不好的部份
[00:02:01.520 --> 00:02:04.580]  失敗的部份,敗部
[00:02:04.580 --> 00:02:07.400]  做錯了事的部份,等等
[00:02:07.400 --> 00:02:09.600]  可以做好一點呢
[00:02:09.600 --> 00:02:13.640]  其實要留意一下,回想自己原生家庭的
[00:02:13.640 --> 00:02:16.200]  那其實呢,我們最重要的就是
[00:02:16.200 --> 00:02:20.060]  很多時候我們現在想,啊,那個小朋友的發展
[00:02:20.060 --> 00:02:23.560]  我的發展,同事的發展,什麼的發展
[00:02:23.560 --> 00:02:25.620]  就看他好的那些
[00:02:25.620 --> 00:02:28.740]  然後讓他發展多一點,好的部份
[00:02:28.740 --> 00:02:30.620]  很多時候都是這樣想的
[00:02:30.620 --> 00:02:34.760]  那其實呢,可以不是這樣的
[00:02:34.760 --> 00:02:37.160]  因爲他好的部份已經好了
[00:02:37.160 --> 00:02:40.820]  其實如果想他發展好一點,是要發展什麼呢
[00:02:40.820 --> 00:02:43.560]  不好的部份嘛
[00:02:43.560 --> 00:02:46.060]  不好的部份,特別要想
[00:02:46.060 --> 00:02:49.340]  如何可以令他增進一些不好的部份
[00:02:49.340 --> 00:02:52.460]  更加強一點,就是說他失敗的部份
[00:02:52.460 --> 00:02:55.720]  差一點的部份,是可以更加
[00:02:55.720 --> 00:02:59.620]  有發展,有光明點,行不行,OK嗎
[00:02:59.620 --> 00:03:02.840]  那其實我們大部份呢,很多時候我們現在這個人
[00:03:02.840 --> 00:03:06.740]  你和我呢,是和我們的原生家庭很有關係的
[00:03:06.740 --> 00:03:08.980]  那我最近看過一些文章是說
[00:03:08.980 --> 00:03:11.300]  原生家庭和人的發展沒有關係
[00:03:11.300 --> 00:03:14.360]  那都挺難認同的
[00:03:14.360 --> 00:03:17.200]  那其實呢,原生家庭就是
[00:03:17.200 --> 00:03:19.940]  好像一個場地,你在那裏
[00:03:19.940 --> 00:03:23.580]  一個植物那樣生出來,和那個土壤有沒有關係
[00:03:23.580 --> 00:03:25.760]  非常有關係
[00:03:25.760 --> 00:03:28.180]  如果說沒有關係,完全後天呢
[00:03:28.180 --> 00:03:30.900]  那是差不多不會的,行不行
[00:03:30.900 --> 00:03:33.840]  大家聽過原生家庭這幾個字嘛
[00:03:33.840 --> 00:03:36.300]  那你留意一下咯,那就
[00:03:36.300 --> 00:03:39.360]  什麼叫原生家庭呢
[00:03:39.360 --> 00:03:42.300]  我爸爸家裏就是我的原生家庭了
[00:03:42.300 --> 00:03:44.800]  行不行,我爸爸家裏
[00:03:44.800 --> 00:03:49.500]  咦,我有兩個爸爸,哇,這樣比較複雜
[00:03:49.500 --> 00:03:50.500]  那就
[00:03:50.500 --> 00:03:54.120]  或者我沒有原生家庭,因爲我是孤兒
[00:03:54.120 --> 00:03:58.700]  那我現在很多孤兒在柬埔寨呢,他是沒有爸爸媽媽的
[00:03:58.700 --> 00:04:01.960]  那他的原生家庭是什麼呢,就是我們的孤兒院
[00:04:01.960 --> 00:04:06.460]  那就,原生環境啦,就不是家庭
[00:04:06.460 --> 00:04:08.380]  好,原生家庭,好了
[00:04:08.380 --> 00:04:12.980]  那我自己家結了婚之後,哪位結了婚的,有小孩的,舉手看看
