
[00:00:00.000 --> 00:00:03.120]  提琴姐妹 早晨
[00:00:03.120 --> 00:00:06.520]  在舊約的聖經裏有一類書
[00:00:06.520 --> 00:00:09.520]  我們叫做先知書 或者先知文學
[00:00:09.520 --> 00:00:11.000]  它有一個特色
[00:00:11.000 --> 00:00:14.520]  就是先知直接收到神給他的說話
[00:00:14.520 --> 00:00:16.320]  有時會有一個格式這樣說
[00:00:16.320 --> 00:00:18.320]  「耶華的話臨到我」
[00:00:18.320 --> 00:00:21.000]  又或者「耶華如處說」
[00:00:21.000 --> 00:00:23.320]  當先知傳了訊息給人聽的時候
[00:00:23.320 --> 00:00:26.000]  一個人的正確態度是怎樣做呢?
[00:00:26.000 --> 00:00:30.000]  就是聆聽 順服 遵循
[00:00:30.000 --> 00:00:32.000]  這樣他就有福了
[00:00:32.000 --> 00:00:35.000]  在舊約的聖經裏面有另一類書卷
[00:00:35.000 --> 00:00:38.000]  我們稱之為智慧書 或者智慧文學
[00:00:38.000 --> 00:00:42.000]  好像是《約伯記》《針研》《傳道書》
[00:00:42.000 --> 00:00:45.000]  這些作者都是信靠上帝的人
[00:00:45.000 --> 00:00:47.000]  不過他們就不像先知
[00:00:47.000 --> 00:00:49.000]  他們沒有直接由神而來
[00:00:49.000 --> 00:00:51.000]  直接收到說話給他聽
[00:00:51.000 --> 00:00:56.000]  反而他們在生活裏面仔細觀察
[00:00:56.000 --> 00:00:59.000]  研究世間一切生活的現象
[00:00:59.000 --> 00:01:01.000]  用一個熟神的眼光
[00:01:01.000 --> 00:01:05.000]  慢慢歸納累積當中生活智慧的道理
[00:01:05.000 --> 00:01:07.000]  覺得是合乎信仰的
[00:01:07.000 --> 00:01:09.000]  然後就指導人 建議人
[00:01:09.000 --> 00:01:12.000]  應該用這樣的態度 這樣的眼光
[00:01:12.000 --> 00:01:14.000]  來面對當下的生活世界
[00:01:14.000 --> 00:01:16.000]  如果這樣走的話
[00:01:16.000 --> 00:01:20.000]  你就過著一個合乎信仰 智慧的生活
[00:01:20.000 --> 00:01:22.000]  今天我跟大家看一卷書
[00:01:22.000 --> 00:01:25.000]  智慧書一卷 叫做《傳道書》
[00:01:25.000 --> 00:01:26.000]  其中一個段落
[00:01:26.000 --> 00:01:29.000]  第十一章的一至第六節
[00:01:29.000 --> 00:01:31.000]  《傳道書》的作者稱為《傳道者》
[00:01:31.000 --> 00:01:33.000]  他觀察到人生裏面
[00:01:33.000 --> 00:01:34.000]  有一種這樣的現象
[00:01:34.000 --> 00:01:35.000]  一種的景況是什麼呢
[00:01:35.000 --> 00:01:38.000]  人要面對未來
[00:01:38.000 --> 00:01:39.000]  未來對於人來說
[00:01:39.000 --> 00:01:41.000]  其實是不可知道的
[00:01:41.000 --> 00:01:43.000]  也不是可以掌握的
[00:01:43.000 --> 00:01:45.000]  一個有信仰的人
[00:01:45.000 --> 00:01:47.000]  或者信靠神的人
[00:01:47.000 --> 00:01:48.000]  就好像今天的我們
[00:01:48.000 --> 00:01:50.000]  面對一個不可知的未來
[00:01:50.000 --> 00:01:52.000]  又不能夠掌握的未來的時候
[00:01:52.000 --> 00:01:55.000]  當下我們應該用一個怎樣的態度
[00:01:55.000 --> 00:01:57.000]  眼光來生活
[00:01:57.000 --> 00:01:58.000]  怎樣來走呢
[00:01:58.000 --> 00:02:01.000]  才能生活得有智慧
[00:02:01.000 --> 00:02:03.000]  並且合乎信仰
[00:02:03.000 --> 00:02:06.000]  我想跟大家一起讀一段聖經
[00:02:06.000 --> 00:02:08.000]  單節數由我讀
[00:02:08.000 --> 00:02:10.000]  雙節數請回中
[00:02:10.000 --> 00:02:12.000]  第一節
[00:02:12.000 --> 00:02:15.000]  當將你的糧食撒在水面
[00:02:15.000 --> 00:02:17.000]  因為日久必能得著
[00:02:18.000 --> 00:02:20.000]  難分辨
[00:02:20.000 --> 00:02:22.000]  因為要知道
[00:02:22.000 --> 00:02:25.000]  將會閃光所有光芒
[00:02:25.000 --> 00:02:27.000]  雲若滿了雨
[00:02:27.000 --> 00:02:29.000]  就必倒在地上
[00:02:29.000 --> 00:02:31.000]  樹若向南倒或向北倒
[00:02:31.000 --> 00:02:33.000]  樹倒在何處
[00:02:33.000 --> 00:02:35.000]  就存在何處
[00:02:35.000 --> 00:02:41.000]  風從何到來
[00:02:41.000 --> 00:02:42.000]  骨頭在懷忍
[00:02:42.000 --> 00:02:45.000]  婦人的胎中如何長成
[00:02:45.000 --> 00:02:47.000]  你尚且不知道
[00:02:47.000 --> 00:02:50.000]  這讓行萬事之神的作為
[00:02:50.000 --> 00:02:52.000]  你更不知道
[00:02:52.000 --> 00:03:08.000]  這段經文整體的分析
