
[00:00:00.000 --> 00:00:04.000]  今日就集中再講返邊8幅
[00:00:04.000 --> 00:00:06.000]  如果突然之間會有一點點印象
[00:00:06.000 --> 00:00:08.000]  今次係第3
[00:00:08.000 --> 00:00:09.000]  第一第二係幾時講呢
[00:00:09.000 --> 00:00:11.000]  我再睇返原來真係好耐之前
[00:00:11.000 --> 00:00:13.000]  第二講呢係半年前
[00:00:13.000 --> 00:00:14.000]  即係1月30號
[00:00:14.000 --> 00:00:15.000]  第一講係幾時呢
[00:00:15.000 --> 00:00:17.000]  係舊年8月15
[00:00:17.000 --> 00:00:18.000]  係新曆8月15
[00:00:18.000 --> 00:00:20.000]  咁即係話大家都忘記咗
[00:00:20.000 --> 00:00:22.000]  咁所以忘記咗呢就要重溫一下
[00:00:22.000 --> 00:00:24.000]  第一講呢就提到呢
[00:00:24.000 --> 00:00:26.000]  馬太坊第五章所講嘅
[00:00:26.000 --> 00:00:28.000]  我哋成日講嘅8幅
[00:00:28.000 --> 00:00:30.000]  究竟呢係咪真係8幅呢
[00:00:30.000 --> 00:00:32.000]  有人就話9幅
[00:00:32.000 --> 00:00:34.000]  有人又話7幅
[00:00:34.000 --> 00:00:36.000]  有人堅持仍然都係8幅
[00:00:36.000 --> 00:00:38.000]  要明白係9個幅呀
[00:00:38.000 --> 00:00:40.000]  7個幅呀
[00:00:40.000 --> 00:00:42.000]  又或者係8個幅呢
[00:00:42.000 --> 00:00:44.000]  當時嘅背景呢係重要嘅
[00:00:44.000 --> 00:00:46.000]  咁所以呢就係第一講嘅時候
[00:00:46.000 --> 00:00:48.000]  同大家交代過經文嘅背景
[00:00:48.000 --> 00:00:50.000]  包括係咩呢
[00:00:50.000 --> 00:00:52.000]  猶太人當時呢正係處喺
[00:00:52.000 --> 00:00:54.000]  好缺乏
[00:00:54.000 --> 00:00:56.000]  好沮喪好絕望嘅
[00:00:56.000 --> 00:00:58.000]  境況之中
[00:00:58.000 --> 00:01:00.000]  因為佢哋呢幾個世代呀
[00:01:00.000 --> 00:01:02.000]  唔夠300年期間呢
[00:01:02.000 --> 00:01:04.000]  歷史呢就記載咗有200幾場
[00:01:04.000 --> 00:01:06.000]  大大小小嘅戰爭
[00:01:06.000 --> 00:01:08.000]  所以呢猶太人好期盼呢
[00:01:08.000 --> 00:01:10.000]  天國即係上帝嘅國降臨
[00:01:10.000 --> 00:01:12.000]  佢哋期待呢
[00:01:12.000 --> 00:01:14.000]  大衛嘅子孫
[00:01:14.000 --> 00:01:16.000]  係能夠用公平公義
[00:01:16.000 --> 00:01:18.000]  嚟對治理呢個嘅地方
[00:01:18.000 --> 00:01:20.000]  所以呢耶穌講8幅嘅時候
[00:01:20.000 --> 00:01:22.000]  就係要向佢哋宣告
[00:01:22.000 --> 00:01:24.000]  天國已經嚟到
[00:01:24.000 --> 00:01:26.000]  利塞亞已經嚟臨
[00:01:26.000 --> 00:01:28.000]  呢個係第一個好重要嘅背景
[00:01:28.000 --> 00:01:30.000]  第二個背景呢就係
[00:01:30.000 --> 00:01:32.000]  猶太人同律法嘅關係
[00:01:32.000 --> 00:01:34.000]  猶太人男仔特別
[00:01:34.000 --> 00:01:36.000]  5歲就返學
[00:01:36.000 --> 00:01:38.000]  佢哋返學其實講緊做好多家庭
[00:01:38.000 --> 00:01:40.000]  教育嘅所以近年呢
[00:01:40.000 --> 00:01:42.000]  我哋成日都睇猶太人嗰個嘅教育
