
[00:00:00.000 --> 00:00:05.560]  我不知道大家現在是否有些面對一些困難
[00:00:05.560 --> 00:00:11.120]  逆境 或者是一些的試煉
[00:00:11.120 --> 00:00:18.680]  我想很多人都會某程度都會面對不同的困難 逆境 或者試煉
[00:00:18.680 --> 00:00:25.120]  如果你是的時候 可能下面這個預言可能對你有些幫助
[00:00:25.120 --> 00:00:28.920]  有一隻驢有一次經過一個枯井
[00:00:28.920 --> 00:00:34.680]  一不小心就跌下去 驢無法跳出來
[00:00:34.680 --> 00:00:40.120]  有一個路人經過 他聽見驢在井底悲鳴
[00:00:40.120 --> 00:00:47.080]  路人想救他 但無法 他都無工具 無繩索去救這隻驢
[00:00:47.080 --> 00:00:51.760]  他又不忍心見到這隻驢在井底活活餓死
[00:00:51.760 --> 00:00:55.760]  就想著不如將這隻驢人道毀滅算了
[00:00:55.760 --> 00:01:01.320]  他就拿了一個桶 將一些沙土倒在井底
[00:01:01.320 --> 00:01:06.000]  想著將這隻驢活埋了 將人道毀滅
[00:01:06.000 --> 00:01:09.440]  一桶一桶的沙土倒下去
[00:01:09.440 --> 00:01:16.080]  每一桶的沙土成為殺死這隻驢的工具
[00:01:16.080 --> 00:01:20.160]  他一直倒 一直倒 但聽不到這隻驢的叫聲
[00:01:20.160 --> 00:01:22.440]  他以為這隻驢已經死了
[00:01:22.440 --> 00:01:27.080]  他望一望井底 突然間驢跳了出來
[00:01:27.080 --> 00:01:31.480]  他很愕然 原來每一桶沙土
[00:01:31.480 --> 00:01:35.720]  一直倒在井底 一直堆高 一直堆高
[00:01:35.720 --> 00:01:41.160]  驢就踏著這些沙土 終於可以跳出井底
[00:01:41.160 --> 00:01:45.440]  這個故事 這個預言 其實道理很簡單
[00:01:45.440 --> 00:01:50.280]  原本這些沙土是殺死驢的工具
[00:01:50.280 --> 00:01:56.480]  但殊不知在邊上成為救那隻驢出生天的工具
[00:01:56.480 --> 00:01:59.080]  但其實人都是一樣的
[00:01:59.080 --> 00:02:06.200]  我們面對很多的試煉 逆境 困難 苦難
[00:02:06.200 --> 00:02:11.720]  我們很多時候都會覺得這些東西會打倒我們
[00:02:11.720 --> 00:02:14.200]  是我們一些很不幸的遭遇
[00:02:14.200 --> 00:02:17.760]  非常之不好的 能夠沒有就最好了
[00:02:17.760 --> 00:02:22.440]  但殊不知如果我們懂得怎樣靠著神
[00:02:22.440 --> 00:02:27.000]  去渡過這些逆境 試煉 困難的時候
[00:02:27.000 --> 00:02:33.960]  可能這些困難成為我們生命成長的階梯
[00:02:33.960 --> 00:02:36.440]  我想起自己一個的經歷
[00:02:36.440 --> 00:02:39.240]  我自己是讀會計出身
[00:02:39.240 --> 00:02:42.040]  接著在金融行業工作
[00:02:42.040 --> 00:02:44.560]  我也信了耶穌一段時間
[00:02:44.560 --> 00:02:48.040]  我想自己對於金錢管理
[00:02:48.040 --> 00:02:52.200]  對於用錢 花錢 應該有少少的認識
