
[00:00:00.000 --> 00:00:05.500]  我們今天下午可以在崇拜之後
[00:00:05.500 --> 00:00:11.620]  繼續去思想耶穌基督的福音
[00:00:11.620 --> 00:00:16.160]  我們要思想的題目是「地獄」
[00:00:16.160 --> 00:00:20.320]  好像不是跟福音很有關係
[00:00:20.320 --> 00:00:27.660]  但卻是我們整個基督福音的背景
[00:00:27.660 --> 00:00:34.640]  如果不是有罪、有死亡、死後且有審判
[00:00:34.640 --> 00:00:40.100]  耶穌基督就不需要被掛在十字架上
[00:00:40.100 --> 00:00:44.640]  亦都不會有我們基督教所謂的福音
[00:00:44.640 --> 00:00:47.500]  我們之所以有一個好消息
[00:00:47.500 --> 00:00:50.600]  是因為我們先有一個壞消息
[00:00:50.600 --> 00:00:54.100]  而那個消息是壞到一個永恆的極點
[00:00:54.100 --> 00:00:56.240]  無限的極點
[00:00:56.240 --> 00:01:00.460]  我們若感受不到這個壞消息的沉重
[00:01:00.460 --> 00:01:07.160]  我們就沒有辦法像聖經裡初期的教會、使徒
[00:01:07.160 --> 00:01:12.600]  這樣喜悅、渴慕耶穌基督的福音
[00:01:12.600 --> 00:01:15.000]  所以今天幫助我們
[00:01:15.000 --> 00:01:18.380]  在我們未去到福音的核心
[00:01:18.380 --> 00:01:20.880]  耶穌基督的之前
[00:01:20.880 --> 00:01:27.600]  可以看清究竟那個壞的消息有多壞
[00:01:27.600 --> 00:01:29.940]  有多震撼我們
[00:01:29.940 --> 00:01:32.600]  讓我們驚恐
[00:01:32.600 --> 00:01:37.840]  讓我們知道我們必無其他的出路
[00:01:37.840 --> 00:01:40.900]  唯有苦哭在耶穌面前
[00:01:40.900 --> 00:01:44.540]  而你是一個慈愛的上帝
[00:01:44.540 --> 00:01:48.600]  你為我們預備了一個獨一的救主
[00:01:48.600 --> 00:01:52.040]  你所愛的耶穌基督
[00:01:52.040 --> 00:01:56.800]  幫助我們去敬畏上帝
