
[00:00:00.000 --> 00:00:10.000]  今天我們要跟弟兄姊妹一起來看的是《上行致詩》裡頭的一百二十一篇
[00:00:10.000 --> 00:00:16.000]  我們今天要看兩篇 一百二十一篇跟一百二十二篇
[00:00:16.000 --> 00:00:20.000]  是《上行致詩》的第二首跟第三首
[00:00:20.000 --> 00:00:27.000]  請我們翻到一百二十一篇 詩篇一百二十一篇
[00:00:27.000 --> 00:00:32.000]  有八節聖經 我們一起來讀一下
[00:00:32.000 --> 00:00:40.000]  詩篇一百二十一篇 我們讀全篇一到八節
[00:00:40.000 --> 00:00:47.000]  翻到以後請我們一起來讀
[00:00:47.000 --> 00:00:58.000]  我要向上舉目 我的幫助從何而來 我的幫助從上天地的涅槃而來
[00:00:58.000 --> 00:01:14.000]  祂必不教你的小窈窕 保護你的地不打盹 保護你失業者 也不打盹 也不睡覺 保護你的事業老二 耶和華在你右肩 引領你
[00:01:14.000 --> 00:01:24.000]  白日未涼 祢不傷你 夜間月亮 祢不害你 耶和華要保護你 免受一切的災害
[00:01:24.000 --> 00:01:35.000]  祂要保護你的性命 祢出祢入 耶和華要保護你 從今始直到永遠
[00:01:35.000 --> 00:01:38.000]  我們先讀這一篇八節聖經
[00:01:38.000 --> 00:01:47.000]  這八節聖經裡頭講到什麼呢?主要是講到神是以色列的保護者
[00:01:47.000 --> 00:01:56.000]  保護這個字在這一四篇裡頭 八節聖經促進了六次
[00:01:56.000 --> 00:02:00.000]  意思是說保護保護
[00:02:00.000 --> 00:02:07.000]  保護你的以色列的神不打盹不睡覺
[00:02:07.000 --> 00:02:11.000]  保護你的是耶和華
[00:02:11.000 --> 00:02:15.000]  耶和華保護你免受一切的災難
[00:02:15.000 --> 00:02:18.000]  而且祂還保護你的性命
[00:02:18.000 --> 00:02:26.000]  而且祢出祢入 耶和華都要保護你 從今始一直到永遠
[00:02:26.000 --> 00:02:33.000]  你看這個地方的保護在八節聖經裡頭出現了六次
[00:02:33.000 --> 00:02:42.000]  這個保護這個字在這四篇裡頭是一個比較深的 比較廣泛的含義
[00:02:42.000 --> 00:02:45.000]  好像是有一些重要的事情
[00:02:45.000 --> 00:02:51.000]  過去古代的時候就用樹把它圍起來
[00:02:51.000 --> 00:02:55.000]  免得野獸免得人來傷害
[00:02:55.000 --> 00:03:01.000]  也可以說保護就是要很留心
[00:03:01.000 --> 00:03:03.000]  很留心的意思
[00:03:03.000 --> 00:03:13.000]  所以這個保護是一個對當時的以色列人來說是非常重要的
[00:03:13.000 --> 00:03:20.000]  他們是一個很困難很弱小的一個民族
[00:03:20.000 --> 00:03:29.000]  甚至在這個世界上人不是很多
[00:03:29.000 --> 00:03:35.000]  但是他們卻要神把他們放在一個外邦人中間
[00:03:35.000 --> 00:03:37.000]  周圍都是外邦人
[00:03:37.000 --> 00:03:41.000]  也是一個比較困難的環境
[00:03:41.000 --> 00:03:46.000]  但是這裡說神是以色列的保護者
[00:03:46.000 --> 00:03:50.000]  以色列是神保護的
[00:03:50.000 --> 00:03:55.000]  第一節就說到了我要香山舉目 我的幫助從何而來
[00:03:55.000 --> 00:04:00.000]  因為這個時候他們很可能就是在過節的時候
[00:04:00.000 --> 00:04:07.000]  過節以前他們從各個住的地方要到耶路撒冷來過節
[00:04:07.000 --> 00:04:11.000]  大的節一年有三次
[00:04:11.000 --> 00:04:20.000]  一年有三次的話就規定男子要一年三次到耶路撒冷來敬拜神
[00:04:20.000 --> 00:04:28.000]  那麼可能他們集合起來有一些人就是親戚朋友合在一起的話就走
[00:04:28.000 --> 00:04:30.000]  一同往前走
[00:04:30.000 --> 00:04:33.000]  那個時候就是靠步行
[00:04:33.000 --> 00:04:38.000]  那就是大小人大小孩子你都是靠步行
[00:04:38.000 --> 00:04:43.000]  所以他們越走越近現在是看到這個山了
[00:04:43.000 --> 00:04:48.000]  因為這個聖殿是蓋在摩利亞山上
[00:04:48.000 --> 00:04:54.000]  看這個山了就說明到神的地方已經快要到了
[00:04:54.000 --> 00:04:56.000]  遠遠就看見神了
[00:04:56.000 --> 00:04:58.000]  他們就想起來
[00:04:58.000 --> 00:05:02.000]  他們看到神的話就問自己了
[00:05:02.000 --> 00:05:09.000]  我們怎麼從家鄉那麼遠的地方來到聖殿了
[00:05:09.000 --> 00:05:11.000]  來到耶路撒冷了
[00:05:11.000 --> 00:05:14.000]  經過這麼多的困難
[00:05:14.000 --> 00:05:16.000]  這麼多的攔阻
[00:05:16.000 --> 00:05:19.000]  終於快要到目的地了
[00:05:19.000 --> 00:05:20.000]  他就問了
[00:05:20.000 --> 00:05:22.000]  我的幫助從何而來呢
[00:05:22.000 --> 00:05:25.000]  怎麼能夠有人幫助我們呢
[00:05:25.000 --> 00:05:27.000]  他自己就回答說
[00:05:27.000 --> 00:05:31.000]  我的幫助是從造天地的耶和華而來
[00:05:31.000 --> 00:05:34.000]  他看到他們能夠從遠方
[00:05:34.000 --> 00:05:36.000]  從不同的地方
[00:05:36.000 --> 00:05:39.000]  能夠一家一家一組一組
[00:05:39.000 --> 00:05:42.000]  這樣的來到耶路撒冷
[00:05:42.000 --> 00:05:44.000]  神的聖城
[00:05:44.000 --> 00:05:47.000]  他知道不是靠自己的力量
[00:05:47.000 --> 00:05:49.000]  路途這麼遙遠
[00:05:49.000 --> 00:05:51.000]  那麼崎嶇
[00:05:51.000 --> 00:05:52.000]  那麼困難
[00:05:52.000 --> 00:05:56.000]  但是他們將要來到耶路撒冷了
[00:05:56.000 --> 00:05:58.000]  所以他說
[00:05:58.000 --> 00:06:00.000]  誰幫助呢
[00:06:00.000 --> 00:06:01.000]  人幫助嗎
[00:06:01.000 --> 00:06:02.000]  不是
[00:06:02.000 --> 00:06:05.000]  是造天地的耶和華而來
[00:06:05.000 --> 00:06:06.000]  造天地的耶和華
[00:06:06.000 --> 00:06:10.000]  就表示他是大有能力的
[00:06:10.000 --> 00:06:12.000]  天地都是他造的
[00:06:12.000 --> 00:06:13.000]  都是他管理的
[00:06:13.000 --> 00:06:15.000]  我們這些人呢
[00:06:15.000 --> 00:06:16.000]  是神的子民呢
[00:06:16.000 --> 00:06:17.000]  我們也是
[00:06:17.000 --> 00:06:19.000]  他保護我們
[00:06:19.000 --> 00:06:22.000]  一直到了耶路撒冷的地方
[00:06:22.000 --> 00:06:26.000]  所以他要向山舉目
[00:06:26.000 --> 00:06:27.000]  向山舉目呢
[00:06:27.000 --> 00:06:29.000]  就是要
[00:06:29.000 --> 00:06:31.000]  不是單單是向山
[00:06:31.000 --> 00:06:33.000]  他向著山上面的神
[00:06:33.000 --> 00:06:35.000]  就是山呢
[00:06:35.000 --> 00:06:37.000]  就代表神的目的
[00:06:37.000 --> 00:06:40.000]  代表神的力量
[00:06:40.000 --> 00:06:46.000]  音許代表信使
[00:06:46.000 --> 00:06:49.000]  山不太容易動搖
[00:06:49.000 --> 00:06:51.000]  要有很大的情況
