
[00:00:00.000 --> 00:00:02.200]  上次講羅馬書第五章的時候
[00:00:02.200 --> 00:00:05.080]  就是剛才我們在主餐宣讀的經文
[00:00:05.080 --> 00:00:07.400]  我們在講我們面對的一個問題
[00:00:07.400 --> 00:00:09.600]  既然我們恩訊稱義的話
[00:00:09.600 --> 00:00:12.440]  本來就說當我們恩訊稱義的過程裏面
[00:00:12.440 --> 00:00:13.880]  過犯越多
[00:00:13.880 --> 00:00:16.000]  恩典就會越多
[00:00:16.000 --> 00:00:18.480]  如果這樣的時候就會衍生了兩個問題
[00:00:18.480 --> 00:00:20.880]  今天我們回答了這兩個問題之後
[00:00:20.880 --> 00:00:22.480]  我們又會衍生了一個問題
[00:00:22.480 --> 00:00:25.680]  而這個問題將會在羅馬書第七章裏面回答
[00:00:25.680 --> 00:00:27.680]  這兩個問題衍生的就是說
[00:00:27.680 --> 00:00:29.680]  如果恩典越多
[00:00:29.680 --> 00:00:31.880]  是因為我們的過犯越多
[00:00:31.880 --> 00:00:33.880]  將顯出恩典越多的話
[00:00:33.880 --> 00:00:35.280]  那會不會因為這樣
[00:00:35.280 --> 00:00:38.680]  我們可以仍然在罪中去活著
[00:00:38.680 --> 00:00:41.280]  顯出恩典更多呢
[00:00:41.280 --> 00:00:44.080]  第二個可能的問題就是說
[00:00:44.080 --> 00:00:44.880]  如果這樣的話
[00:00:44.880 --> 00:00:46.080]  今天我們活在恩典當中
[00:00:46.080 --> 00:00:47.480]  不是活在律法當中
[00:00:47.480 --> 00:00:50.280]  那我們就可以繼續犯罪了
[00:00:50.280 --> 00:00:52.880]  這兩個問題似乎很刁鑽
[00:00:52.880 --> 00:00:54.880]  不是普通信徒會想的問題
[00:00:54.880 --> 00:00:57.480]  但是確實在保羅要回答的時候
[00:00:57.480 --> 00:00:58.880]  就比我們更加清晰
[00:00:58.880 --> 00:01:03.480]  恩訊稱義所衍生的不是一個簡單的道理
[00:01:03.480 --> 00:01:04.880]  確實是複雜的
[00:01:04.880 --> 00:01:06.480]  我們必須要面對的
[00:01:06.480 --> 00:01:09.680]  而保羅所提及的回答的整個過程裏面
[00:01:09.680 --> 00:01:12.880]  都在說在我們身上已經發生了的
[00:01:12.880 --> 00:01:14.280]  有多少人已經受了浸的
[00:01:14.280 --> 00:01:15.280]  請你舉起你的手
[00:01:15.280 --> 00:01:16.680]  已經受了浸的請你舉起你的手
[00:01:16.680 --> 00:01:18.280]  請你和旁邊的所有人說
[00:01:18.280 --> 00:01:20.480]  今天的經文已經發生了
[00:01:20.480 --> 00:01:22.480]  今天的經文已經發生了
[00:01:22.480 --> 00:01:26.680]  保羅說在得盡恩典之後
[00:01:26.680 --> 00:01:28.080]  我們會不會繼續犯罪
[00:01:28.080 --> 00:01:29.680]  這個答案是negative
[00:01:29.680 --> 00:01:31.680]  是斷言不可的
[00:01:31.680 --> 00:01:32.480]  為什麼
[00:01:32.480 --> 00:01:34.280]  因為我們在罪裏面死了的人
[00:01:34.280 --> 00:01:35.080]  怎麼能夠
[00:01:35.080 --> 00:01:36.280]  一個死了的人
[00:01:36.280 --> 00:01:39.080]  怎麼能夠仍然在罪中活著呢
[00:01:39.080 --> 00:01:40.480]  和你旁邊的人說一聲
[00:01:40.480 --> 00:01:42.080]  你已經是死人了
[00:01:42.080 --> 00:01:47.480]  很難明白是不是
[00:01:47.480 --> 00:01:49.280]  他生了口氣坐在你面前
[00:01:49.280 --> 00:01:51.080]  你怎麼說他是死的呢
[00:01:51.080 --> 00:01:53.480]  保羅的整個的神學
[00:01:53.480 --> 00:01:56.080]  是和我們的浸禮是有關係的
[00:01:56.080 --> 00:01:59.480]  當我們受浸歸入基督的時候
[00:01:59.480 --> 00:02:02.080]  也都是受浸歸入他的死
[00:02:02.080 --> 00:02:04.880]  也都和他一同埋葬了
[00:02:04.880 --> 00:02:08.080]  這個題目是每個申請受浸的弟兄姊妹
[00:02:08.080 --> 00:02:11.480]  基本上都會問的就是浸禮的意義
[00:02:11.480 --> 00:02:13.080]  浸禮的意義就是我們公開要承認
[00:02:13.080 --> 00:02:14.080]  我們和上帝的關係
[00:02:14.080 --> 00:02:15.080]  和基督的關係
[00:02:15.080 --> 00:02:16.480]  和聖靈的關係
[00:02:16.480 --> 00:02:18.680]  我們要和基督一同的同釘
[00:02:18.680 --> 00:02:23.080]  同埋葬同死同復活
[00:02:23.080 --> 00:02:24.480]  這個標準的答案
[00:02:24.480 --> 00:02:26.280]  答了之後是不是就等於
[00:02:26.280 --> 00:02:27.880]  已經發生在我們身上
[00:02:27.880 --> 00:02:30.480]  和初期教會有所分別的地方是什麼呢
[00:02:30.480 --> 00:02:32.280]  初期教會大部分的信徒
[00:02:32.280 --> 00:02:35.080]  是因信稱義之外
[00:02:35.080 --> 00:02:39.680]  他們是信而立刻受浸的
[00:02:39.680 --> 00:02:41.680]  很少的信徒信了
[00:02:41.680 --> 00:02:42.880]  是沒有立刻受浸的
[00:02:42.880 --> 00:02:44.480]  在初期教會
[00:02:44.480 --> 00:02:45.480]  什麼原因
[00:02:45.480 --> 00:02:46.680]  現在我們會覺得
[00:02:46.680 --> 00:02:47.880]  我們信了之後
[00:02:47.880 --> 00:02:49.880]  有一段很大的距離才受浸的
[00:02:49.880 --> 00:02:50.880]  有什麼原因呢
[00:02:50.880 --> 00:02:52.680]  甚至最近有人會主張
[00:02:52.680 --> 00:02:54.680]  我在街邊帶一個信主
